Município,Semana 01,Semana 02,Semana 03,Semana 04,Semana 05,Semana 06,Semana 07,Semana 08,Semana 09,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 50,Semana 51,Semana 52,Total,CIR
"Alfenas,Machado",1,0,3,0,2,3,0,4,3,1,4,6,2,5,7,4,5,1,4,3,5,1,0,0,0,0,0,1,4,4,2,1,0,1,2,1,1,1,1,2,4,2,3,1,1,1,4,0,4,2,0,2,109,31001
Guaxupé,0,0,0,2,2,0,0,0,0,2,2,1,0,0,4,3,0,3,5,0,3,1,0,3,0,2,2,0,2,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,46,31002
Itajubá,1,0,0,2,0,0,0,0,1,1,2,0,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,19,31003
Lavras,0,0,0,4,0,2,1,1,1,16,19,74,71,44,44,66,73,48,50,28,13,9,6,7,4,4,1,0,0,0,0,2,0,0,0,0,0,2,3,2,0,5,0,3,3,2,2,4,4,3,2,1,624,31004
Poços de Caldas,1,0,0,0,0,2,0,0,1,1,1,1,2,4,4,5,12,4,4,2,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,2,2,2,0,2,1,2,0,2,1,0,64,31006
Pouso Alegre,0,1,2,2,1,3,4,3,4,1,1,2,3,5,7,3,9,8,4,2,1,0,2,0,0,0,2,1,0,2,0,1,2,0,0,0,0,2,0,0,2,3,1,3,2,1,3,3,1,2,2,0,101,31007
São Lourenço,0,1,0,1,1,0,0,0,2,0,0,4,2,2,2,2,4,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,34,31008
São Sebastião do Paraíso,0,0,0,0,1,0,2,0,2,3,1,1,0,1,0,0,4,2,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,4,2,2,3,2,5,0,0,0,44,31009
Três Corações,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,31010
Três Pontas,0,0,0,0,0,1,0,0,1,1,0,1,1,2,3,3,3,1,2,8,5,4,2,0,3,1,1,3,1,0,0,0,0,1,1,0,2,1,1,0,1,1,3,0,1,0,1,0,1,3,1,1,66,31011
Varginha,0,0,0,0,0,1,2,0,0,0,4,1,3,3,7,2,3,0,0,0,2,2,0,2,2,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,0,1,2,0,4,0,1,0,2,1,0,0,50,31012
Barbacena,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,10,31013
São João Del Rei,0,0,0,0,0,1,0,0,0,2,0,1,1,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,1,1,2,2,0,2,4,3,6,1,1,39,31015
"Belo Horizonte,Nova Lima,Santa Luzia",50,54,47,88,114,137,174,123,299,385,400,609,663,615,918,932,1025,659,682,565,435,393,160,190,116,102,50,40,38,43,25,35,23,19,22,21,18,20,22,23,15,58,52,53,54,52,90,67,86,71,53,48,11033,31016
Betim,10,30,39,40,44,65,67,54,85,97,83,84,88,80,106,132,112,104,118,100,74,46,31,24,16,10,8,11,6,9,5,1,5,3,5,3,6,8,5,4,1,5,6,8,5,7,20,23,25,13,12,8,1951,31017
Contagem,2,6,11,5,14,19,22,14,35,38,43,64,67,97,115,115,93,46,58,60,51,44,23,28,20,17,13,11,9,8,10,2,5,9,6,4,2,4,3,2,6,15,16,13,9,9,26,21,17,17,14,13,1371,31018
Curvelo,1,5,4,6,6,10,14,15,28,54,46,42,72,41,65,71,71,33,29,33,26,31,32,9,7,12,3,5,3,2,5,0,1,1,2,1,2,0,1,1,3,3,1,3,3,0,2,2,3,3,1,5,819,31019
Guanhães,0,0,0,0,0,2,2,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1,2,0,3,1,0,1,0,25,31020
Itabira,0,1,1,2,2,1,0,1,2,3,0,5,3,0,3,10,7,2,2,3,3,2,0,2,0,1,2,0,2,1,0,0,1,0,0,0,0,0,0,1,2,2,5,1,4,1,1,3,1,1,3,1,88,31021
Ouro Preto,1,0,5,6,5,3,1,0,2,0,0,0,1,1,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,3,2,0,2,0,44,31022
João Monlevade,0,5,1,3,0,1,2,3,0,4,4,3,3,14,24,24,15,22,19,15,25,21,2,12,4,4,0,0,0,0,1,0,0,0,3,0,0,0,0,1,1,2,2,3,1,1,2,2,2,3,1,0,255,31023
Sete Lagoas,1,3,3,3,12,10,15,4,42,35,60,74,94,65,68,46,43,19,26,18,21,12,8,5,3,5,4,9,5,3,10,5,0,3,2,0,4,0,1,0,2,5,3,1,5,1,6,4,3,5,6,4,786,31024
