Município,Semana 01,Semana 02,Semana 03,Semana 04,Semana 05,Semana 06,Semana 07,Semana 08,Semana 09,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 50,Semana 51,Semana 52,Total,CIR
"Alfenas,Machado",1,0,3,3,0,2,0,1,2,3,4,2,9,3,7,5,9,18,7,7,4,7,4,6,1,1,0,0,0,2,3,0,0,0,0,0,2,2,1,1,1,1,1,0,0,1,3,1,3,0,1,1,133,31001
Guaxupé,0,0,0,0,1,2,0,11,18,42,76,136,98,155,159,80,153,176,78,125,140,107,80,55,25,3,20,4,5,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,2,0,0,1757,31002
Itajubá,0,2,0,1,0,0,0,0,2,0,1,1,0,2,1,1,2,4,0,2,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,27,31003
Lavras,0,2,1,6,7,10,11,20,15,37,38,62,58,76,89,80,82,108,103,53,58,25,13,0,3,1,0,0,3,3,1,0,2,0,2,3,3,5,2,3,2,5,1,2,1,1,2,6,3,8,1,5,1022,31004
Poços de Caldas,1,1,0,0,1,0,0,3,4,3,3,1,1,0,5,1,3,2,0,2,0,1,0,1,2,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,44,31006
Pouso Alegre,1,2,1,2,0,0,1,6,4,5,3,1,11,7,8,7,7,8,2,4,3,2,1,1,0,0,1,2,4,0,3,1,0,0,0,0,1,1,1,1,0,0,0,3,1,1,5,0,0,3,0,0,115,31007
São Lourenço,0,0,0,0,0,1,0,0,0,1,1,0,1,2,2,0,2,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,23,31008
São Sebastião do Paraíso,0,3,0,0,0,2,3,3,7,3,6,36,13,15,23,12,18,5,8,5,11,6,8,2,7,6,3,2,4,2,2,0,2,3,1,0,0,0,1,4,1,2,0,1,1,4,1,1,1,0,0,0,238,31009
Três Corações,0,1,1,0,3,2,1,0,1,3,3,10,13,49,45,42,40,32,55,18,11,13,9,2,0,2,0,0,2,0,1,0,1,0,1,0,0,0,1,1,0,0,3,3,0,2,4,6,2,2,1,2,388,31010
Três Pontas,0,1,0,0,0,1,2,11,12,15,33,53,71,116,113,103,102,136,68,52,36,14,16,5,1,7,0,2,1,6,0,1,5,0,1,0,6,0,0,0,0,0,0,0,0,1,2,1,1,3,0,1,999,31011
