Município,Semana 01,Semana 02,Semana 03,Semana 04,Semana 05,Semana 06,Semana 07,Semana 08,Semana 09,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 50,Semana 51,Semana 52,Total,CIR
"Alfenas,Machado",0,1,0,0,0,2,2,0,1,0,2,0,1,0,2,0,2,2,2,0,2,2,1,3,1,2,1,0,0,2,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,1,1,0,0,37,31001
Guaxupé,0,0,1,0,0,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,11,31002
Itajubá,0,0,0,1,0,0,0,0,5,4,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,3,0,0,0,0,1,0,21,31003
Lavras,0,0,1,0,0,0,0,0,0,0,3,1,0,6,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,20,31004
Poços de Caldas,0,0,0,0,0,1,3,2,2,4,1,3,3,5,10,1,4,6,10,3,8,0,1,4,1,0,0,1,2,2,1,1,2,0,0,0,0,0,0,0,1,0,3,1,0,0,3,1,2,1,0,1,94,31006
Pouso Alegre,0,2,0,2,1,0,1,0,1,0,1,1,0,0,0,1,2,0,2,1,5,0,1,1,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,32,31007
São Lourenço,0,0,1,0,0,0,1,0,1,0,0,0,1,2,4,3,2,0,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,3,0,1,3,0,0,0,0,0,0,0,0,0,0,30,31008
São Sebastião do Paraíso,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,1,5,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18,31009
Três Pontas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,31011
Varginha,0,0,1,1,0,1,0,1,0,0,0,0,0,0,7,0,4,3,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,24,31012
Barbacena,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,31013
São João Del Rei,1,0,0,2,5,9,4,4,22,37,46,36,52,34,74,70,69,37,35,56,26,22,4,9,5,5,4,9,7,3,1,0,2,2,2,1,1,3,4,2,2,1,3,1,2,4,1,9,2,0,4,0,734,31015
"Belo Horizonte,Nova Lima,Santa Luzia",49,39,71,64,71,113,95,128,271,367,640,831,1172,1216,1681,1445,1344,1151,1160,1080,746,648,461,431,248,264,150,101,404,87,88,74,49,58,87,44,40,50,61,251,59,33,42,37,55,42,68,56,45,72,80,156,18075,31016
Betim,1,6,3,7,13,16,24,26,33,45,75,90,150,130,222,164,101,135,132,219,142,95,64,90,67,40,29,25,53,20,9,15,5,9,4,4,7,3,3,2,6,5,10,3,5,5,1,6,12,6,2,13,2352,31017
Contagem,8,14,20,15,22,39,43,48,123,135,210,229,288,311,403,419,423,398,359,293,211,151,133,119,88,65,34,35,30,14,27,22,14,13,20,16,21,16,19,14,3,14,9,7,15,12,6,9,18,16,19,16,5006,31018
Curvelo,0,2,2,6,12,33,81,60,184,279,334,274,347,288,261,220,185,141,94,103,38,43,20,23,11,8,5,5,5,4,7,11,8,1,3,4,3,7,3,2,1,2,1,6,14,8,9,3,7,2,10,17,3197,31019
Guanhães,0,0,0,0,0,0,0,1,2,0,2,1,1,1,1,2,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,19,31020
Itabira,0,1,1,0,1,2,2,3,0,8,8,16,23,29,23,29,31,21,17,23,14,17,7,6,13,9,1,3,6,5,5,5,4,4,1,0,2,0,0,2,1,1,0,3,4,1,4,0,0,0,6,16,378,31021
Ouro Preto,0,0,0,1,0,0,0,0,0,1,2,1,1,1,1,1,2,2,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,25,31022
João Monlevade,0,0,1,1,1,0,0,1,1,3,5,13,11,10,11,12,11,11,1,3,1,0,0,0,0,1,1,0,1,1,0,3,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,6,117,31023
Sete Lagoas,24,8,8,2,4,3,26,22,66,119,254,500,957,903,1186,791,750,553,551,441,330,346,204,159,206,209,57,46,44,64,31,12,15,8,11,10,11,11,4,2,7,8,12,6,14,22,24,87,101,188,204,268,9889,31024
"Vespasiano,Lagoa Santa",3,0,4,1,1,3,3,7,12,24,43,48,78,58,116,80,99,67,66,61,53,33,21,24,28,15,7,3,2,4,5,2,4,2,0,0,3,2,0,2,2,2,3,2,1,1,1,3,5,4,1,5,1014,31025
"Diamantina,Itamarandiba",0,1,0,0,1,0,0,0,0,10,4,11,11,6,21,16,6,5,4,4,3,2,2,1,2,1,1,1,0,0,0,1,1,2,0,0,2,1,0,0,0,2,0,0,0,1,1,5,3,0,0,0,132,31026
"Turmalina,Minas Novas,Capelinha",1,2,0,6,3,7,12,4,12,45,56,41,40,14,9,28,26,22,25,24,23,25,13,14,10,4,3,7,0,0,3,0,1,1,1,1,0,1,2,1,1,2,3,8,10,3,5,11,3,3,3,2,541,31027
Bom Despacho,0,0,0,0,0,0,0,0,2,1,0,0,4,3,8,4,3,3,13,16,5,9,12,9,7,2,8,0,0,1,0,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,118,31028
Formiga,4,5,3,3,5,6,9,11,27,32,60,70,92,53,66,65,56,60,44,28,28,14,17,24,12,8,11,5,7,12,6,7,6,7,8,2,2,4,2,2,1,3,2,2,1,2,5,2,5,4,4,5,919,31030
Itaúna,1,0,0,0,0,0,1,1,0,1,3,2,1,0,5,4,7,4,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,7,5,4,8,4,67,31031
"Pará de Minas,Nova Serrana",1,1,1,2,1,2,2,7,50,53,50,70,144,127,172,160,135,94,157,107,52,87,53,47,27,15,9,7,5,4,3,1,4,2,2,1,2,4,0,1,4,2,3,0,1,2,0,4,6,2,2,4,1692,31032
Caratinga,0,2,1,2,2,2,3,0,2,0,0,2,2,1,0,0,0,1,1,0,0,2,0,0,1,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,4,4,4,4,48,31034
"Coronel Fabriciano,Timóteo",75,9,3,6,6,8,9,14,26,3,19,23,22,27,42,20,56,48,62,75,59,57,10,26,41,28,18,16,13,8,24,17,12,12,13,9,12,34,29,30,29,33,60,58,153,215,447,440,510,657,1218,1328,6169,31035
Governador Valadares,11,17,20,22,52,84,80,45,81,71,92,111,83,80,80,102,39,33,49,40,54,55,55,60,50,37,35,30,33,27,21,5,10,15,5,6,12,14,17,16,16,42,34,13,37,20,19,35,38,67,57,62,2189,31036
Ipatinga,41,9,12,11,20,14,10,3,22,45,57,93,190,189,298,343,380,359,674,659,524,543,366,459,405,256,198,133,103,68,56,68,44,37,23,22,40,42,35,36,66,105,132,176,203,273,401,503,477,553,805,746,11327,31037
Mantena,0,1,0,0,0,0,0,6,4,13,1,5,2,3,2,2,3,21,3,1,3,2,2,2,6,4,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,93,31038
