Município,Semana 01,Semana 02,Semana 03,Semana 04,Semana 05,Semana 06,Semana 07,Semana 08,Semana 09,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 50,Semana 51,Semana 52,Total,CIR
"Alfenas,Machado",19,24,16,17,21,18,41,20,48,56,104,119,194,179,296,198,233,221,274,133,162,111,57,73,39,31,17,25,13,10,10,9,16,12,16,13,15,12,6,27,15,43,30,16,16,12,13,14,22,40,35,75,3236,31001
Guaxupé,16,5,10,10,5,7,14,9,28,27,48,89,87,61,91,148,145,93,118,75,86,97,63,51,25,21,14,9,9,18,5,13,6,9,11,11,3,7,8,13,6,12,24,10,21,30,85,109,95,137,189,86,2369,31002
Itajubá,6,2,5,5,6,4,6,4,8,14,13,15,26,17,32,20,33,12,19,15,10,9,7,9,1,7,7,6,5,5,1,4,2,0,0,0,0,4,3,3,7,8,3,6,5,4,3,8,10,14,13,6,432,31003
Lavras,38,36,63,63,58,79,116,155,339,603,732,1088,1394,1243,1510,1043,1011,746,642,651,622,393,224,259,164,22,78,52,26,13,38,27,22,32,28,13,23,9,15,10,16,35,53,21,25,42,27,37,58,43,56,65,14158,31004
Poços de Caldas,1,2,1,0,3,4,5,4,12,10,6,10,13,24,26,8,22,16,14,12,17,5,1,12,3,3,3,4,2,4,3,2,4,0,1,3,1,0,1,1,3,0,4,4,1,1,7,4,2,2,2,2,295,31006
Pouso Alegre,6,14,3,14,11,10,30,51,91,66,73,71,78,69,95,78,85,72,115,75,56,35,20,19,21,15,19,14,8,13,14,7,11,13,5,7,18,13,14,18,18,21,25,19,30,22,27,45,36,46,46,43,1825,31007
São Lourenço,7,5,7,8,2,1,7,6,5,12,20,32,25,22,33,26,37,35,35,28,38,23,2,10,3,8,6,3,4,2,3,3,2,0,1,3,4,7,1,2,8,6,8,2,2,2,7,4,4,4,8,18,551,31008
São Sebastião do Paraíso,27,43,32,59,72,92,239,335,459,614,651,874,815,837,940,774,781,678,628,448,236,189,86,82,44,35,9,6,19,9,17,14,19,10,7,5,7,2,18,14,4,11,7,9,18,11,4,10,4,16,18,8,10346,31009
Três Corações,2,0,2,2,1,11,1,3,8,11,17,28,57,49,77,72,93,79,80,65,49,33,22,21,15,2,4,4,3,0,4,3,0,0,1,0,3,0,0,0,1,0,3,0,1,0,0,0,2,2,2,2,835,31010
Três Pontas,4,2,3,0,3,2,9,10,39,81,88,228,319,233,397,401,388,351,392,342,282,159,101,92,98,29,20,10,3,3,3,3,6,6,4,3,6,5,9,9,5,15,13,4,10,9,12,10,6,8,7,5,4247,31011
Varginha,25,24,18,10,22,41,33,30,72,98,160,217,320,402,501,490,796,757,782,630,618,408,275,247,134,115,67,70,38,38,28,48,33,44,18,41,69,46,39,43,64,37,67,38,49,40,38,49,45,78,67,84,8503,31012
Barbacena,2,0,0,3,4,1,6,14,17,7,19,38,64,61,84,71,127,103,127,111,65,43,17,13,14,8,6,3,0,0,4,2,2,4,2,1,3,7,1,6,0,4,2,4,1,4,3,2,7,8,10,6,1111,31013
