Município,Semana 01,Semana 02,Semana 03,Semana 04,Semana 05,Semana 06,Semana 07,Semana 08,Semana 09,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 50,Semana 51,Semana 52,Total,CIR
"Alfenas,Machado",122,196,240,322,371,343,502,473,381,401,323,289,328,390,402,304,346,241,162,125,83,51,31,12,11,5,4,1,1,0,2,3,2,2,0,6,5,3,10,4,6,7,11,8,8,5,4,3,4,7,7,33,6600,31001
Guaxupé,33,64,65,86,105,75,169,278,222,188,154,109,100,58,54,23,59,41,30,16,8,8,5,2,5,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,3,0,1,2,2,0,1,3,1,0,3,1979,31002
Itajubá,18,13,8,17,16,33,26,30,47,56,68,51,112,82,54,18,16,3,5,3,1,1,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,4,3,1,2,1,1,2,700,31003
Lavras,7,12,8,13,19,21,35,71,79,92,121,73,130,128,194,81,117,124,62,61,22,13,11,7,1,5,1,4,1,0,1,0,1,1,0,0,1,0,2,2,0,2,4,4,2,1,1,2,1,3,2,4,1547,31004
Poços de Caldas,18,29,16,29,33,39,55,42,46,77,42,19,52,50,47,23,17,19,7,5,3,10,2,1,0,1,1,1,0,1,2,4,0,1,0,1,0,0,0,0,2,5,3,1,2,1,1,2,1,2,6,7,726,31006
Pouso Alegre,38,29,28,37,44,38,56,64,65,53,46,41,69,50,62,33,32,30,12,7,4,3,2,1,0,2,0,0,0,0,2,1,3,2,3,3,2,1,0,0,3,2,1,0,2,1,2,4,0,1,5,8,892,31007
São Lourenço,11,17,28,31,58,51,94,123,121,112,77,89,157,132,126,106,71,67,49,48,13,19,6,5,0,2,0,0,0,0,1,0,0,0,1,2,3,2,2,1,0,1,1,0,1,1,4,5,0,1,0,3,1642,31008
São Sebastião do Paraíso,7,10,18,22,15,28,40,28,58,35,46,58,54,67,86,59,64,62,43,22,9,10,7,1,2,1,7,0,1,0,0,1,3,1,2,0,1,5,5,3,2,4,3,3,3,2,1,8,1,1,3,2,914,31009
Três Corações,3,4,10,11,20,45,53,55,52,50,64,94,69,100,78,110,82,30,67,30,6,20,9,3,0,0,1,0,0,0,0,3,0,0,1,0,5,4,0,1,1,1,0,1,1,5,6,3,4,1,2,7,1112,31010
Três Pontas,27,20,16,28,24,29,58,108,91,107,125,104,178,193,221,133,138,53,38,39,19,25,4,5,1,2,2,1,0,0,0,1,1,1,0,0,1,1,4,2,3,0,4,1,2,1,1,4,1,3,11,3,1834,31011
Varginha,51,57,61,69,106,92,163,145,204,271,266,275,454,479,544,484,367,342,288,169,108,63,68,31,26,28,22,17,22,19,14,11,20,15,31,28,27,18,33,39,40,47,62,49,47,26,34,28,36,12,19,44,5971,31012
Barbacena,14,22,15,18,37,35,76,122,185,207,187,181,212,208,267,286,339,224,201,124,63,64,22,21,7,6,1,4,3,2,1,2,0,3,0,0,2,2,1,0,1,1,2,0,1,0,1,1,3,4,2,5,3185,31013
São João Del Rei,18,27,46,47,105,74,169,247,306,295,230,211,362,370,384,442,417,310,222,222,134,127,69,15,12,11,11,6,0,2,0,2,2,2,2,0,1,0,0,0,1,1,3,4,2,3,2,6,4,4,3,6,4939,31015
"Belo Horizonte,Nova Lima,Santa Luzia",2795,3430,4231,5242,8356,7991,13719,18528,18818,17434,17354,12934,16368,15642,14850,10539,9991,7883,4861,3742,1896,1828,1397,559,432,226,208,168,150,112,114,121,136,79,113,86,117,170,213,103,216,195,261,205,179,160,242,288,301,294,366,583,226226,31016
Betim,575,586,760,716,1602,1038,1904,1671,2311,2147,2041,1883,2140,1681,2515,1958,1929,1082,753,653,366,332,195,281,214,127,160,23,72,165,134,73,102,154,64,60,58,41,29,21,27,106,28,41,28,31,45,52,160,62,59,134,33389,31017
Contagem,568,835,1069,1311,2132,2269,3879,4397,4513,4770,4547,3914,4366,4331,3782,2782,2600,1713,1225,789,553,430,234,109,158,189,153,45,66,24,23,19,26,19,18,20,15,16,20,5,20,32,27,15,27,23,34,50,62,52,60,85,58421,31018
Curvelo,153,154,205,255,566,557,1164,1056,636,656,668,541,427,519,454,256,270,213,194,121,48,67,32,6,19,28,3,10,2,4,2,4,1,0,0,2,11,2,1,1,3,3,3,4,6,17,11,12,7,32,16,27,9449,31019
Guanhães,4,8,7,13,16,24,29,26,40,44,19,22,32,40,34,30,33,45,17,14,14,11,2,5,3,1,2,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0,2,547,31020
Itabira,93,67,95,104,139,154,268,406,411,424,441,478,512,430,475,309,383,226,204,125,108,83,54,17,15,7,19,19,8,2,9,5,4,4,6,6,10,7,8,11,7,13,11,4,9,10,9,18,19,17,12,19,6294,31021
Ouro Preto,8,18,16,19,34,21,34,89,92,82,97,80,121,126,155,106,186,143,72,71,28,27,22,8,13,3,1,0,0,0,0,0,1,0,0,0,1,0,2,1,0,1,0,4,0,0,1,0,4,2,3,1,1693,31022
João Monlevade,4,15,24,44,75,72,148,197,293,347,346,412,432,339,360,335,393,441,215,247,111,200,60,11,3,2,2,4,2,0,2,3,1,5,2,1,0,0,0,2,5,2,0,0,1,10,10,5,8,4,9,6,5210,31023
