Município,Semana 01,Semana 02,Semana 03,Semana 04,Semana 05,Semana 06,Semana 07,Semana 08,Semana 09,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 50,Semana 51,Semana 52,Total,CIR
"Alfenas,Machado",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,31001
Guaxupé,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,31002
Itajubá,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,7,31003
Lavras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,31004
Poços de Caldas,0,0,3,1,0,0,1,0,0,1,1,0,3,0,1,0,5,4,1,1,1,0,2,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,5,1,0,0,1,0,1,2,0,41,31006
Pouso Alegre,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,13,31007
São Lourenço,0,1,0,0,0,0,0,2,0,0,1,3,5,6,5,5,3,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,41,31008
São Sebastião do Paraíso,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,31009
Três Corações,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,31010
Três Pontas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,31011
Varginha,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,7,31012
Barbacena,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,8,31013
São João Del Rei,1,1,0,2,0,1,1,0,0,2,0,1,1,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,31015
"Belo Horizonte,Nova Lima,Santa Luzia",4,6,2,2,8,6,10,7,1,8,13,18,25,28,11,15,36,37,27,22,10,11,17,4,11,8,12,3,8,2,4,14,9,5,4,9,4,4,4,2,1,2,6,8,7,1,7,5,4,5,6,11,494,31016
Betim,0,1,0,1,1,1,2,0,0,0,2,2,2,1,0,1,5,1,2,1,0,2,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,36,31017
Contagem,2,1,4,1,3,1,2,2,0,4,2,2,3,3,1,2,2,5,2,4,0,0,1,1,3,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,2,1,1,0,3,0,1,0,1,2,0,0,65,31018
Curvelo,1,2,0,1,0,2,2,0,0,1,4,0,2,1,0,1,2,0,0,4,1,6,4,0,0,2,0,0,0,0,0,1,0,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,2,0,1,3,53,31019
Guanhães,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,31020
