Município,Semana 01,Semana 02,Semana 03,Semana 04,Semana 05,Semana 06,Semana 07,Semana 08,Semana 09,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 50,Semana 51,Semana 52,Total,CIR
"Alfenas,Machado",5,1,4,7,5,6,10,5,14,32,77,215,201,221,288,266,373,277,293,151,118,78,93,52,41,38,34,22,28,24,24,10,13,8,18,23,18,26,21,18,9,25,15,10,9,17,18,15,12,21,12,14,3335,31001
Guaxupé,1,0,2,3,2,1,3,3,3,4,4,15,47,40,55,72,129,141,156,93,57,63,31,44,20,10,8,11,8,2,9,11,3,8,9,4,3,5,3,4,1,1,4,4,6,3,6,6,5,9,7,2,1141,31002
Itajubá,4,1,1,1,5,2,4,3,5,6,6,3,5,6,4,5,10,9,7,10,7,11,9,8,4,8,4,1,1,2,3,3,0,2,2,1,3,0,2,3,2,3,4,3,2,0,4,2,2,7,5,4,209,31003
Lavras,1,3,0,0,1,2,0,2,7,21,7,11,27,31,47,93,192,147,215,206,212,101,119,80,43,29,54,32,21,16,19,6,12,14,14,2,16,17,9,17,10,12,14,10,12,10,9,7,4,4,29,28,1995,31004
Poços de Caldas,0,0,3,1,0,0,1,0,0,1,2,0,3,0,1,11,7,16,14,12,10,1,1,1,2,2,2,1,1,5,5,2,1,3,3,0,0,0,0,1,2,0,0,4,2,1,1,0,1,1,3,1,129,31006
Pouso Alegre,1,5,2,4,2,0,3,0,4,3,17,20,40,62,55,92,149,102,130,82,47,54,27,10,18,12,3,32,7,8,8,1,4,5,15,8,2,5,4,5,3,5,2,3,0,4,4,6,0,5,2,6,1088,31007
São Lourenço,1,3,1,3,2,2,7,14,9,54,55,77,91,92,92,90,120,94,104,104,67,41,26,12,10,7,8,4,4,1,2,2,0,1,5,2,6,5,7,6,3,3,3,2,4,2,4,1,1,2,2,0,1258,31008
São Sebastião do Paraíso,3,6,3,7,3,7,6,6,14,12,24,53,62,122,204,259,269,265,414,276,247,182,131,79,54,54,52,35,33,33,20,25,23,27,21,21,15,36,23,12,14,9,14,8,8,15,19,22,19,32,25,27,3350,31009
Três Corações,1,2,2,0,0,0,0,7,0,6,4,9,27,33,15,23,32,15,12,6,9,1,5,4,3,4,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,2,0,0,1,2,5,237,31010
Três Pontas,1,3,4,6,3,1,3,3,0,1,1,1,1,10,5,5,12,11,36,17,17,8,8,3,6,1,1,0,1,1,1,0,4,4,1,0,2,2,5,3,2,4,4,1,1,1,2,2,2,4,0,1,216,31011
Varginha,14,8,7,7,4,10,9,3,7,8,10,11,5,25,36,29,65,74,91,53,44,29,39,12,16,20,11,19,12,9,16,6,12,14,20,24,26,29,10,16,16,10,11,13,10,13,16,12,16,20,19,18,1034,31012
Barbacena,0,0,0,0,0,1,0,0,0,0,0,0,4,1,3,4,3,4,6,5,12,10,7,1,1,2,0,4,0,2,8,2,1,0,1,1,1,0,1,0,0,1,1,2,0,2,5,1,1,1,2,1,102,31013
São João Del Rei,4,12,11,14,8,6,6,10,1,9,23,32,29,25,43,42,36,47,51,29,30,23,21,3,18,11,7,10,2,9,8,3,9,7,4,5,13,3,8,13,5,11,12,1,7,2,7,10,5,10,7,4,726,31015
"Belo Horizonte,Nova Lima,Santa Luzia",241,277,299,250,194,195,194,258,252,304,293,307,368,353,409,387,616,592,599,440,371,424,385,307,310,233,214,223,168,146,175,155,123,109,131,130,148,161,179,230,216,256,239,165,240,224,318,250,247,251,229,360,14145,31016
Betim,25,47,44,51,35,52,34,31,38,40,57,73,53,56,57,53,80,83,83,71,59,50,62,33,48,52,48,30,21,39,32,26,24,14,26,17,29,37,29,30,39,28,36,21,44,32,31,55,40,54,32,46,2227,31017
Contagem,51,83,80,66,40,40,38,57,22,42,39,56,56,56,61,102,103,117,100,84,121,100,94,64,72,87,50,39,43,40,42,45,42,37,31,27,24,40,40,52,52,50,54,34,57,62,50,28,47,59,39,56,2971,31018
