Município,Semana 01,Semana 02,Semana 03,Semana 04,Semana 05,Semana 06,Semana 07,Semana 08,Semana 09,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 50,Semana 51,Semana 52,Semana 53,Total,CIR
"Diamantina,Itamarandiba",1,0,1,0,0,0,2,0,1,0,1,1,0,1,0,1,1,0,1,2,1,1,3,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,24,31026
"Turmalina,Minas Novas,Capelinha",4,6,2,21,28,13,14,6,11,4,9,7,5,2,3,3,0,5,1,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,2,0,2,0,1,0,0,158,31027
Bom Despacho,3,8,6,7,7,9,10,8,10,3,8,15,13,6,19,10,15,28,40,45,34,42,35,24,21,11,10,16,7,7,7,9,5,9,5,2,3,1,3,2,1,5,7,1,4,5,7,8,12,7,12,5,14,611,31028
Formiga,1,10,9,3,16,14,12,18,11,14,34,26,77,38,58,55,41,41,39,26,22,24,18,16,9,16,6,7,5,9,5,3,3,4,3,6,5,2,13,7,8,7,9,10,15,12,18,3,20,9,40,29,22,928,31030
Itaúna,1,7,1,1,2,1,1,1,2,3,4,1,4,10,7,10,9,3,9,12,14,20,10,6,2,17,0,1,1,2,1,2,0,1,0,0,2,1,2,1,1,0,2,0,4,3,0,3,4,2,3,0,0,194,31031
"Pará de Minas,Nova Serrana",3,5,11,6,12,14,20,5,27,18,33,21,42,39,63,89,85,67,80,65,81,65,43,50,37,45,19,8,4,5,4,5,3,2,7,1,3,1,0,3,2,4,6,3,3,2,4,1,0,3,1,0,0,1120,31032
Caratinga,1,3,1,2,1,2,1,3,3,1,6,4,2,1,1,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,0,1,0,0,1,0,0,0,47,31034
"Coronel Fabriciano,Timóteo",19,18,21,14,13,12,11,16,15,6,15,12,16,10,24,14,19,14,14,10,7,8,10,2,5,1,5,4,2,1,1,5,2,3,1,1,1,2,1,2,3,3,8,1,3,5,2,2,2,2,4,1,0,393,31035
Governador Valadares,21,61,33,26,31,55,35,31,23,39,55,53,30,25,46,29,24,35,45,23,34,30,32,30,27,19,11,11,12,21,14,14,15,9,5,4,13,7,12,18,11,11,14,9,12,7,54,27,13,10,7,10,4,1247,31036
Ipatinga,12,22,28,18,13,17,22,6,16,17,22,30,28,20,23,10,18,7,30,19,11,14,5,7,7,17,4,3,8,5,5,8,8,2,3,5,7,18,16,16,7,8,3,15,25,24,22,12,8,24,8,6,11,720,31037
Mantena,0,1,0,1,2,0,2,2,3,0,0,1,0,0,0,0,2,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,4,0,0,1,3,1,0,4,0,1,0,1,1,1,0,1,38,31038
Resplendor,1,2,5,3,3,3,4,4,1,1,3,1,5,1,3,0,1,1,2,6,3,2,3,1,0,0,0,1,1,0,1,1,0,0,3,0,3,4,0,0,1,1,1,3,3,2,5,2,3,3,5,3,1,106,31040
Além Paraíba,0,2,4,1,2,1,1,1,2,0,0,2,1,2,0,0,3,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,31,31041
Carangola,1,7,11,5,6,4,4,5,10,3,1,5,3,1,4,1,3,0,7,2,4,2,1,2,0,0,1,0,0,1,2,0,0,1,2,1,0,3,1,0,1,1,2,2,1,0,1,0,0,2,5,0,0,119,31042
"Leopoldina,Cataguases",3,8,3,6,5,9,5,8,2,2,13,7,10,4,5,0,1,4,10,9,10,1,6,4,2,4,5,2,1,1,1,4,1,2,2,6,6,5,8,12,14,12,12,2,5,2,0,1,4,4,2,2,3,260,31044
Muriaé,1,2,0,4,11,1,3,5,5,1,3,5,3,3,8,2,4,0,6,5,3,7,7,5,0,0,2,1,3,2,1,1,1,0,0,2,3,8,3,0,2,4,2,0,1,1,4,2,1,1,0,0,0,139,31045
Santos Dumont,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,3,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,31046
"São João Nepomuceno,Bicas",1,6,8,4,6,2,2,2,8,1,4,0,9,10,12,7,1,6,5,3,5,3,2,3,0,2,1,0,0,1,0,2,1,1,1,7,0,1,0,3,2,5,3,2,2,1,1,0,0,2,2,0,1,151,31047
Ubá,4,4,6,10,5,15,20,11,15,9,13,10,23,21,41,21,16,13,19,10,5,7,5,8,3,4,3,2,2,1,0,4,3,3,9,2,6,3,3,4,2,5,1,4,0,1,3,5,6,7,7,1,0,405,31048
Coração de Jesus,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,0,1,0,0,0,0,0,0,12,31050
Francisco Sá,2,0,0,1,1,5,1,0,1,0,1,0,0,1,2,3,1,1,3,6,4,3,5,2,3,0,0,1,0,2,4,1,4,1,0,1,0,0,0,1,0,1,1,0,0,0,2,1,2,1,2,0,0,71,31051
"Janaúba,Monte Azul",2,1,7,4,7,6,8,3,3,1,1,2,5,2,2,3,3,2,3,1,2,4,2,4,1,1,0,0,0,2,0,2,2,0,0,0,0,0,0,1,0,0,1,0,3,0,4,4,4,1,2,0,1,107,31052
Januária,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,31053
Pirapora,1,6,14,4,29,13,38,14,20,3,8,31,11,11,6,25,14,10,20,16,6,10,4,1,1,3,1,0,0,2,0,1,0,0,0,0,0,1,0,0,2,0,0,2,1,0,2,0,1,1,0,0,0,333,31055
Patos de Minas,6,14,23,23,48,62,70,71,72,61,71,92,76,96,160,172,191,216,197,120,161,131,170,125,73,37,30,19,22,20,4,10,15,11,7,18,8,8,1,3,5,5,4,4,7,9,3,9,12,5,10,10,8,2805,31057
"Unaí,Paracatu",16,66,136,242,399,440,568,581,618,461,574,498,472,459,416,314,396,337,260,211,137,115,84,65,39,28,38,22,13,10,15,12,6,7,4,2,1,5,4,5,10,4,7,9,20,11,16,12,22,11,18,10,8,8234,31058
Manhuaçu,5,22,18,23,8,9,12,10,13,10,7,11,4,8,11,8,9,3,6,8,10,5,4,3,5,4,0,4,0,1,0,5,3,1,0,0,0,2,3,5,1,4,3,2,6,3,1,3,4,5,5,2,2,301,31059
Ponte Nova,0,6,3,1,6,2,3,9,8,2,18,12,8,7,9,12,23,12,5,3,6,0,0,3,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,3,0,1,0,1,5,2,1,2,2,0,0,182,31060
Viçosa,0,4,1,0,0,1,0,1,0,1,2,1,1,1,2,1,2,2,2,3,4,2,3,1,1,2,0,1,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,46,31061
Araçuaí,5,5,4,14,7,2,8,3,2,2,8,5,3,4,2,4,5,3,5,6,0,1,3,6,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,3,1,1,1,5,0,0,123,31064
Itaobim,0,0,2,1,1,0,1,0,0,1,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,31065
Nanuque,0,1,3,1,8,5,8,11,2,1,6,5,6,5,2,2,1,0,3,2,1,0,2,0,0,2,2,1,0,4,1,1,1,2,1,0,3,1,0,1,0,2,1,1,0,0,0,1,0,0,0,0,0,100,31066
Padre Paraíso,0,0,0,1,0,0,0,3,2,2,4,4,2,2,2,1,1,0,2,0,0,0,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,33,31067
Pedra azul,0,0,0,0,0,0,1,1,1,0,0,1,0,2,0,2,4,2,2,1,6,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,27,31068
Araxá,1,3,2,6,13,4,18,18,24,18,19,26,47,36,44,50,78,64,52,29,48,49,66,34,35,17,19,10,4,5,5,7,2,11,3,1,2,6,3,0,3,6,5,3,7,4,3,4,7,4,14,1,7,947,31070
"Frutal,Iturama",2,18,14,47,34,47,50,49,38,23,48,53,80,82,142,112,165,143,172,149,128,148,92,124,78,72,45,12,20,16,12,17,15,16,4,15,14,19,27,27,19,17,17,11,17,16,22,15,29,23,16,11,9,2591,31071
Uberaba,24,63,100,125,151,125,152,140,211,155,190,173,157,160,140,124,105,83,106,115,116,98,102,116,88,82,56,61,52,52,26,47,32,39,48,27,32,30,28,27,37,19,45,23,31,26,18,34,24,16,12,1,5,4049,31072
Ituiutaba,15,34,42,51,55,56,55,60,71,44,70,73,96,75,125,110,128,107,136,69,89,69,37,27,14,28,14,21,13,11,7,5,2,5,5,2,5,4,4,5,7,7,7,6,10,5,10,12,13,16,13,8,9,1962,31073
"Patrocínio,Monte Carmelo",1,6,5,3,1,5,2,1,3,2,7,12,11,17,41,36,44,80,77,96,58,59,38,37,35,31,18,17,14,15,3,1,1,1,2,4,1,0,0,1,0,3,5,4,3,4,3,1,3,1,2,3,1,819,31074
"Uberlândia,Araguari",37,67,65,81,103,165,153,200,207,209,270,285,425,379,428,353,416,343,352,304,343,230,179,148,118,90,60,57,55,31,35,21,14,23,24,24,30,38,21,28,22,24,27,26,35,31,55,26,36,26,44,32,17,6812,31075
Manga,0,2,3,11,12,18,16,16,13,12,17,23,19,42,43,10,6,11,15,8,4,9,26,24,15,20,3,3,8,6,5,10,5,3,5,2,0,0,0,0,2,0,0,1,2,3,0,2,0,1,0,1,0,457,31076
João Pinheiro,5,59,65,77,60,32,56,22,20,11,20,34,77,23,32,25,44,31,30,55,38,37,50,23,34,25,8,6,10,1,2,2,5,4,5,1,0,1,0,1,1,1,0,1,0,2,1,0,2,1,1,0,0,1041,31077
Congonhas,1,3,1,0,0,0,1,1,5,1,1,6,1,2,4,4,8,2,7,6,8,2,2,3,1,1,0,1,0,0,0,1,1,0,1,2,0,1,1,0,1,0,0,0,0,0,1,0,1,2,0,0,0,84,31078
Conselheiro Lafaiete,0,2,1,2,1,1,2,0,1,1,0,0,4,1,0,0,2,0,1,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,3,1,2,0,0,0,0,0,33,31079
São Gotardo,1,4,1,0,0,5,0,1,5,18,25,30,29,29,17,29,38,28,32,25,22,15,30,12,11,11,6,15,3,1,0,3,0,0,1,1,0,0,2,0,0,0,2,3,0,3,1,3,0,1,0,3,0,466,31082
Bocaiúva,1,3,1,5,1,3,2,3,3,7,4,13,5,4,9,6,11,4,14,7,0,5,7,4,1,10,4,2,2,2,1,1,2,0,0,1,0,3,2,2,0,3,0,1,1,1,5,1,0,1,0,1,0,169,31083
Montes Claros,13,22,18,13,19,5,13,1,6,4,4,6,9,2,9,1,6,6,7,4,9,2,4,4,2,0,2,6,1,3,2,0,0,1,1,1,1,0,2,3,1,0,1,3,6,0,7,4,4,4,1,2,5,250,31084
Taiobeiras,0,0,2,1,1,0,1,2,1,0,0,1,4,4,1,4,1,2,2,1,5,2,4,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,48,31085
Divinópolis,4,27,17,45,83,91,112,160,194,147,249,294,468,462,650,456,415,342,508,372,357,215,136,66,32,33,26,24,14,10,16,7,9,6,3,6,4,10,8,10,8,5,7,4,7,12,6,8,4,3,6,6,3,6167,31086
"Lagoa da Prata,Santo Antônio do Monte",2,3,4,8,5,6,6,13,8,11,19,31,32,20,32,39,58,49,61,71,68,90,92,67,51,62,35,45,30,14,11,9,7,3,10,7,5,8,3,6,9,7,3,11,4,4,13,0,1,5,6,4,5,1173,31087
"Oliveira,Santo Antônio do Amparo",4,11,7,6,4,5,5,2,2,2,2,11,7,9,16,6,23,25,42,30,18,15,14,8,8,6,6,4,4,3,0,3,0,0,0,1,2,1,1,4,3,4,4,6,6,3,1,2,3,2,0,0,1,352,31088
Campo Belo,7,47,84,151,222,151,424,472,344,222,199,186,260,239,196,141,199,126,103,79,75,42,25,19,66,54,3,1,1,10,4,1,0,1,0,1,1,2,1,4,4,7,2,1,5,1,1,2,3,5,2,3,0,4199,31089
Lima Duarte,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,10,31090
Cássia,1,1,3,1,1,2,2,0,0,1,7,4,3,5,7,7,4,14,14,16,17,6,11,9,9,9,6,3,2,0,0,0,2,1,1,0,2,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,177,31091
Passos,2,15,36,60,121,180,241,314,377,295,294,312,404,370,354,422,427,303,252,135,112,86,61,44,55,27,3,12,0,4,6,3,4,1,1,3,4,3,1,8,6,5,4,8,5,12,17,14,11,19,27,16,12,5508,31092
Piumhi,0,0,1,0,2,0,0,3,2,3,7,8,8,30,35,51,63,47,56,44,44,43,33,28,21,14,13,5,9,9,5,4,3,3,3,1,5,3,1,5,0,4,0,6,2,4,4,1,3,2,1,1,0,640,31093
"Almenara,Jacinto",1,1,1,5,4,10,7,4,12,1,7,1,2,0,4,2,9,4,2,2,9,7,3,4,2,1,2,0,2,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,2,1,1,2,0,1,0,0,122,31094
Serro,0,2,0,0,2,0,0,0,0,1,0,1,2,2,2,1,1,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,21,31095
Itambacuri,0,8,9,0,0,4,0,5,0,0,2,4,2,2,5,1,0,1,0,0,6,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,55,31096
Juiz de Fora,0,6,10,10,2,8,13,15,9,5,18,13,36,62,96,38,59,91,45,88,42,74,32,9,30,41,16,27,6,10,6,4,3,2,4,4,3,6,4,10,6,9,8,6,7,5,4,6,8,7,5,3,4,1035,31097
Salinas,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,1,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,16,31098
"Teófilo Otoni,Malacacheta",9,37,28,32,16,16,15,13,2,3,7,22,7,11,14,21,25,24,19,26,27,20,7,16,11,10,10,6,9,7,12,8,14,16,17,13,7,13,17,25,17,11,11,6,18,8,8,7,11,8,7,9,5,738,31099
São Francisco,4,13,8,2,6,1,1,3,2,1,3,2,6,3,15,9,8,5,5,0,5,5,3,3,6,1,3,4,1,1,0,3,2,1,0,3,5,5,7,5,7,3,2,1,1,0,5,6,4,0,1,3,0,193,31100
Brasília de Minas,1,2,1,1,4,3,3,3,0,2,2,2,0,1,3,0,1,1,1,6,9,10,11,4,2,0,0,2,0,3,1,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,84,31101
"Peçanha,São João Evangelista,Santa Maria do Suaçuí",0,3,6,7,6,4,8,16,17,7,11,14,16,6,10,15,2,8,5,2,4,4,2,2,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,181,31102
