Município,Semana 01,Semana 02,Semana 03,Semana 04,Semana 05,Semana 06,Semana 07,Semana 08,Semana 09,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 50,Semana 51,Semana 52,Semana 53,Total,CIR
"Alfenas,Machado",3,3,6,7,5,6,1,6,4,6,5,14,15,12,48,39,59,76,73,48,44,49,51,23,15,9,11,3,4,4,4,6,2,3,7,9,3,3,4,6,6,2,3,6,3,2,3,2,1,1,5,2,0,732,31001
Guaxupé,2,2,0,1,0,0,2,2,1,2,2,1,3,1,8,7,3,3,14,15,7,3,4,4,6,1,1,2,1,3,3,3,0,3,3,1,0,0,0,3,2,1,1,0,0,0,2,2,1,1,2,0,5,134,31002
Itajubá,0,0,2,1,0,1,1,0,2,0,3,3,2,2,4,0,2,5,4,5,2,1,5,0,2,2,2,1,1,3,0,0,1,0,0,1,0,0,0,1,2,1,3,0,2,2,0,1,1,2,0,0,0,73,31003
Lavras,2,2,0,7,5,6,12,8,33,35,62,71,164,250,259,345,425,337,285,124,118,83,83,58,21,17,5,2,2,0,0,0,0,0,4,1,1,2,3,0,2,1,1,2,3,4,2,0,11,3,2,2,0,2865,31004
Poços de Caldas,1,0,1,1,4,1,0,2,1,1,3,3,1,3,2,5,14,10,8,13,4,9,7,3,2,4,1,2,1,3,0,1,2,1,1,3,0,0,0,1,0,1,3,3,1,1,3,1,1,0,1,1,0,135,31006
Pouso Alegre,1,3,1,6,4,3,2,3,2,0,4,5,10,3,17,9,29,16,28,25,18,14,16,7,2,3,9,6,4,1,2,2,0,3,3,2,3,3,2,2,1,4,4,3,0,3,3,2,4,1,2,0,3,303,31007
São Lourenço,0,1,1,2,4,1,3,0,2,1,0,2,0,3,4,9,7,6,16,3,6,7,10,4,4,1,0,2,2,0,2,2,0,1,1,0,1,0,1,0,1,0,3,2,1,0,1,2,2,0,1,0,1,123,31008
São Sebastião do Paraíso,1,9,4,6,3,6,0,9,3,7,4,1,11,12,8,6,7,11,9,12,13,4,7,9,3,8,3,2,1,2,0,4,4,0,2,0,1,1,3,0,0,3,3,4,8,3,4,2,3,2,1,1,0,230,31009
Três Corações,0,2,0,1,0,0,0,3,1,3,4,12,21,21,64,127,319,262,69,66,26,27,14,4,6,4,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,2,0,1,1,9,8,4,8,8,14,24,4,1143,31010
Três Pontas,0,1,0,2,2,1,3,3,0,0,2,7,5,7,10,9,14,12,19,15,17,12,8,6,7,5,6,2,2,4,2,1,4,1,1,4,2,3,1,6,8,6,9,5,3,6,1,1,3,2,1,1,1,253,31011
Varginha,1,2,2,7,5,4,6,10,1,11,16,11,21,12,21,21,52,42,43,41,33,29,21,17,16,26,13,16,15,9,6,7,4,5,9,4,3,4,7,7,9,3,9,4,1,2,6,3,4,2,3,4,2,632,31012
Barbacena,0,0,1,1,3,3,0,4,2,0,2,0,0,1,2,0,3,2,1,2,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,35,31013
São João Del Rei,0,0,2,2,0,1,5,7,6,10,22,37,77,74,119,104,108,57,58,24,30,18,7,8,8,5,2,0,0,0,0,1,0,1,2,0,0,2,2,1,0,0,0,0,1,0,2,0,0,2,1,1,0,807,31015
"Belo Horizonte,Nova Lima,Santa Luzia",151,388,417,329,404,463,594,536,561,342,598,773,698,653,673,524,658,485,475,365,353,372,349,266,193,209,172,130,100,109,75,73,79,86,91,92,93,83,110,128,126,166,122,100,169,143,195,139,133,135,123,79,79,14959,31016
Betim,21,46,33,40,118,50,72,82,65,109,99,119,195,148,179,162,204,116,171,126,144,129,117,87,47,50,31,19,13,19,11,14,16,14,25,21,11,8,21,16,16,14,14,9,16,30,21,21,20,28,27,26,19,3229,31017
Contagem,20,72,74,72,83,85,72,88,104,87,108,126,93,110,152,105,121,103,156,91,71,69,61,33,29,37,28,19,14,24,13,10,14,9,10,17,7,13,12,19,11,20,20,20,22,15,29,18,18,19,14,12,7,2656,31018
Curvelo,39,92,134,176,174,266,188,260,175,107,123,121,144,92,133,110,72,95,82,73,43,35,34,27,13,15,21,19,9,5,4,5,2,3,7,5,4,7,5,4,5,2,8,7,7,5,8,6,9,3,8,4,1,2996,31019
Guanhães,0,3,2,4,3,3,1,0,0,0,1,0,2,2,1,0,3,3,4,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,1,0,0,0,44,31020
Itabira,6,11,7,10,5,15,9,13,6,11,11,19,10,15,13,12,31,6,9,6,19,5,9,7,5,2,0,4,3,2,2,1,1,1,2,2,3,4,4,2,1,5,7,2,8,8,3,1,1,7,9,7,3,365,31021
Ouro Preto,0,4,2,1,5,2,2,4,2,0,0,3,3,3,8,4,5,3,4,3,4,9,3,3,1,2,0,1,0,0,1,0,0,0,1,2,2,1,0,2,0,3,1,1,3,0,1,1,0,3,0,1,0,104,31022
João Monlevade,2,3,4,5,5,2,3,2,4,8,5,2,4,4,3,1,2,2,3,3,2,5,4,0,0,0,0,1,2,8,0,1,2,3,0,1,2,2,0,1,1,0,3,0,0,2,2,0,0,2,0,0,0,111,31023
Sete Lagoas,25,95,101,110,111,107,97,71,80,68,61,66,83,55,64,38,45,40,40,32,41,39,34,17,18,17,8,14,12,8,3,6,5,11,7,12,7,12,8,7,7,6,8,14,14,21,15,14,13,10,12,4,4,1817,31024
"Vespasiano,Lagoa Santa",6,35,29,19,20,16,23,29,32,17,30,36,27,29,35,27,24,23,30,18,23,24,14,10,7,11,6,4,8,4,8,2,2,4,2,1,5,4,1,9,7,4,6,8,12,4,16,11,9,7,6,1,1,746,31025
