Município,Semana 01,Semana 02,Semana 03,Semana 04,Semana 05,Semana 06,Semana 07,Semana 08,Semana 09,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Total,CIR
Caratinga,59,91,112,234,251,285,388,477,479,311,262,231,110,83,80,71,48,25,18,13,12,5,4,2,1,1,0,0,1,1,2,0,0,1,1,0,0,1,0,0,0,1,0,3661,31034
"Coronel Fabriciano,Timóteo",1280,2063,2271,2302,2254,1779,935,1399,1164,680,731,431,241,350,363,213,121,51,83,70,36,17,17,18,14,18,12,7,13,5,3,10,2,10,9,7,4,3,6,2,3,0,0,18997,31035
Governador Valadares,74,191,238,305,375,681,816,1647,2781,2309,2505,2478,1175,922,662,553,354,354,398,213,147,232,437,259,203,49,210,252,194,119,57,146,40,45,19,21,5,15,22,8,3,1,0,21515,31036
Ipatinga,701,1395,1897,2523,3073,2982,2847,2812,2502,1712,1322,919,521,622,446,343,273,117,153,131,88,98,107,54,64,46,28,77,36,20,27,32,31,40,29,27,22,25,32,37,21,13,0,28245,31037
Mantena,0,3,1,2,1,14,13,25,38,62,63,76,46,62,37,35,52,77,21,41,3,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,676,31038
Resplendor,0,1,5,7,9,31,21,56,86,134,266,240,185,240,155,137,85,46,22,25,15,5,11,6,4,2,3,3,2,4,2,2,1,1,2,3,0,1,1,1,1,3,0,1824,31040
Além Paraíba,0,1,1,0,0,0,0,3,3,3,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,31041
Carangola,0,0,0,1,2,3,5,1,3,0,0,1,0,1,4,0,2,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30,31042
"Leopoldina,Cataguases",1,0,0,0,1,0,0,0,0,1,4,1,0,0,3,0,5,0,3,1,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,1,2,1,0,0,0,0,29,31044
Muriaé,0,2,0,0,2,6,2,4,3,11,5,12,2,5,7,4,10,2,7,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,91,31045
Santos Dumont,0,0,0,0,1,1,1,1,0,1,0,1,1,1,2,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,31046
"São João Nepomuceno,Bicas",1,1,1,1,0,0,1,0,1,2,14,4,1,1,1,1,1,0,1,1,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,39,31047
Ubá,0,1,1,1,10,3,7,19,30,63,103,178,267,463,488,470,342,288,399,412,369,222,317,196,116,104,113,50,49,28,31,18,22,25,38,17,38,32,2,7,4,9,0,5352,31048
Coração de Jesus,0,0,0,0,0,4,3,10,21,20,1,0,3,0,2,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,71,31050
Francisco Sá,1,1,2,2,6,13,10,12,34,26,25,21,27,16,10,6,13,8,8,8,7,3,1,3,0,0,4,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,271,31051
