Residência,Em Branco,Semana 01,Semana 02,Semana 03,Semana 04,Semana 05,Semana 06,Semana 07,Semana 08,Semana 09,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Total,CIR
ALEM PARAIBA,0,107,147,159,191,233,188,199,232,248,220,176,98,81,81,78,53,41,41,40,29,9,5,12,1,3,7,2,1,1,4,1,1,0,1,0,0,0,0,0,1,2,0,0,2693,31041
SANTO ANTONIO DO AVENTUREIRO,0,3,9,8,10,19,19,34,52,55,58,22,52,30,19,14,8,10,14,6,2,3,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,451,31041
PIRAPETINGA,0,1,0,6,4,5,14,17,56,63,47,20,21,26,12,10,5,5,6,17,1,2,4,2,0,0,4,3,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,356,31041
ORIZANIA,0,0,0,0,1,3,5,3,9,5,4,6,0,3,13,16,13,19,51,20,16,6,8,11,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,31042
TOMBOS,0,11,29,89,86,65,82,62,66,44,42,39,19,13,8,5,11,4,11,11,10,6,2,2,2,3,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,726,31042
DIVINO,0,0,5,5,2,17,17,26,39,45,46,40,48,111,105,102,79,91,84,66,64,60,58,48,28,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1193,31042
PEDRA BONITA,0,0,0,0,0,0,3,1,4,4,7,1,2,1,0,12,6,12,10,9,2,6,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,31042
PEDRA DOURADA,0,0,0,0,0,2,0,0,2,1,13,5,1,4,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,34,31042
FERVEDOURO,0,0,0,0,4,7,7,26,32,22,65,61,58,75,103,91,53,38,30,18,22,8,6,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,731,31042
CARANGOLA,0,7,15,18,35,54,113,74,142,136,157,110,116,63,60,52,30,33,32,15,19,4,2,1,0,3,1,2,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1299,31042
FARIA LEMOS,0,2,0,3,3,5,2,4,8,4,8,5,1,1,0,1,0,2,8,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,31042
CAIANA,0,1,2,4,31,24,36,9,32,15,21,5,15,4,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,31042
ESPERA FELIZ,0,16,26,86,96,233,392,358,485,380,272,232,195,98,96,82,56,34,32,27,31,11,10,5,1,1,3,1,2,0,0,0,1,2,2,0,1,1,3,1,3,1,0,0,3276,31042
CAPARAO,0,0,0,0,0,3,18,10,6,42,34,29,9,7,33,29,18,32,35,40,53,30,22,14,7,8,7,4,2,1,0,0,1,0,1,1,2,0,0,1,0,0,0,0,499,31042
ASTOLFO DUTRA,0,11,25,29,27,25,33,15,32,16,10,3,2,7,1,3,1,0,1,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,31044
LEOPOLDINA,0,6,25,36,47,79,82,71,151,192,143,130,124,110,125,98,111,50,34,39,18,20,14,6,7,7,8,2,1,3,1,0,4,1,0,0,3,0,0,0,1,0,0,0,1749,31044
CATAGUASES,0,158,264,320,295,278,252,103,259,202,163,134,123,39,48,37,27,22,19,11,4,3,2,1,2,7,2,2,2,0,1,1,0,0,0,0,1,0,2,0,0,1,0,0,2785,31044
LARANJAL,0,0,0,0,3,4,2,4,7,11,9,11,12,1,5,0,0,0,0,0,5,14,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,31044
SANTANA DE CATAGUASES,0,0,8,1,14,22,24,16,54,30,19,15,33,17,13,14,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,287,31044
RECREIO,0,16,20,41,49,33,41,30,57,46,58,45,34,24,20,21,15,16,10,11,13,8,2,9,5,5,5,3,2,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,644,31044
DONA EUSEBIA,0,6,13,18,24,48,40,17,42,41,25,21,37,17,19,3,0,13,10,8,3,1,1,5,1,1,1,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,421,31044
PALMA,0,0,0,13,12,8,12,14,10,22,11,21,9,10,36,18,15,9,7,5,2,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,31044
ARGIRITA,0,0,2,0,2,2,1,0,3,1,8,1,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,7,0,37,31044
ITAMARATI DE MINAS,0,4,8,43,9,4,3,5,1,4,6,4,0,5,4,2,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,108,31044
MIRAI,0,44,33,55,53,80,32,17,41,8,1,3,5,3,22,24,18,18,10,5,8,1,0,4,0,6,0,1,0,0,2,1,1,0,0,0,2,1,1,0,1,2,3,0,506,31045
SAO FRANCISCO DO GLORIA,0,0,0,0,3,8,11,35,33,32,51,64,30,48,40,33,32,19,32,32,20,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,534,31045
ROSARIO DA LIMEIRA,0,0,0,0,0,2,3,3,6,5,0,4,3,1,0,1,0,2,0,1,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,37,31045
BARAO DE MONTE ALTO,0,0,0,0,3,1,4,7,8,11,13,16,9,3,7,6,2,9,4,4,4,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,31045
MIRADOURO,0,1,0,1,3,8,14,10,24,34,22,26,15,13,19,12,16,19,9,7,9,3,2,1,4,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,275,31045
MURIAE,0,19,53,61,55,87,135,167,254,281,253,292,236,129,178,204,157,139,90,82,92,77,42,44,29,23,23,11,4,5,8,7,7,5,8,9,21,18,19,9,12,3,2,0,3350,31045
EUGENOPOLIS,0,1,0,0,2,4,9,29,24,30,29,4,6,0,4,1,4,5,1,3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,31045
ANTONIO PRADO DE MINAS,0,0,0,0,0,1,1,1,6,0,0,0,0,0,0,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,31045
VIEIRAS,0,0,0,1,0,4,9,10,20,11,1,3,1,9,3,1,1,3,0,1,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,83,31045
SAO SEBASTIAO DA VARGEM ALEGRE,0,0,1,0,0,1,1,2,4,6,3,3,25,7,11,7,12,4,4,17,5,6,2,7,1,10,0,9,0,1,4,0,1,1,2,1,0,1,0,0,0,0,0,0,159,31045
PATROCINIO DO MURIAE,0,0,0,1,3,2,6,6,31,15,9,21,7,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,109,31045
SANTOS DUMONT,0,1,3,10,35,71,53,57,56,111,67,100,91,149,133,151,176,90,75,60,40,80,36,32,15,16,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1715,31046
ARACITABA,0,0,0,0,1,2,7,4,16,13,7,10,21,12,39,31,21,27,42,30,39,21,24,31,6,12,5,1,3,2,2,1,1,2,1,0,0,0,0,0,0,0,0,0,434,31046
OLIVEIRA FORTES,0,0,0,0,0,2,4,0,12,1,2,4,4,1,1,1,7,11,13,9,13,5,1,9,0,0,7,2,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,116,31046
ROCHEDO DE MINAS,0,0,0,0,1,0,4,1,2,6,20,40,30,22,38,41,14,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,31047
BICAS,0,1,2,0,8,22,37,34,35,80,74,76,100,75,66,58,87,57,32,55,48,29,37,39,17,37,19,6,5,2,10,3,0,5,1,0,0,0,0,0,0,1,1,0,1159,31047
SENADOR CORTES,0,0,4,0,2,9,14,10,14,42,38,38,41,32,62,32,26,16,17,5,9,9,4,4,2,4,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,438,31047
MARIPA DE MINAS,0,0,1,0,0,0,0,1,5,9,21,29,25,30,30,32,33,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,31047
SAO JOAO NEPOMUCENO,0,3,5,2,26,10,20,23,59,39,250,270,129,105,79,108,81,113,71,57,103,65,69,31,44,43,61,9,26,10,10,8,6,7,10,8,2,6,8,2,9,11,2,0,2000,31047
MAR DE ESPANHA,0,1,10,28,69,107,89,99,154,210,67,107,123,66,19,5,28,6,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1194,31047
GUARARA,0,0,1,0,0,6,5,8,21,15,25,9,50,30,8,17,41,11,0,10,12,9,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,31047
PEQUERI,0,1,1,0,0,4,8,7,3,15,5,6,29,4,2,6,3,3,8,8,9,3,6,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,136,31047
DESCOBERTO,0,1,0,2,3,1,2,3,5,6,6,10,7,10,18,10,7,27,18,30,25,18,5,6,10,6,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,240,31047
GUIDOVAL,0,0,0,0,1,5,21,9,16,22,25,28,34,18,23,24,13,16,11,14,4,1,0,5,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,296,31048
DORES DO TURVO,0,1,0,0,1,2,1,1,0,11,11,4,1,5,10,15,8,10,6,12,10,8,4,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,129,31048
TABULEIRO,0,0,0,1,0,3,7,4,8,15,13,9,4,5,19,27,37,14,15,28,25,20,12,8,3,3,5,1,1,3,2,2,0,2,2,0,0,0,1,1,1,1,1,0,303,31048
VISCONDE DO RIO BRANCO,0,6,14,12,19,48,132,114,233,299,307,290,287,215,258,228,134,148,91,107,101,67,60,58,53,37,26,28,9,10,4,11,2,6,9,4,7,3,3,0,5,13,3,1,3462,31048
SENADOR FIRMINO,0,0,0,0,1,4,9,22,18,26,23,23,26,9,27,29,24,24,25,34,38,21,4,11,6,4,2,3,2,0,1,0,1,0,0,0,1,0,0,0,1,2,0,0,421,31048
GUARANI,0,4,3,8,5,2,5,5,15,26,25,27,30,11,37,15,17,22,16,8,17,14,9,13,9,3,3,3,5,1,1,0,1,1,0,1,0,0,5,3,0,2,1,0,373,31048
SILVEIRANIA,0,0,0,0,0,0,2,8,6,11,7,17,2,15,11,6,3,5,3,12,7,5,12,2,6,4,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,31048
GUIRICEMA,0,1,0,1,1,4,3,33,64,119,68,69,68,30,80,56,82,46,35,16,3,7,5,1,1,0,5,6,3,2,3,0,0,2,3,0,2,1,2,0,1,1,0,0,824,31048
COIMBRA,0,1,0,2,7,9,20,26,20,21,33,36,57,36,32,40,26,23,12,40,24,22,14,29,9,5,4,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,552,31048
SAO GERALDO,0,0,0,3,1,5,9,10,12,21,20,21,27,19,35,41,45,32,52,28,39,39,16,6,10,10,5,10,8,2,3,2,0,0,0,1,1,0,0,1,0,2,1,0,537,31048
TOCANTINS,0,1,2,3,3,6,13,8,47,66,78,97,55,46,87,99,127,210,154,132,102,66,51,33,22,13,8,4,4,2,0,1,1,2,1,0,1,0,1,0,1,0,0,0,1547,31048
PRESIDENTE BERNARDES,0,0,5,0,1,3,16,6,32,28,20,26,48,59,85,77,75,44,42,28,9,9,8,1,2,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,629,31048
RODEIRO,0,0,7,4,7,15,32,37,60,88,80,102,117,63,69,50,40,35,29,19,22,9,10,5,6,0,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,913,31048
ERVALIA,0,0,1,0,3,15,8,21,66,39,80,74,78,0,26,13,9,9,15,7,7,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476,31048
PIRAUBA,0,1,0,1,10,41,26,22,23,29,45,48,63,65,15,14,18,17,13,21,13,15,17,20,6,4,6,4,6,5,5,5,1,1,3,5,1,0,4,5,3,0,0,0,601,31048
UBA,0,5,9,13,33,93,139,148,358,525,561,760,936,645,778,769,560,426,263,362,348,272,187,229,121,85,59,47,40,52,25,42,19,24,29,29,13,27,18,8,17,15,7,0,9096,31048
DIVINESIA,0,0,0,0,0,1,0,1,3,6,15,12,9,9,12,14,14,10,6,10,6,4,6,2,7,2,2,0,1,2,3,3,1,0,3,3,3,2,0,1,2,0,0,0,175,31048
BRAS PIRES,0,1,1,0,5,7,12,4,12,6,2,9,10,21,18,32,20,26,22,19,8,17,6,3,7,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,31048
MERCES,0,0,0,1,2,4,14,16,17,23,11,29,48,35,48,23,25,25,33,28,40,18,11,15,4,4,0,0,1,2,0,0,4,2,1,0,4,0,2,1,0,0,1,0,492,31048
RIO POMBA,0,0,4,2,11,15,33,46,102,68,49,30,19,31,17,19,31,26,22,49,44,45,14,24,16,14,29,10,7,5,4,3,2,1,1,3,0,1,0,0,0,0,0,0,797,31048
JEQUITAI,0,0,1,1,8,16,48,39,42,47,33,59,35,7,7,1,20,0,3,3,3,5,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,381,31050
CORACAO DE JESUS,0,1,5,4,14,70,105,115,196,253,257,282,294,244,222,162,92,62,47,30,23,16,7,7,2,4,2,0,0,0,0,0,0,0,1,3,0,2,0,1,0,0,0,0,2523,31050
LAGOA DOS PATOS,0,0,0,1,4,2,10,22,19,13,12,5,14,13,5,9,6,5,5,3,7,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,31050
SAO JOAO DA LAGOA,0,15,19,20,12,13,16,18,14,35,27,24,12,15,17,18,16,7,6,7,9,6,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,333,31050
SAO JOAO DO PACUI,0,0,0,0,0,2,7,7,30,25,42,50,56,38,63,49,28,41,37,19,21,31,12,12,11,8,14,8,5,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,621,31050
CRISTALIA,0,1,0,1,0,0,10,19,16,3,19,22,46,31,49,23,16,22,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,31051
CAPITAO ENEAS,0,7,10,10,12,38,46,48,40,101,71,105,97,76,74,67,46,32,24,8,16,11,7,6,4,3,1,0,2,1,0,1,0,0,1,0,1,1,1,0,1,0,1,0,970,31051
JOSENOPOLIS,0,0,3,0,3,1,7,5,3,4,5,4,5,14,11,13,7,4,3,5,6,7,4,1,3,2,0,3,5,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,134,31051
FRANCISCO SA,0,0,4,2,6,10,15,11,30,75,83,121,156,135,94,99,76,52,40,17,16,4,6,1,2,4,1,2,0,0,1,4,1,1,0,0,0,2,0,1,0,0,0,0,1072,31051
GRAO MOGOL,0,1,2,0,1,9,17,26,35,51,59,73,93,76,77,77,52,43,15,0,3,1,2,2,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,725,31051
BOTUMIRIM,0,1,5,3,28,32,34,36,45,49,66,49,75,81,67,56,56,57,28,12,20,15,5,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,823,31051
MAMONAS,0,0,0,1,1,7,6,17,20,22,23,25,42,46,31,51,40,25,31,20,17,21,2,8,6,7,6,6,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,484,31052
RIACHO DOS MACHADOS,0,1,6,5,5,10,9,11,8,21,14,14,31,23,31,39,41,7,6,4,8,7,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308,31052
CATUTI,0,0,3,2,1,2,5,4,6,10,14,18,11,24,40,47,54,42,56,33,50,17,12,4,5,2,0,3,0,1,0,2,3,1,0,0,0,0,0,0,0,0,1,0,473,31052
MATO VERDE,0,0,0,3,0,2,1,3,4,9,19,39,70,85,128,104,109,59,79,63,26,16,10,8,3,2,2,1,7,2,0,3,1,0,3,2,1,0,0,0,1,0,0,0,865,31052
SERRANOPOLIS DE MINAS,0,1,0,0,0,1,3,2,2,14,17,27,28,29,47,75,77,83,29,34,20,18,5,8,0,1,0,0,3,2,1,3,6,2,2,0,2,0,0,0,0,0,0,0,542,31052
JAIBA,0,0,5,6,10,21,29,22,45,59,70,59,75,85,82,76,66,83,53,81,52,36,41,22,7,6,1,7,8,7,5,1,1,1,2,1,3,1,0,0,1,0,0,0,1130,31052
VERDELANDIA,0,0,1,0,0,4,3,3,7,19,12,1,0,0,2,0,2,1,0,1,1,0,3,8,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,72,31052
MATIAS CARDOSO,0,0,2,5,1,4,10,6,9,10,10,12,3,0,1,0,6,0,21,0,0,2,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,31052
MONTE AZUL,0,0,2,5,4,8,10,11,14,14,16,21,24,40,36,52,55,42,30,36,25,23,9,10,4,2,4,7,1,2,1,1,1,1,1,0,2,1,1,0,0,0,0,0,516,31052
NOVA PORTEIRINHA,0,0,2,1,0,6,26,19,50,66,46,52,52,26,50,31,13,14,11,6,8,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,482,31052
PAI PEDRO,0,1,2,2,4,5,4,5,5,9,10,18,11,15,22,19,8,19,9,11,6,9,9,5,9,8,9,8,3,5,3,4,4,6,2,1,0,0,0,0,0,0,0,0,270,31052
PORTEIRINHA,0,0,1,1,3,11,17,10,35,25,42,80,143,146,209,168,168,153,99,67,47,26,20,14,6,12,8,5,1,2,0,5,0,2,1,1,0,0,1,0,0,0,0,0,1529,31052
GAMELEIRAS,0,0,0,0,0,5,8,13,16,27,38,17,13,14,13,17,20,13,7,8,20,3,3,6,7,5,5,3,5,3,3,1,0,3,0,0,0,0,0,0,1,0,0,0,297,31052
ESPINOSA,0,1,0,1,1,9,31,27,34,48,35,36,46,54,43,41,46,37,24,23,22,16,7,16,8,13,5,5,3,1,1,2,1,2,1,0,1,4,0,2,0,1,0,0,648,31052
JANAUBA,0,8,18,21,41,66,95,91,149,245,212,220,242,257,346,335,302,273,206,196,196,145,53,63,43,35,45,25,23,15,25,19,12,12,8,4,8,5,7,4,4,4,8,0,4086,31052
JANUARIA,0,31,56,115,165,442,628,563,725,999,846,635,499,330,222,148,130,105,72,47,53,28,24,18,14,15,6,12,9,3,2,7,4,3,13,6,4,13,7,11,6,16,17,0,7049,31053
PEDRAS DE MARIA DA CRUZ,0,2,3,5,8,21,25,22,24,46,31,34,34,15,8,4,12,5,3,3,1,3,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,314,31053
CONEGO MARINHO,0,17,20,10,21,47,53,59,69,115,43,50,49,32,17,10,7,1,1,2,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,629,31053
ITACARAMBI,0,0,0,1,1,10,22,37,44,45,56,52,30,26,36,22,12,11,5,6,2,5,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,428,31053
BONITO DE MINAS,0,1,3,2,3,12,17,23,20,41,80,76,57,67,89,74,62,41,19,21,4,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715,31053
IBIAI,0,3,5,5,14,41,41,41,51,37,37,60,61,72,65,60,44,8,13,0,3,14,13,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,690,31055
LASSANCE,0,1,5,16,47,72,152,184,202,191,131,122,90,41,36,21,13,10,5,3,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1347,31055
PONTO CHIQUE,0,0,0,1,3,4,9,6,8,10,3,12,6,4,0,12,5,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,31055
PIRAPORA,0,30,52,76,98,123,127,136,193,320,272,355,304,224,226,174,161,137,103,62,56,47,21,23,32,22,11,10,5,5,7,3,6,4,4,6,3,5,5,2,5,0,1,0,3456,31055
SANTA FE DE MINAS,0,0,1,1,4,3,2,2,3,7,5,7,6,4,7,12,11,11,9,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,31055
VARZEA DA PALMA,0,8,14,17,32,78,100,169,172,59,122,95,239,214,145,118,79,162,241,115,44,21,31,11,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2289,31055
BURITIZEIRO,0,0,4,4,3,35,65,56,79,75,112,128,161,36,63,51,39,57,69,47,36,64,0,12,7,7,4,0,1,0,2,2,0,1,1,0,0,1,1,0,1,2,0,0,1226,31055
PATOS DE MINAS,0,83,185,248,512,534,538,639,793,779,1263,1466,1679,1364,1429,1312,1175,1121,1063,978,815,642,508,564,338,243,207,112,64,46,55,39,15,6,24,8,6,13,8,5,15,13,17,1,20925,31057
PRESIDENTE OLEGARIO,0,1,1,1,2,14,23,32,40,38,53,65,69,85,99,83,148,75,58,27,1,25,2,22,5,4,1,2,0,3,4,1,0,0,2,1,2,0,0,0,0,2,0,0,991,31057
LAGAMAR,0,2,5,9,10,14,16,8,13,16,36,13,38,21,45,31,23,28,26,27,26,12,15,13,5,7,2,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,465,31057
SAO GONCALO DO ABAETE,0,3,2,7,4,9,5,11,18,11,14,6,13,8,8,8,5,4,6,10,5,4,5,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,31057
CRUZEIRO DA FORTALEZA,0,0,1,0,1,6,4,4,8,10,2,19,15,9,23,17,17,7,18,17,19,11,2,3,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,218,31057
GUARDA-MOR,0,1,0,3,7,3,19,6,56,51,70,67,36,25,73,58,50,53,36,37,9,6,2,3,7,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,725,31057
GUIMARANIA,0,5,3,1,7,4,2,10,23,6,5,9,12,0,6,3,0,2,3,1,4,0,0,1,5,1,1,1,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,124,31057
LAGOA FORMOSA,0,1,8,12,25,25,25,46,30,39,58,75,137,71,69,108,93,18,10,20,17,11,3,5,3,3,1,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,917,31057
VAZANTE,0,4,2,5,30,45,32,22,37,41,77,85,109,104,142,164,155,121,57,72,64,37,15,6,6,11,0,1,4,0,2,2,0,0,1,0,0,0,0,0,0,1,1,0,1455,31057
SERRA DO SALITRE,0,2,9,15,11,16,16,1,59,51,97,59,107,77,92,67,168,127,124,142,112,70,40,461,110,54,61,18,26,24,16,3,9,1,0,5,5,0,2,1,0,1,0,0,2259,31057
VARJAO DE MINAS,0,0,0,4,1,2,21,37,26,30,99,54,57,34,47,41,43,46,19,26,26,17,7,6,4,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,653,31057
UNAI,0,78,102,135,188,311,522,524,621,703,672,909,1019,960,821,762,1013,1088,853,495,342,357,300,258,192,135,116,96,80,51,21,8,18,23,22,38,43,41,52,71,63,50,23,0,14176,31058
URUANA DE MINAS,0,0,3,6,10,30,52,54,55,51,53,71,51,32,47,49,29,29,20,11,6,7,6,6,5,3,1,1,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,694,31058
BONFINOPOLIS DE MINAS,0,2,6,4,4,22,15,31,47,43,68,37,19,8,5,4,9,31,17,9,9,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395,31058
CABECEIRA GRANDE,0,9,13,17,21,15,22,29,30,17,17,27,6,10,10,11,14,25,9,0,6,6,0,4,1,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324,31058
ARINOS,0,44,60,56,57,55,140,47,90,61,88,67,32,15,9,6,5,7,1,0,1,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,848,31058
PARACATU,0,20,33,46,54,109,181,159,219,309,305,282,329,350,346,491,406,423,321,348,318,389,207,235,84,120,95,69,44,55,29,31,24,22,30,15,11,34,30,20,14,15,5,0,6627,31058
CHAPADA GAUCHA,0,1,9,11,23,29,76,91,97,186,189,323,316,291,205,234,167,90,63,75,80,39,19,20,7,6,6,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2657,31058
RIACHINHO,0,3,2,16,21,33,38,30,28,35,23,18,40,36,46,7,11,6,17,5,4,6,1,1,1,0,0,0,0,2,0,0,4,0,2,0,0,0,1,0,0,4,0,0,441,31058
BURITIS,0,49,63,61,80,122,153,181,315,344,278,249,177,93,45,34,69,55,66,36,25,12,0,16,13,8,6,4,2,1,0,1,3,0,0,1,0,0,1,0,0,1,0,0,2564,31058
DOM BOSCO,0,4,5,1,22,26,42,39,50,51,74,50,34,49,34,35,25,5,6,6,6,19,2,3,5,4,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,603,31058
NATALANDIA,0,1,11,11,18,41,53,36,57,62,47,37,44,28,35,42,16,29,9,11,15,20,9,10,9,14,4,10,14,8,3,1,1,4,2,0,0,0,1,0,1,0,0,0,714,31058
FORMOSO,0,27,5,3,59,46,121,123,127,115,144,93,60,50,54,29,44,34,28,17,11,12,5,4,4,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1221,31058
ALTO JEQUITIBA,0,8,5,3,1,6,17,17,32,31,24,32,39,36,51,61,51,54,62,52,49,27,9,12,10,9,9,1,3,1,3,3,1,1,0,0,3,0,0,1,0,0,0,0,724,31059
SIMONESIA,0,1,1,4,3,16,16,80,122,88,126,177,274,42,30,23,19,29,14,4,7,0,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1082,31059
MANHUMIRIM,0,3,0,5,12,15,27,43,33,51,41,40,71,92,93,63,46,29,53,65,16,29,29,24,12,9,2,8,2,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,919,31059
IPANEMA,0,0,0,0,1,10,36,16,74,105,55,66,25,28,31,22,14,11,13,4,6,5,1,2,0,4,0,0,0,0,0,2,2,1,0,0,0,0,0,0,1,0,1,0,536,31059
