Residência,Em Branco,Semana 01,Semana 02,Semana 03,Semana 04,Semana 05,Semana 06,Semana 07,Semana 08,Semana 09,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Total,CIR
SAO JOSE DA VARGINHA,0,1,2,5,5,6,19,22,28,38,16,8,7,7,11,13,4,8,6,5,0,1,3,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,219,31032
CONCEICAO DO PARA,0,2,0,3,3,9,26,12,30,59,67,55,75,54,70,46,27,19,14,32,7,16,2,7,3,1,1,1,0,1,0,1,0,0,2,0,1,1,0,0,1,0,0,0,648,31032
ONCA DE PITANGUI,0,0,1,3,4,3,8,11,27,25,25,26,32,18,28,19,22,17,8,14,9,10,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,31032
IGARATINGA,0,5,18,18,20,31,62,57,56,60,97,87,101,81,84,99,47,59,29,46,16,12,14,17,12,5,1,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,1139,31032
VERMELHO NOVO,0,0,0,0,0,1,4,12,34,40,16,24,24,17,19,23,10,0,12,2,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,31034
PIEDADE DE CARATINGA,0,0,0,8,7,7,23,15,25,33,21,20,43,30,59,91,63,74,41,33,29,22,14,13,8,5,2,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,693,31034
SANTA BARBARA DO LESTE,0,4,3,4,4,5,13,5,26,12,21,17,10,0,17,8,3,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,31034
ENTRE FOLHAS,0,1,5,5,6,7,9,5,14,25,23,10,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,31034
CARATINGA,0,25,32,205,456,526,708,831,794,925,453,146,291,116,75,68,15,24,25,50,10,2,1,2,2,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,5788,31034
IMBE DE MINAS,0,0,0,10,6,16,21,13,18,36,19,14,27,23,65,80,40,22,22,19,4,7,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465,31034
