"Reg Saúde (CIR)/Municíp Res";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Total"
".....  SEM-PEIXE";-;-;-;-;-;-;3;7;26;25;34;32;29;29;20;9;7;19;4;6;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;251
".....  JEQUERI";-;-;-;-;-;-;-;3;1;2;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
".....  AMPARO DO SERRA";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  ALVINOPOLIS";-;-;-;-;4;3;6;27;21;25;21;21;17;35;37;19;10;7;7;2;2;2;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;268
".....  GUARACIABA";-;-;1;-;-;-;-;1;-;2;2;5;2;6;3;1;4;1;1;3;-;-;2;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;41
".....  SAO PEDRO DOS FERROS";-;-;-;-;-;-;-;-;3;-;-;1;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;9
".....  RIO DOCE";-;-;-;-;1;-;-;-;2;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
".....  RAUL SOARES";2;-;-;-;-;4;2;2;4;7;5;10;5;6;13;7;16;7;6;10;7;1;2;1;-;2;-;-;-;-;1;-;1;-;-;1;-;-;-;-;-;-;-;122
".....  SAO JOSE DO GOIABAL";13;40;38;65;33;50;17;6;16;17;8;3;5;3;6;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;321
".....  SANTO ANTONIO DO GRAMA";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  URUCANIA";-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
".....  ORATORIOS";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  PONTE NOVA";-;4;2;1;2;11;17;29;37;38;58;70;52;51;66;40;71;61;55;153;60;47;61;13;101;15;45;53;15;11;6;9;1;2;-;-;2;1;-;1;1;1;-;1263
".....  PIEDADE DE PONTE NOVA";-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"31061 Viçosa";-;-;3;1;2;-;1;5;5;3;6;13;13;14;7;7;2;15;4;4;3;1;2;6;-;2;5;-;2;-;-;-;2;-;-;-;-;1;-;-;-;-;-;129
".....  PAULA CANDIDO";-;-;-;-;-;-;-;-;-;-;-;3;-;4;2;-;-;7;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19
".....  CANAA";-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  CAJURI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  SAO MIGUEL DO ANTA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  PORTO FIRME";-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
".....  VICOSA";-;-;3;1;2;-;1;4;3;3;3;5;3;6;3;4;1;6;3;1;1;1;-;6;-;2;5;-;2;-;-;-;2;-;-;-;-;1;-;-;-;-;-;72
".....  PEDRA DO ANTA";-;-;-;-;-;-;-;-;-;-;3;3;10;4;1;2;1;1;1;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29
".....  ARAPONGA";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"31062 Águas Formosas";1;1;1;-;5;3;2;4;4;6;25;4;3;3;3;4;11;7;6;5;1;1;1;-;1;2;-;1;1;4;1;-;-;-;-;-;-;-;-;-;-;-;-;111
".....  CRISOLITA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
".....  SANTA HELENA DE MINAS";-;-;-;-;-;1;-;1;-;-;3;-;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
".....  UMBURATIBA";-;-;-;-;-;-;-;2;1;1;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
".....  AGUAS FORMOSAS";-;-;-;-;-;2;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
".....  PAVAO";-;-;1;-;3;-;-;-;-;1;1;-;-;-;-;-;-;-;-;1;1;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
".....  BERTOPOLIS";-;-;-;-;-;-;-;-;-;2;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
".....  FRONTEIRA DOS VALES";1;1;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
".....  MACHACALIS";-;-;-;-;-;-;1;-;3;2;20;4;1;2;1;2;11;4;5;4;-;1;-;-;-;1;-;1;1;4;1;-;-;-;-;-;-;-;-;-;-;-;-;69
"31064 Araçuaí";-;-;-;5;4;1;2;4;9;10;10;8;4;11;6;9;6;2;2;1;2;1;2;-;1;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;103
".....  ARACUAI";-;-;-;2;1;-;1;2;9;9;9;8;4;10;5;8;3;2;-;-;1;-;1;-;1;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;78
".....  CORONEL MURTA";-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
".....  FRANCISCO BADARO";-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
".....  VIRGEM DA LAPA";-;-;-;2;1;-;-;-;-;1;-;-;-;1;1;1;1;-;2;1;1;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15
".....  BERILO";-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  JENIPAPO DE MINAS";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"31065 Itaobim";4;3;4;1;2;1;4;11;25;31;27;13;4;8;4;2;4;3;2;2;1;-;1;-;-;-;-;-;-;-;1;-;-;1;-;1;-;-;-;-;-;-;-;160
".....  ITAOBIM";4;-;-;-;-;1;-;-;1;1;-;2;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
".....  ITINGA";-;3;-;-;-;-;3;5;1;3;6;2;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;27
".....  MEDINA";-;-;1;-;-;-;1;-;6;-;5;1;3;4;2;1;4;3;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;35
".....  PONTO DOS VOLANTES";-;-;-;-;-;-;-;2;10;8;5;7;-;3;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;36
".....  MONTE FORMOSO";-;-;-;-;-;-;-;3;7;19;11;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;42
