Residência,Semana 01,Semana 02,Semana 03,Semana 04,Semana 05,Semana 06,Semana 07,Semana 08,Semana 09,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Total,CIR
TARUMIRIM,16,21,21,45,32,41,11,41,20,24,7,23,13,6,7,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,31036
ALPERCATA,3,10,6,10,14,18,29,9,37,23,6,36,12,10,5,2,1,1,0,0,0,0,1,3,0,0,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,241,31036
GONZAGA,0,0,0,1,0,0,0,0,0,0,2,0,2,2,1,2,2,3,1,9,3,2,3,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37,31036
NACIP RAYDAN,0,0,0,0,9,0,2,3,5,7,1,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,31036
FREI INOCENCIO,0,0,7,2,13,15,16,15,32,21,19,34,10,9,20,3,6,4,2,6,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,31036
BRAUNAS,2,5,15,14,51,55,37,20,6,1,8,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,31037
PERIQUITO,2,2,6,7,5,40,28,53,48,25,9,1,0,2,1,1,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,31037
ACUCENA,1,1,3,4,12,27,6,13,22,17,11,13,9,10,3,2,6,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,31037
MESQUITA,19,48,49,61,27,11,20,5,6,8,7,6,8,15,16,12,7,1,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,332,31037
SANTANA DO PARAISO,84,112,190,204,256,195,99,179,175,112,79,58,34,37,16,8,17,3,10,15,3,6,2,1,2,2,1,4,1,1,1,4,0,2,1,2,2,2,2,2,1,0,0,1925,31037
IPATINGA,525,1062,1311,1640,1671,1590,1468,1427,1443,1079,868,582,288,349,222,172,127,69,93,90,74,73,98,45,59,40,24,30,33,15,19,20,26,31,24,18,19,19,27,34,19,8,0,16831,31037
SAO JOAO DO ORIENTE,0,1,4,8,23,19,37,58,61,71,57,45,34,25,26,5,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481,31037
IAPU,1,7,6,16,39,61,21,7,12,17,41,20,10,12,12,3,4,0,2,2,1,4,0,0,0,2,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,304,31037
IPABA,10,30,99,238,403,391,449,369,205,105,25,22,11,21,7,3,7,4,8,12,3,6,0,4,2,2,1,0,2,3,2,3,0,2,2,5,1,2,1,0,0,0,0,2460,31037
