Município,Em Branco,Semana 01,Semana 02,Semana 03,Semana 04,Semana 05,Semana 06,Semana 07,Semana 08,Semana 09,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 50,Semana 51,Semana 52,Total,CIR
"Alfenas,Machado",0,2,5,2,5,2,7,3,2,8,6,3,5,2,7,7,3,13,14,9,7,6,6,3,12,9,2,4,4,2,3,2,3,3,2,1,2,5,3,1,2,1,0,2,2,2,0,2,7,4,3,7,2,219,31001
Guaxupé,0,0,0,0,0,3,0,1,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,20,31002
Itajubá,0,0,2,0,0,1,2,0,0,1,2,0,1,0,1,0,0,1,1,0,0,0,1,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,31003
Lavras,0,0,0,1,1,1,0,2,0,2,0,0,1,1,1,4,2,1,0,1,0,0,1,1,0,3,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,31,31004
Poços de Caldas,0,2,1,2,0,0,1,0,1,1,3,1,1,0,0,0,0,1,1,2,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,1,0,0,1,0,28,31006
Pouso Alegre,0,3,5,5,8,1,2,4,0,0,2,3,1,3,4,2,3,0,0,0,1,1,0,1,0,0,2,3,1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,2,1,2,0,1,2,1,0,0,70,31007
São Lourenço,0,0,3,3,2,1,2,0,2,7,1,4,3,3,1,3,1,3,1,0,2,1,3,2,1,2,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,60,31008
São Sebastião do Paraíso,0,7,5,2,2,4,3,4,2,3,1,7,0,2,0,2,3,0,3,0,2,0,2,0,0,0,1,4,1,0,0,0,1,0,2,1,0,2,0,1,1,0,1,2,0,1,0,0,0,0,1,3,2,78,31009
Três Corações,0,4,1,1,0,2,0,1,0,2,3,0,0,1,0,3,2,12,1,4,4,1,0,1,1,6,2,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,61,31010
Três Pontas,0,1,0,3,2,0,3,0,4,2,2,6,0,2,1,4,2,1,0,1,3,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,50,31011
Varginha,0,1,5,6,2,7,5,6,5,5,7,3,5,3,3,2,3,1,2,2,1,3,2,7,8,4,3,2,1,2,2,1,0,0,1,0,2,2,1,2,0,1,0,1,2,1,1,1,3,1,0,1,0,129,31012
Barbacena,0,0,1,0,2,1,3,2,0,0,2,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,31013
São João Del Rei,0,1,3,3,2,0,0,0,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,25,31015
"Belo Horizonte,Nova Lima,Santa Luzia",1,234,254,327,295,269,247,186,138,244,195,160,157,196,115,188,165,162,137,131,108,75,98,88,112,108,102,88,98,77,85,58,47,27,38,50,44,63,74,59,62,42,44,93,50,76,32,86,71,72,56,70,60,6114,31016
Betim,0,44,63,76,63,74,35,48,35,37,34,41,46,52,28,54,50,55,28,43,40,32,36,39,41,32,38,38,43,18,20,14,13,10,14,13,12,20,28,24,12,8,26,10,10,10,4,4,9,8,15,18,6,1571,31017
Contagem,0,39,47,73,63,42,36,45,46,38,44,42,51,52,47,65,38,52,46,31,35,27,33,36,27,36,32,27,41,20,32,12,15,13,14,9,10,19,17,15,16,11,14,18,11,15,10,15,9,21,16,10,11,1544,31018
Curvelo,0,4,10,20,25,15,14,4,6,5,24,10,28,27,11,21,22,23,14,31,46,35,40,33,34,46,24,39,26,14,5,16,3,6,6,6,2,4,2,4,1,3,4,2,1,4,3,12,3,9,9,5,18,779,31019
Guanhães,0,8,5,9,7,2,7,1,0,3,1,1,0,2,1,0,0,0,2,0,2,1,1,1,3,0,0,0,2,0,0,0,0,1,0,1,0,0,1,0,1,0,1,4,0,2,0,4,4,0,0,0,2,80,31020
Itabira,0,2,8,8,7,8,0,4,3,7,6,7,7,13,7,11,4,3,10,2,3,4,2,5,1,2,3,2,1,1,0,0,0,0,0,0,0,2,1,2,1,1,1,1,3,0,1,2,0,1,1,2,1,161,31021
Ouro Preto,0,1,4,4,4,3,1,1,4,4,1,0,3,0,0,1,3,1,2,1,2,2,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,1,0,1,1,0,1,0,1,2,0,59,31022
João Monlevade,0,4,3,11,4,3,4,1,3,2,2,2,3,0,6,3,7,10,3,5,1,1,7,9,1,6,4,2,1,4,4,1,1,2,3,0,2,3,2,1,1,2,1,0,3,0,0,3,1,3,2,3,19,169,31023
Sete Lagoas,0,30,27,37,38,23,22,14,16,28,29,38,32,42,36,40,40,51,56,54,48,42,22,21,23,24,32,22,17,10,21,8,12,12,10,8,5,7,17,13,13,13,12,9,9,10,10,13,7,13,11,22,13,1182,31024
"Vespasiano,Lagoa Santa",0,32,22,41,46,36,19,23,13,15,8,15,10,7,12,11,9,17,5,7,7,5,14,6,8,10,5,0,3,3,2,3,1,2,2,0,2,4,5,4,2,0,7,3,1,4,4,2,1,4,5,5,0,472,31025
"Diamantina,Itamarandiba",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1,9,31026
"Turmalina,Minas Novas,Capelinha",0,1,3,3,8,6,2,1,1,1,0,3,2,0,0,4,1,2,0,0,0,2,1,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,3,1,2,1,1,57,31027
Bom Despacho,1,9,4,6,8,4,2,1,1,5,5,2,5,7,2,4,5,8,3,1,3,4,1,1,1,2,3,6,3,1,3,0,2,2,2,0,0,3,1,1,3,1,1,2,0,4,0,0,0,5,0,2,18,158,31028
Formiga,1,6,6,2,3,3,5,4,3,6,2,2,6,0,3,2,14,10,5,4,2,2,0,0,2,1,1,2,1,2,1,1,1,0,1,0,0,0,0,1,0,0,2,4,3,2,0,1,0,1,0,1,0,119,31030
Itaúna,0,1,3,3,1,5,3,1,1,1,4,0,4,2,1,3,3,1,3,1,2,1,3,2,0,0,0,1,0,0,1,0,0,0,0,0,1,2,6,1,0,0,0,2,2,3,0,5,0,3,0,0,0,76,31031
"Pará de Minas,Nova Serrana",0,5,16,10,17,9,8,14,14,19,22,37,52,53,36,49,70,50,42,97,27,44,33,26,48,37,16,15,16,4,6,3,6,6,9,2,6,6,7,4,8,8,6,15,10,10,8,11,6,9,4,3,2,1041,31032
Caratinga,0,10,1,3,2,3,4,10,3,11,19,29,11,4,10,9,8,12,6,9,5,6,1,5,3,4,4,1,2,3,1,2,1,2,1,1,1,1,1,2,0,1,1,0,1,0,0,0,1,2,1,2,2,222,31034
"Coronel Fabriciano,Timóteo",0,187,80,62,51,46,50,49,31,74,74,95,80,108,84,110,130,132,79,93,88,98,76,66,101,132,104,87,69,55,48,35,26,24,18,19,33,26,28,33,28,12,23,25,18,18,22,42,39,75,82,262,484,3911,31035
Governador Valadares,0,107,93,127,200,145,158,120,119,236,229,193,227,157,118,163,193,169,128,178,130,81,105,83,76,68,58,61,77,62,36,25,20,28,60,24,25,29,28,35,72,24,17,17,17,27,27,41,34,53,41,104,129,4774,31036
Ipatinga,0,42,28,58,42,46,22,36,22,43,32,31,40,51,45,41,52,60,73,89,56,57,83,64,69,63,74,69,29,33,26,27,29,18,17,15,17,11,11,15,19,11,21,22,19,38,24,75,54,96,159,371,357,2902,31037
Mantena,0,2,1,2,4,1,2,1,1,1,2,0,0,0,1,0,3,3,1,0,0,3,2,0,0,2,0,0,1,0,0,1,0,0,0,0,0,2,0,1,0,0,2,1,1,1,2,0,2,1,0,18,1,66,31038
Resplendor,0,34,26,16,48,56,83,84,69,71,36,39,15,10,6,11,13,11,7,2,4,1,0,0,2,2,1,0,3,1,0,1,1,0,1,1,0,2,1,2,1,1,2,1,2,5,1,13,5,21,18,47,22,799,31040
Além Paraíba,0,2,2,1,4,3,7,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,3,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2,7,1,4,4,60,31041
Carangola,0,1,1,0,3,1,0,1,1,3,1,2,2,6,5,1,5,1,1,0,3,0,0,2,2,3,2,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2,3,60,31042
"Leopoldina,Cataguases",0,6,11,13,3,5,7,8,3,15,11,8,14,11,11,9,5,5,5,7,10,10,4,6,3,5,8,5,7,7,3,3,1,4,1,5,3,3,3,1,2,1,6,3,3,5,1,4,2,1,2,5,5,289,31044
Muriaé,0,11,5,16,9,9,5,3,1,5,1,6,3,8,3,9,0,7,1,5,2,7,0,3,4,4,4,3,4,2,2,1,1,0,0,0,0,0,1,0,1,0,2,0,0,0,1,0,0,1,0,0,0,150,31045
Santos Dumont,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,31046
"São João Nepomuceno,Bicas",0,1,0,2,3,4,0,0,1,2,4,1,4,1,0,0,1,3,1,4,1,3,4,3,7,3,1,1,1,1,0,0,0,0,2,1,0,1,0,0,0,0,1,2,0,1,1,1,0,0,0,0,1,68,31047
Ubá,0,6,7,15,16,11,14,12,5,21,50,79,119,130,74,234,202,251,113,146,84,71,65,46,80,43,32,17,14,12,7,9,5,9,2,3,5,4,4,8,5,1,4,0,3,1,1,2,3,1,2,4,3,2055,31048
Coração de Jesus,0,2,1,1,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,5,2,0,3,34,79,28,174,31050
Francisco Sá,0,2,0,3,1,1,0,0,0,0,1,1,1,0,0,1,0,3,0,2,2,5,2,4,0,0,0,4,1,1,2,6,1,0,1,1,0,1,5,0,3,0,0,0,0,1,0,3,1,1,0,1,3,65,31051
"Janaúba,Monte Azul",2,21,29,51,29,47,51,41,20,26,16,35,16,12,10,16,14,13,13,16,16,8,15,8,10,9,12,9,9,10,11,5,7,4,7,8,1,2,3,1,1,2,0,2,2,5,7,7,9,18,18,30,8,742,31052
Januária,0,0,0,1,2,2,6,0,0,3,1,1,1,1,1,1,4,2,0,1,1,0,1,2,0,2,0,1,0,1,0,1,6,0,0,4,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,1,53,31053
Pirapora,0,13,5,2,12,3,5,4,2,0,3,0,1,2,2,0,3,4,0,1,0,0,1,3,0,0,1,0,1,0,1,0,2,0,2,0,0,0,2,0,0,1,0,3,1,3,0,3,8,16,14,14,10,148,31055
Patos de Minas,0,2,2,6,5,10,5,5,10,9,9,7,4,7,13,3,5,6,6,7,2,8,6,5,9,6,6,5,1,1,2,2,0,0,1,0,2,1,2,2,1,1,2,2,2,9,2,5,3,7,1,3,1,221,31057
"Unaí,Paracatu",0,3,7,4,5,6,8,3,2,4,2,7,3,5,2,6,7,2,1,4,1,5,2,3,2,0,0,1,2,0,2,0,2,3,2,1,2,4,2,0,0,1,1,1,1,0,2,1,2,2,3,1,0,130,31058
Manhuaçu,0,111,85,83,56,59,38,22,16,19,22,12,6,13,10,7,6,22,11,3,3,8,4,4,8,4,4,4,17,16,15,4,8,8,5,5,5,5,10,3,4,0,4,5,5,9,6,20,16,25,30,64,188,1117,31059
Ponte Nova,1,2,3,3,5,10,16,14,10,14,24,21,42,14,25,27,27,31,27,28,12,16,24,14,11,11,4,4,5,2,2,3,3,0,0,1,0,1,2,3,1,0,1,2,0,1,1,2,1,3,2,4,4,484,31060
Viçosa,0,1,1,4,1,2,0,2,0,0,0,1,0,2,2,4,1,0,0,1,3,1,5,1,2,1,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2,0,1,46,31061
Araçuaí,0,112,1,2,5,4,3,1,0,2,2,1,1,0,1,3,1,1,2,2,0,1,1,2,0,2,1,1,0,0,1,1,4,3,1,0,1,0,1,0,4,1,0,0,4,7,1,13,32,22,224,251,426,1149,31064
Itaobim,0,6,5,4,1,5,5,2,0,2,3,1,4,2,1,2,1,2,3,1,0,1,2,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,2,2,2,71,31065
Nanuque,0,2,1,0,3,0,2,1,1,3,0,2,2,4,2,0,4,6,3,7,4,4,2,0,2,1,0,2,2,4,2,5,0,3,5,4,1,3,1,0,2,0,0,0,0,0,0,0,1,0,2,3,0,96,31066
Padre Paraíso,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,31067
Pedra azul,0,0,0,2,0,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,31068
Araxá,0,15,17,25,40,38,28,24,27,24,41,39,48,47,30,67,55,70,57,48,30,39,18,10,18,10,6,8,2,9,4,1,1,4,0,2,0,0,1,2,3,1,4,2,1,0,2,1,1,1,3,2,0,926,31070
"Frutal,Iturama",35,7,5,4,8,10,7,12,5,18,36,29,34,48,68,43,52,49,21,35,7,11,23,18,23,16,19,9,8,1,5,6,6,5,6,4,2,2,5,0,3,2,4,4,2,3,3,1,4,6,17,17,4,772,31071
Uberaba,0,72,42,46,54,56,61,90,85,126,99,142,198,139,168,177,261,288,205,224,178,218,136,112,132,125,57,69,69,51,48,28,44,25,30,21,16,29,24,19,24,19,30,31,42,67,37,60,66,112,147,113,128,4840,31072
Ituiutaba,0,21,16,18,21,38,34,49,41,44,43,59,68,99,92,109,133,138,120,161,126,112,89,54,92,61,67,49,30,32,16,13,10,9,9,4,6,3,3,4,5,6,4,23,8,10,12,30,19,36,42,50,58,2396,31073
"Patrocínio,Monte Carmelo",0,8,3,3,5,8,1,3,3,3,3,13,10,13,4,4,4,7,4,5,0,7,7,3,7,8,6,4,0,1,3,4,2,0,1,2,0,1,3,1,2,1,0,2,1,0,0,0,1,1,1,0,1,174,31074
"Uberlândia,Araguari",0,40,34,45,48,47,26,28,37,36,35,24,32,49,29,33,42,37,31,24,27,41,34,20,33,24,18,15,9,5,9,6,13,2,14,11,8,10,13,10,13,8,15,24,17,20,9,17,22,46,42,46,48,1326,31075
Manga,0,3,5,0,0,1,2,0,3,1,3,14,7,5,12,7,19,13,7,6,4,4,3,2,6,7,2,2,5,2,1,3,1,3,0,2,3,0,2,0,3,1,0,2,0,0,0,8,12,39,30,10,12,277,31076
João Pinheiro,0,0,3,1,1,2,1,0,0,2,1,1,1,0,0,3,1,0,4,3,4,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,36,31077
Congonhas,0,1,6,8,3,1,1,1,0,1,2,2,4,2,0,1,1,0,1,3,1,2,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,48,31078
Conselheiro Lafaiete,0,2,2,0,0,0,1,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,3,0,2,0,0,0,1,0,0,2,0,0,1,1,1,25,31079
