Município,Em Branco,Semana 01,Semana 02,Semana 03,Semana 04,Semana 05,Semana 06,Semana 07,Semana 08,Semana 09,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 50,Semana 51,Semana 52,Total,CIR
"Alfenas,Machado",0,4,2,3,5,3,3,3,8,0,5,1,4,4,10,8,2,7,5,8,2,8,0,1,0,1,0,0,0,1,0,1,3,1,0,0,2,1,0,0,1,1,2,4,1,2,0,1,0,1,0,1,1,121,31001
Guaxupé,0,0,1,0,1,3,7,0,0,4,3,3,4,11,1,4,4,3,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,60,31002
Itajubá,0,1,1,1,1,0,0,0,0,0,0,1,1,3,2,0,1,0,3,1,1,0,1,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,26,31003
Lavras,0,3,7,8,6,2,1,5,8,1,1,3,2,6,4,5,3,5,5,1,1,1,1,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0,1,0,3,1,1,0,0,1,0,0,4,2,0,2,3,104,31004
Poços de Caldas,0,2,2,3,1,0,3,0,0,3,1,2,2,2,3,5,11,7,6,8,7,9,4,4,2,2,3,1,1,2,2,2,3,0,2,1,0,2,5,1,1,0,2,1,1,1,2,0,0,0,0,0,1,123,31006
Pouso Alegre,0,5,2,2,5,3,4,0,2,3,2,4,9,9,14,1,6,8,2,5,3,4,0,1,0,2,0,0,1,0,2,1,1,3,0,0,1,0,3,1,2,0,0,1,2,0,0,3,0,2,1,3,1,124,31007
São Lourenço,0,0,3,1,0,2,2,2,0,0,0,1,1,3,6,3,1,5,10,2,3,1,1,0,2,0,2,0,0,2,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,2,1,3,3,0,0,67,31008
São Sebastião do Paraíso,0,1,3,0,5,7,7,10,18,16,23,35,62,50,32,29,24,21,21,24,20,15,9,6,3,9,1,0,2,2,1,4,2,2,2,3,1,0,2,0,3,2,3,2,4,1,1,0,3,3,1,3,6,504,31009
Três Corações,2,0,1,0,2,3,8,5,2,2,4,11,28,46,21,46,40,43,43,50,39,36,8,9,6,4,3,2,4,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,3,4,1,0,0,0,0,483,31010
Três Pontas,0,2,2,2,4,3,3,3,1,4,0,6,11,10,12,8,16,26,24,28,15,20,13,12,7,1,2,2,3,2,0,0,0,0,1,1,1,0,0,0,1,0,1,0,2,2,0,1,0,2,3,4,1,262,31011
