Município,Semana 01,Semana 02,Semana 03,Semana 04,Semana 05,Semana 06,Semana 07,Semana 08,Semana 09,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 50,Semana 51,Semana 52,Semana 53,Total,CIR
Guanhães,0,0,0,0,0,1,3,2,2,2,4,1,2,2,5,4,10,11,8,2,5,1,19,3,4,0,2,0,0,0,2,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,101,31020
Itabira,12,5,7,9,9,11,4,21,17,21,34,36,43,46,105,80,69,79,105,82,86,61,60,49,21,19,19,14,7,18,10,7,3,8,3,3,6,11,9,7,12,8,6,8,8,4,23,18,19,27,26,18,2,1395,31021
Ouro Preto,3,3,4,1,5,3,1,2,7,4,7,7,17,16,9,14,21,28,27,14,11,11,9,7,8,9,4,5,3,6,4,3,0,0,0,1,2,2,4,1,0,2,1,2,5,2,5,6,8,6,12,7,3,342,31022
João Monlevade,0,2,1,3,1,0,0,1,4,11,4,10,4,15,19,13,7,20,20,65,7,7,8,6,4,2,4,1,1,2,1,1,2,1,1,0,1,1,0,0,0,1,1,0,3,2,2,3,2,4,1,4,1,274,31023
Sete Lagoas,19,11,17,11,19,39,27,56,66,62,103,145,134,274,367,334,393,486,367,345,270,172,156,124,97,60,38,22,27,27,19,21,18,13,23,14,23,18,17,23,36,18,27,30,55,82,159,138,192,252,229,315,0,5990,31024
"Vespasiano,Lagoa Santa",8,14,11,8,13,16,13,23,54,57,81,83,89,230,247,235,254,313,278,214,137,76,74,74,36,37,12,19,12,10,1,5,6,11,5,5,11,6,4,6,1,8,3,5,10,13,31,50,69,91,65,73,0,3207,31025
"Diamantina,Itamarandiba",4,1,0,0,1,0,0,0,1,3,20,14,9,33,35,28,33,54,25,11,10,1,4,4,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,1,1,0,2,0,305,31026
"Turmalina,Minas Novas,Capelinha",1,1,3,1,0,0,1,3,2,9,1,5,2,6,1,3,7,7,5,4,7,8,0,3,1,2,2,4,10,1,0,0,3,3,1,0,2,2,3,0,0,1,0,2,0,0,3,8,27,10,19,1,0,185,31027
Bom Despacho,33,88,70,55,67,90,32,96,76,88,142,170,147,240,263,246,282,264,218,159,114,67,74,48,31,20,6,15,5,4,9,4,7,2,3,6,1,7,2,1,3,2,1,7,8,4,2,7,8,18,11,9,1,3333,31028
Formiga,93,118,251,227,194,211,143,245,299,335,452,215,334,393,648,500,525,523,338,275,234,166,106,106,45,20,29,11,10,0,2,4,0,2,5,2,5,4,6,6,6,2,5,2,5,4,2,14,6,6,9,8,13,7164,31030
Itaúna,4,4,1,0,3,4,0,5,16,20,35,82,102,146,218,264,399,309,172,161,145,60,33,28,15,13,24,11,9,5,1,5,4,1,3,0,1,5,4,4,3,4,7,8,4,2,6,8,11,16,5,7,1,2398,31031
"Pará de Minas,Nova Serrana",3,3,1,1,2,10,5,5,6,12,19,22,24,44,66,55,96,186,138,125,90,82,77,70,49,31,38,23,9,5,6,5,5,4,3,7,2,7,7,1,2,4,1,2,6,5,7,7,16,33,42,72,1,1542,31032
Caratinga,0,1,0,1,0,6,0,1,4,7,8,9,5,5,2,0,0,2,4,4,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,10,21,4,39,25,8,34,15,0,225,31034
"Coronel Fabriciano,Timóteo",6,3,5,4,8,2,4,11,5,5,14,13,9,28,19,16,11,26,15,12,16,9,6,8,7,7,8,5,4,9,4,5,6,8,3,0,9,5,4,15,10,15,19,17,16,25,29,41,79,146,191,355,0,1297,31035
Governador Valadares,13,33,9,15,20,15,10,19,21,26,23,20,17,37,45,22,42,54,56,83,100,68,56,63,48,38,44,37,35,37,35,25,24,35,19,13,11,32,18,8,15,17,14,18,11,7,24,39,37,62,58,58,5,1691,31036
Ipatinga,12,12,8,9,16,23,15,22,14,53,33,36,23,17,26,35,34,56,44,64,39,26,58,22,30,29,31,20,17,10,9,16,8,6,8,9,7,6,9,2,4,12,6,4,2,5,19,16,18,27,27,66,0,1120,31037
Mantena,0,1,0,0,0,0,0,0,3,2,0,1,1,3,6,2,4,9,9,16,10,3,3,9,2,6,8,3,9,6,4,1,2,1,1,3,4,11,5,4,2,4,2,3,1,2,0,4,2,5,5,5,0,187,31038
Resplendor,0,2,3,5,9,15,9,11,5,19,16,29,16,18,25,28,16,25,20,20,11,12,20,11,12,21,8,10,13,11,13,8,7,8,10,15,10,16,19,19,9,19,9,6,10,13,19,12,15,37,22,33,0,749,31040
Além Paraíba,0,0,0,0,1,0,0,1,0,2,1,2,1,4,20,21,24,26,30,13,13,9,13,11,4,5,4,8,7,2,2,1,2,2,0,2,1,1,4,2,3,6,2,10,22,19,27,37,50,46,63,79,0,603,31041
Carangola,2,1,2,0,2,2,0,2,2,1,2,2,5,3,9,3,12,15,8,7,4,6,3,5,6,2,4,1,1,4,1,3,1,1,1,0,0,0,2,0,0,1,0,0,2,0,2,5,5,6,5,3,0,154,31042
"Leopoldina,Cataguases",5,18,5,10,16,21,7,2,42,29,40,42,23,31,53,50,113,120,87,76,65,45,43,38,26,17,22,17,22,16,7,12,16,5,3,10,6,4,13,18,14,48,38,77,73,76,81,104,91,126,80,71,0,2074,31044
Muriaé,2,2,2,1,1,1,3,5,6,14,26,25,18,62,82,88,90,162,144,69,59,60,41,48,39,23,15,18,9,16,15,11,10,7,4,3,7,6,7,9,6,7,5,7,11,5,14,43,53,75,64,64,0,1564,31045
Santos Dumont,1,1,0,0,0,0,0,0,0,0,0,0,1,0,3,3,3,4,1,2,0,0,5,3,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,32,31046
"São João Nepomuceno,Bicas",1,1,0,1,0,0,0,4,0,3,2,2,7,4,8,8,34,12,48,26,18,12,13,12,13,9,11,1,1,3,1,3,8,0,3,1,3,1,1,1,0,1,1,3,1,4,3,2,2,2,0,3,0,298,31047
Ubá,9,4,7,4,7,7,3,19,11,19,46,53,45,95,97,114,139,168,189,176,199,115,112,123,100,70,61,56,48,39,30,31,21,21,27,15,14,13,13,11,14,16,23,32,62,91,114,287,498,641,551,633,2,5295,31048
Coração de Jesus,0,0,0,1,0,0,0,0,0,0,7,2,9,5,8,35,11,11,12,3,2,2,0,0,0,0,1,2,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,115,31050
Francisco Sá,2,3,1,1,0,0,0,0,1,0,0,2,0,0,2,5,4,4,8,6,8,7,8,0,1,7,5,2,1,1,4,7,3,0,1,4,5,2,0,0,3,3,0,1,2,5,11,5,15,27,36,81,0,294,31051
"Janaúba,Monte Azul",1,2,1,2,0,3,5,13,15,18,43,46,46,59,103,71,67,93,84,78,96,52,75,67,30,29,20,9,12,6,8,8,2,7,2,0,1,1,0,0,0,3,1,0,0,0,3,7,8,8,8,15,0,1228,31052
Januária,0,1,2,1,1,1,0,0,1,3,9,5,5,6,2,7,16,8,9,5,18,11,9,11,5,11,4,6,8,4,2,3,0,2,4,3,4,3,2,0,0,0,0,0,2,1,2,8,6,8,3,0,1,223,31053
Pirapora,3,1,3,9,1,8,4,11,11,15,23,22,10,45,49,48,65,78,82,49,46,45,43,68,45,21,5,2,6,1,3,3,2,2,1,1,1,1,2,0,0,1,3,3,0,2,4,4,8,8,1,5,0,874,31055
Patos de Minas,7,8,16,7,12,19,29,24,29,49,61,72,61,123,120,163,197,280,221,173,123,58,81,46,49,13,17,12,7,15,1,8,4,7,4,10,7,9,5,3,4,5,6,7,7,10,15,14,15,14,5,4,3,2259,31057
"Unaí,Paracatu",25,24,34,53,85,207,90,247,236,218,243,385,237,519,759,828,913,717,539,484,440,230,248,152,83,71,55,43,27,16,16,14,14,10,12,12,20,14,20,17,22,18,20,18,29,32,48,33,21,50,22,18,4,8692,31058
Manhuaçu,3,7,6,3,3,17,8,16,13,17,20,15,17,14,20,26,25,22,36,15,15,9,8,8,9,2,6,3,7,4,2,4,4,4,3,5,8,6,5,6,4,8,3,3,6,22,33,77,71,108,88,116,0,960,31059
Ponte Nova,1,0,2,0,0,0,1,10,20,33,56,31,24,42,50,38,38,16,26,30,30,24,38,12,12,18,13,14,9,12,15,4,7,2,1,1,0,1,0,0,0,1,3,0,2,0,8,10,23,34,25,10,0,747,31060
Viçosa,0,1,2,0,0,0,0,0,9,4,2,1,11,14,20,17,23,19,22,7,13,5,8,5,6,0,0,0,0,3,1,3,0,0,1,1,0,2,0,3,0,0,2,1,1,1,2,4,1,4,1,0,1,221,31061
Araçuaí,1,2,0,1,5,0,2,4,6,6,12,10,14,41,35,61,46,76,89,99,48,23,34,30,11,9,6,2,0,2,7,2,2,0,0,4,1,2,1,0,0,0,0,3,1,1,1,3,8,4,3,0,0,718,31064
Itaobim,0,0,0,2,0,1,0,5,5,4,8,7,5,9,4,12,1,8,12,9,15,5,8,6,7,6,4,6,6,2,2,1,2,4,3,4,1,0,0,1,1,0,0,2,2,5,7,11,23,33,11,10,0,280,31065
Nanuque,0,0,0,0,2,0,1,2,1,3,4,4,4,4,8,7,16,6,10,7,11,6,5,7,3,2,1,2,1,1,0,2,0,1,1,1,0,1,0,0,0,2,3,2,9,5,3,10,11,12,15,19,0,215,31066
Padre Paraíso,0,0,1,0,0,1,1,0,6,1,8,10,4,13,8,6,19,11,16,7,10,6,11,4,1,1,2,2,2,1,0,0,0,0,0,0,2,0,1,1,0,0,0,1,0,0,0,1,2,1,0,0,0,161,31067
Pedra azul,0,0,1,25,23,8,3,4,6,0,3,10,4,15,61,5,4,7,3,2,2,0,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,10,13,21,28,13,10,16,3,0,306,31068
Araxá,14,23,9,8,32,30,16,38,98,109,83,159,166,262,255,282,334,328,300,226,219,113,118,91,48,29,22,24,11,13,9,14,8,12,12,10,13,4,9,5,6,6,5,13,4,10,13,16,9,26,28,19,0,3711,31070
"Frutal,Iturama",31,70,113,110,104,112,94,105,122,118,133,174,136,196,226,159,109,159,156,122,112,66,89,99,51,49,31,21,19,12,15,13,7,8,15,7,8,6,9,8,5,5,6,8,8,15,8,21,23,27,20,13,8,3361,31071
Uberaba,18,16,22,24,44,80,43,65,62,144,152,190,135,279,327,291,402,359,320,354,310,194,191,159,138,96,63,54,32,37,31,30,26,25,23,13,28,14,32,25,27,52,56,84,112,80,91,109,148,145,104,116,5,5977,31072
Ituiutaba,16,24,34,49,95,105,68,110,118,148,163,153,134,281,269,326,352,339,263,209,181,102,64,106,100,85,37,44,19,34,21,15,13,6,8,7,19,16,12,13,18,15,19,24,24,28,43,25,31,48,19,13,6,4471,31073
"Patrocínio,Monte Carmelo",6,8,6,14,19,31,30,83,123,182,185,184,181,240,307,337,228,364,282,264,205,134,129,162,71,44,30,15,12,8,6,3,1,4,0,0,4,4,3,2,3,2,3,1,5,10,10,13,17,22,15,32,0,4044,31074
"Uberlândia,Araguari",68,101,117,129,196,294,247,441,571,746,814,1076,1037,1277,1291,1433,1948,1862,1815,1793,1443,721,515,459,371,202,136,91,100,70,43,30,31,37,17,22,27,14,17,19,18,17,28,29,37,43,60,64,86,106,77,63,19,22268,31075
Manga,1,0,0,0,0,1,3,4,4,8,3,8,5,7,4,3,4,36,8,2,4,17,17,12,2,5,16,13,2,2,3,19,2,6,3,5,2,0,16,0,2,7,1,0,15,0,0,0,1,5,2,1,0,281,31076
João Pinheiro,0,2,2,2,1,1,1,1,3,8,5,3,4,14,13,8,17,34,31,22,39,32,49,29,40,26,9,9,6,3,12,3,6,1,0,0,2,0,0,1,2,1,2,2,1,1,3,1,1,0,0,2,0,455,31077
Congonhas,4,1,1,0,2,2,1,0,4,5,3,9,6,7,10,10,10,10,13,12,9,3,8,1,1,1,0,1,2,4,2,0,0,0,1,0,0,0,1,1,0,0,3,0,2,0,2,2,7,2,0,0,0,163,31078
Conselheiro Lafaiete,2,0,0,1,1,1,1,1,0,1,2,5,10,7,24,18,9,21,14,18,17,2,5,0,5,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,1,1,0,1,2,1,1,3,2,0,185,31079
São Gotardo,0,0,2,3,9,4,6,22,29,21,28,45,21,35,38,45,70,67,40,51,33,21,29,42,18,9,2,2,1,3,3,0,2,0,1,0,2,2,1,1,0,0,2,0,3,5,3,0,1,6,6,16,0,750,31082
Bocaiúva,4,0,1,0,0,1,0,3,2,3,7,4,10,17,10,13,16,31,36,25,23,23,32,21,16,14,13,7,8,9,13,6,6,2,2,3,5,4,4,5,4,1,4,9,5,6,11,12,8,15,11,6,0,491,31083
Montes Claros,11,4,5,4,4,3,2,8,10,21,32,43,28,69,77,89,120,144,193,191,158,83,141,99,103,52,33,24,25,18,10,15,12,8,4,2,5,10,2,2,1,2,7,4,8,11,16,22,35,38,27,34,4,2073,31084
Taiobeiras,1,0,0,2,0,2,1,3,8,3,5,2,5,10,12,9,15,13,14,3,1,1,0,1,1,0,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,126,31085
Divinópolis,12,8,5,12,14,16,23,40,60,94,120,201,246,308,346,319,336,437,308,268,229,124,137,124,67,42,25,22,10,9,25,7,4,4,4,6,9,10,15,35,24,13,15,18,45,49,39,46,65,65,70,191,1,4722,31086
"Lagoa da Prata,Santo Antônio do Monte",31,74,117,123,214,277,179,295,351,492,670,751,486,683,442,246,323,307,207,163,88,45,47,30,22,7,6,8,5,1,2,2,1,0,2,1,1,5,2,6,1,11,0,10,4,1,8,8,9,7,10,26,4,6811,31087
"Oliveira,Santo Antônio do Amparo",1,1,1,1,6,3,5,9,13,14,49,31,22,49,54,36,63,160,100,60,38,13,11,10,7,3,3,2,2,3,2,1,0,0,4,0,2,2,2,2,0,3,2,1,3,1,3,10,11,4,6,3,2,834,31088
Campo Belo,7,4,2,1,3,4,4,2,6,5,12,10,6,21,19,19,22,30,19,8,13,5,5,5,2,0,3,2,0,2,0,0,0,0,1,0,0,3,1,1,1,0,1,1,2,2,1,0,2,4,2,2,0,265,31089
Lima Duarte,0,0,0,2,0,4,0,1,3,5,0,4,2,11,7,40,49,49,33,19,18,4,6,4,2,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,270,31090
Cássia,2,0,1,3,2,1,6,15,37,25,52,46,41,29,35,26,22,28,21,19,11,7,5,0,0,0,3,5,3,6,2,1,3,1,2,0,1,0,0,0,0,1,3,2,0,4,3,1,1,2,1,0,0,479,31091
Passos,15,23,14,18,29,40,37,38,53,55,64,88,70,86,144,120,110,116,116,102,71,37,45,35,20,6,4,2,9,6,12,1,1,2,2,2,8,7,10,7,3,6,9,6,5,10,12,8,15,16,10,4,10,1739,31092
Piumhi,1,3,3,4,18,20,10,11,27,29,28,49,32,59,65,90,88,95,126,108,41,31,37,22,10,12,5,5,1,4,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,3,0,1,0,1046,31093
"Almenara,Jacinto",2,0,3,1,0,1,0,4,4,5,5,5,6,5,7,11,9,19,8,16,5,11,21,10,11,7,6,3,6,9,1,1,2,2,0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,212,31094
Serro,3,1,2,0,0,1,0,0,4,2,11,18,19,23,39,17,16,54,67,34,42,14,17,19,8,19,4,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5,2,5,8,4,1,464,31095
Itambacuri,1,0,0,0,0,0,0,0,1,0,0,1,1,3,1,2,2,7,10,5,5,5,5,5,8,5,2,2,1,3,1,0,1,0,2,3,2,0,1,3,1,3,3,3,0,1,1,2,14,10,13,17,0,156,31096
Juiz de Fora,7,1,14,5,4,23,30,57,40,44,75,125,145,264,448,562,578,675,470,381,214,169,134,119,58,15,33,21,20,9,6,4,7,8,5,3,7,8,5,9,4,5,6,6,10,14,12,29,44,49,80,116,2,5179,31097
Salinas,1,0,0,0,0,0,0,0,1,0,1,0,1,3,1,4,6,10,17,4,1,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,3,4,4,16,6,0,104,31098
"Teófilo Otoni,Malacacheta",6,10,3,4,2,7,13,6,15,21,26,22,35,31,49,55,57,64,48,54,45,35,54,26,21,24,38,29,26,14,20,17,18,21,22,18,17,26,14,7,14,10,11,10,11,20,20,22,25,24,23,17,2,1229,31099
São Francisco,7,3,3,7,8,6,6,9,7,5,14,11,10,21,29,27,37,38,16,15,11,4,27,9,7,8,0,2,7,2,2,1,0,2,1,6,4,3,0,3,1,0,0,4,3,5,6,5,7,8,2,5,1,425,31100
Brasília de Minas,1,0,0,0,0,0,1,0,3,1,3,4,6,7,11,13,5,20,6,26,16,14,19,18,16,14,27,16,12,4,7,2,4,2,1,1,0,4,0,0,2,2,0,2,0,0,1,5,3,3,3,5,0,310,31101
"Peçanha,São João Evangelista,Santa Maria do Suaçuí",0,0,0,0,0,0,0,0,1,10,32,22,18,21,7,6,16,23,17,10,3,0,2,1,3,1,4,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,203,31102
