Município,Semana 01,Semana 02,Semana 03,Semana 04,Semana 05,Semana 06,Semana 07,Semana 08,Semana 09,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 50,Semana 51,Semana 52,Semana 53,Total,CIR
"Alfenas,Machado",6,6,2,10,15,26,30,71,108,159,180,209,209,332,390,450,411,474,321,269,182,97,80,79,38,22,12,2,7,4,3,4,2,0,4,1,4,10,6,5,5,7,10,5,7,9,9,19,25,35,36,48,3,4458,31001
Guaxupé,15,13,24,33,46,65,57,82,105,87,109,125,66,97,96,123,145,176,152,115,69,45,58,19,25,10,4,0,5,0,1,0,1,0,0,0,1,4,2,10,10,5,0,0,11,8,16,19,25,28,24,30,1,2162,31002
Itajubá,3,4,1,1,2,0,7,40,54,68,67,173,138,244,372,344,228,268,241,223,121,53,52,50,37,28,15,4,2,1,2,3,7,0,3,3,2,4,4,7,9,9,13,12,8,12,6,7,3,7,8,7,1,2978,31003
Lavras,2,11,24,55,84,138,174,165,261,388,489,454,219,457,623,549,532,776,664,476,446,81,161,95,52,13,10,8,4,2,5,1,5,2,2,1,2,3,6,1,0,1,1,4,4,9,7,11,2,7,4,2,1,7494,31004
Poços de Caldas,3,2,2,4,9,13,11,21,24,53,81,105,149,162,205,304,266,259,172,109,81,18,14,10,7,2,4,4,3,0,1,1,1,2,2,4,3,2,1,2,4,2,10,0,10,8,6,8,19,21,17,15,0,2236,31006
Pouso Alegre,6,5,19,9,17,19,9,79,114,153,172,247,210,253,300,263,233,324,176,108,70,44,43,27,24,11,3,6,4,3,1,3,5,1,6,6,3,7,12,10,15,20,14,19,12,16,8,18,18,24,18,8,0,3195,31007
São Lourenço,0,0,3,2,4,6,3,5,7,12,24,63,45,62,109,136,224,236,139,113,51,49,13,10,18,4,1,2,1,0,3,1,0,0,1,1,0,2,4,0,1,0,1,2,0,4,4,6,6,10,6,4,0,1398,31008
São Sebastião do Paraíso,2,9,8,41,27,50,56,90,149,185,248,190,169,154,179,160,134,152,137,78,43,37,19,21,11,7,1,7,7,4,4,3,5,2,2,2,1,3,6,6,4,3,1,1,1,1,5,5,5,3,10,2,0,2450,31009
Três Corações,105,153,174,309,139,66,35,51,91,91,71,132,112,132,236,234,185,125,86,79,144,18,5,0,1,3,2,0,0,0,0,1,0,0,1,0,0,3,0,1,3,1,1,1,0,0,2,1,1,1,2,1,2,2801,31010
Três Pontas,1,5,3,2,1,7,4,24,49,60,147,178,227,192,259,221,212,177,162,92,58,18,27,25,14,15,4,5,6,3,5,10,2,3,1,2,2,2,1,5,1,3,2,0,5,4,2,3,5,5,6,1,0,2268,31011
Varginha,11,9,11,25,14,11,13,27,29,56,99,143,167,282,362,335,399,377,349,278,187,108,87,87,37,39,20,21,19,7,7,16,10,10,11,12,10,8,8,13,19,10,20,13,30,24,25,30,39,52,28,27,1,4032,31012
Barbacena,0,0,2,0,0,0,0,2,2,1,5,3,4,5,8,3,2,5,3,9,4,2,1,1,0,2,2,2,0,2,1,1,0,1,0,1,1,1,1,0,2,0,1,1,1,0,0,2,1,5,2,6,0,98,31013
São João Del Rei,0,2,0,0,1,3,2,5,3,15,26,20,12,40,48,61,83,75,57,29,15,15,19,13,7,1,4,2,2,2,0,0,2,0,2,0,0,1,2,5,1,1,2,2,5,2,2,8,8,13,15,5,0,638,31015
"Belo Horizonte,Nova Lima,Santa Luzia",130,139,142,175,183,184,148,277,389,546,798,1007,939,1685,2206,1972,2689,3791,3108,2589,1864,1379,1390,1195,809,562,398,334,257,198,171,159,101,111,171,78,129,140,151,112,88,136,117,146,195,241,382,462,512,928,903,1153,25,38094,31016
Betim,53,73,150,145,289,388,260,486,619,884,1270,1391,1821,2717,2613,3522,2963,3168,2382,2171,1639,579,997,525,535,175,164,107,52,101,205,38,77,23,27,6,19,22,26,32,32,55,69,73,101,154,259,365,316,375,346,283,16,35158,31017
Contagem,22,31,20,33,48,58,36,87,102,148,282,371,460,808,987,954,1494,1916,1810,1214,867,681,766,530,397,190,155,119,67,54,46,35,27,27,19,20,26,36,31,21,23,18,18,36,39,40,23,62,72,109,143,190,10,15778,31018
Curvelo,2,2,10,6,4,5,6,6,19,17,26,38,51,55,80,56,57,63,76,76,55,27,39,41,32,21,11,20,9,9,7,9,6,10,12,10,18,11,8,11,13,5,3,11,29,38,39,33,35,58,42,48,0,1375,31019
