Município,Semana 01,Semana 02,Semana 03,Semana 04,Semana 05,Semana 06,Semana 07,Semana 08,Semana 09,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 50,Semana 51,Semana 52,Total,CIR
"Alfenas,Machado",7,9,3,15,14,12,5,9,8,8,5,7,5,10,15,27,20,15,23,28,9,6,10,9,3,4,0,1,0,0,0,1,0,0,0,2,0,1,0,0,1,0,0,3,0,3,3,3,2,2,2,0,310,31001
Guaxupé,2,6,4,1,1,3,0,1,3,2,1,3,1,2,1,3,1,0,3,1,1,0,2,0,2,1,0,1,0,0,0,0,0,0,1,0,2,1,2,0,0,0,0,0,1,0,1,2,1,1,1,0,59,31002
Itajubá,1,2,3,4,0,4,3,4,6,5,2,1,3,4,3,1,0,1,2,0,1,1,0,0,0,0,0,0,0,2,1,1,1,1,0,1,1,1,0,0,0,2,1,0,1,0,2,2,2,1,2,0,73,31003
Lavras,1,3,9,2,0,2,0,1,1,0,0,0,0,1,0,1,3,4,1,5,1,2,2,1,1,2,0,1,2,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,4,2,0,61,31004
Poços de Caldas,1,4,4,4,3,8,1,2,4,2,1,2,3,1,2,1,2,3,2,2,0,0,2,3,3,3,0,2,0,1,0,0,0,0,1,0,2,0,0,2,1,0,1,1,3,2,1,1,0,2,1,4,88,31006
Pouso Alegre,3,2,4,6,3,2,4,3,4,0,7,0,3,3,4,2,1,1,1,2,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,2,0,3,0,1,1,0,0,1,3,2,1,80,31007
São Lourenço,2,0,1,2,2,1,0,1,2,0,2,2,2,1,3,2,0,1,0,0,0,0,0,0,3,1,3,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,1,0,3,2,1,2,0,1,0,0,45,31008
São Sebastião do Paraíso,1,3,7,8,2,1,1,3,4,2,4,4,1,4,4,1,1,2,1,3,4,4,2,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,2,2,3,2,7,4,1,11,20,2,128,31009
Três Corações,0,2,3,1,1,1,1,1,4,2,0,2,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,4,0,1,0,1,4,0,1,1,4,2,3,4,53,31010
Três Pontas,0,3,3,2,5,4,1,1,2,1,3,5,1,5,3,5,3,4,3,0,0,2,1,1,5,3,1,1,2,3,0,1,2,4,0,0,4,2,3,2,2,3,3,0,4,1,2,4,4,3,5,3,125,31011
Varginha,22,20,22,23,29,18,15,33,18,7,17,19,15,12,15,7,6,7,14,11,11,2,6,15,6,12,15,5,7,7,8,12,6,6,9,9,7,7,8,6,7,13,11,13,7,8,9,17,10,23,19,14,645,31012
Barbacena,0,1,4,2,1,3,2,2,5,4,2,3,1,1,1,1,2,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,2,2,1,0,0,1,0,1,1,0,2,0,52,31013
São João Del Rei,0,1,8,5,3,3,3,4,4,5,0,4,1,9,5,7,3,1,3,2,0,0,0,2,0,1,1,1,1,0,0,0,0,1,0,1,0,0,3,1,1,1,1,1,0,3,7,7,5,3,6,2,120,31015
"Belo Horizonte,Nova Lima,Santa Luzia",232,235,366,423,359,230,230,296,276,309,277,232,169,208,200,165,148,133,132,130,121,64,106,107,95,85,79,76,78,55,77,83,74,72,62,68,73,89,110,126,114,137,168,116,138,112,141,188,194,229,252,167,8406,31016
Betim,73,27,41,61,77,43,50,41,37,39,34,58,35,41,35,37,31,22,25,29,20,9,20,16,17,25,29,20,14,19,17,12,117,13,21,14,19,24,12,27,20,21,25,18,40,24,39,63,70,82,105,80,1888,31017
Contagem,37,44,64,84,43,33,32,44,40,41,49,45,18,46,30,45,33,31,35,38,35,11,15,19,20,28,21,14,16,12,21,14,12,15,14,6,19,22,26,14,17,25,28,30,41,35,38,48,59,65,69,35,1676,31018
Curvelo,22,16,7,14,9,9,9,14,12,9,8,10,16,16,31,23,24,10,9,22,12,2,3,4,2,3,2,2,5,2,1,6,2,1,2,0,4,3,1,6,16,10,12,20,20,16,29,16,10,14,18,6,540,31019
