Município,Semana 01,Semana 02,Semana 03,Semana 04,Semana 05,Semana 06,Semana 07,Semana 08,Semana 09,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 50,Semana 51,Semana 52,Semana 53,Total,CIR
"Alfenas,Machado",3,10,14,42,57,55,69,68,103,116,137,134,122,205,179,270,255,175,195,178,135,72,42,33,39,31,25,24,13,12,8,7,6,9,3,9,7,15,7,6,11,6,2,7,8,13,6,3,3,7,10,6,2,2974,31001
Guaxupé,2,3,10,29,19,20,14,21,18,31,26,33,34,36,37,49,54,57,64,52,44,24,28,13,25,25,18,13,5,9,4,7,5,1,3,6,1,6,1,4,5,2,3,3,7,4,1,0,2,2,0,2,1,883,31002
Itajubá,1,6,7,17,23,29,47,87,69,103,114,72,69,72,80,116,92,82,60,50,38,16,14,4,6,9,7,13,10,4,5,4,7,7,1,4,9,6,4,5,4,4,2,2,1,0,4,2,2,0,1,1,1,1393,31003
Lavras,0,6,3,5,7,4,9,11,2,17,9,14,19,11,13,25,22,13,24,18,15,8,2,3,3,3,1,1,0,2,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,2,1,0,281,31004
Poços de Caldas,2,8,0,7,1,7,5,1,4,8,5,6,7,8,5,12,3,0,7,2,3,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,111,31006
Pouso Alegre,1,3,3,6,7,9,11,6,12,9,8,10,6,6,11,22,26,30,22,14,17,7,4,3,1,2,5,1,3,3,0,0,1,0,2,0,1,2,1,2,0,1,0,1,0,2,1,2,2,7,5,3,2,303,31007
São Lourenço,0,5,1,7,11,22,23,39,19,54,57,37,31,60,38,72,84,52,61,40,30,25,18,6,8,2,13,5,2,7,2,3,0,6,4,2,1,3,0,2,4,3,0,0,0,6,1,4,5,2,2,2,3,884,31008
São Sebastião do Paraíso,4,6,8,18,20,15,16,27,15,26,33,41,25,49,56,44,27,37,26,29,28,18,15,13,9,7,6,5,3,2,4,1,2,9,2,2,0,7,7,3,6,2,1,3,1,2,2,3,2,4,5,3,5,704,31009
Três Corações,2,0,2,1,1,1,0,1,2,2,3,1,6,8,4,6,7,15,13,5,1,1,2,1,2,1,0,1,2,0,0,1,1,0,0,0,1,0,0,0,0,2,1,1,0,1,0,1,0,2,0,0,0,102,31010
Três Pontas,2,3,3,8,4,7,7,9,7,14,15,11,28,36,24,41,57,40,44,26,31,14,9,12,6,6,2,2,3,0,2,3,0,2,2,2,4,6,2,1,6,1,0,0,2,3,1,3,3,0,1,1,4,520,31011
Varginha,12,27,20,23,23,16,23,42,19,31,34,22,23,25,27,39,29,21,35,35,20,20,13,10,14,20,7,9,16,10,6,10,9,6,6,5,10,3,4,0,5,6,6,6,6,4,11,16,5,8,11,5,11,824,31012
Barbacena,1,4,2,5,5,2,7,1,4,3,1,0,4,2,0,1,0,0,0,1,0,1,2,0,2,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,53,31013
São João Del Rei,3,6,3,9,6,9,8,9,13,21,17,12,14,11,15,19,15,18,20,21,10,7,5,6,7,2,3,9,3,4,3,2,0,1,0,0,0,1,1,1,2,2,1,3,1,3,0,3,10,5,2,2,0,348,31015
"Belo Horizonte,Nova Lima,Santa Luzia",148,345,435,469,459,568,656,919,811,1308,1606,1517,673,774,743,877,804,766,696,581,552,498,528,515,549,628,520,439,352,360,260,181,190,248,156,161,182,180,162,171,212,162,130,156,146,218,232,258,318,221,271,150,217,24678,31016
Betim,22,54,60,61,81,67,95,143,90,159,242,159,71,72,61,75,53,69,50,50,45,56,47,45,61,68,67,67,46,30,69,34,30,27,20,28,25,40,34,26,22,22,17,45,23,37,52,37,60,56,80,38,44,3132,31017
Contagem,17,55,65,57,100,122,150,161,126,222,294,269,107,137,139,187,114,121,88,92,95,78,76,122,116,86,88,98,82,63,52,50,35,48,21,42,38,35,27,45,51,47,36,44,36,47,49,51,50,69,59,31,35,4525,31018
Curvelo,1,2,8,8,8,11,22,27,25,30,61,47,19,25,9,13,35,36,24,20,16,15,20,17,18,23,11,10,10,6,11,3,12,9,5,6,5,2,3,4,6,6,2,1,10,8,13,22,14,11,18,18,12,778,31019
Guanhães,0,2,0,0,0,3,4,1,2,3,8,6,5,1,13,4,5,9,10,4,9,7,7,6,8,6,6,1,4,7,5,4,1,2,5,2,1,2,0,1,0,4,0,0,0,0,2,0,0,1,1,1,2,175,31020
Itabira,25,36,36,34,26,35,39,62,73,86,93,78,69,90,93,134,113,106,89,64,70,62,45,27,38,22,28,27,30,24,19,12,12,12,7,8,12,14,6,9,6,8,3,9,7,8,9,18,14,10,8,8,7,1980,31021
Ouro Preto,1,3,3,0,4,5,6,8,5,6,6,3,1,1,4,3,7,7,9,5,4,1,0,1,1,1,0,1,2,1,0,0,0,0,1,0,0,0,1,3,0,0,1,0,2,0,1,2,0,1,0,1,1,113,31022
João Monlevade,1,2,2,3,4,8,8,15,10,15,10,10,9,20,22,43,44,26,54,11,23,11,24,12,11,5,10,4,9,8,4,2,2,1,0,3,0,3,1,2,2,2,0,3,3,1,5,1,5,4,7,4,0,489,31023
Sete Lagoas,38,83,144,152,127,201,215,376,586,532,610,385,275,325,305,437,335,298,218,182,172,113,115,83,73,54,56,45,41,22,33,27,28,26,20,15,22,29,21,20,20,24,18,14,17,10,26,38,29,19,30,19,22,7125,31024
"Vespasiano,Lagoa Santa",4,23,13,35,28,43,54,93,52,74,85,100,72,77,57,69,105,80,74,44,46,43,38,24,31,14,28,21,18,22,13,8,7,9,10,5,9,11,7,13,8,8,6,7,11,5,19,9,14,10,12,8,5,1681,31025
"Diamantina,Itamarandiba",7,16,30,48,46,78,96,39,58,65,59,37,14,32,23,17,40,18,12,12,10,10,4,3,3,7,5,1,2,1,3,1,0,1,3,2,1,2,1,0,1,2,3,5,4,5,4,2,3,10,1,0,3,850,31026
"Turmalina,Minas Novas,Capelinha",12,21,19,14,21,20,24,45,32,42,67,38,17,47,34,71,63,53,39,51,34,40,31,29,26,13,13,12,9,12,9,4,10,5,1,4,4,1,4,1,1,3,3,6,0,1,5,3,3,2,2,2,2,1025,31027
Bom Despacho,12,14,19,31,37,32,53,73,54,82,126,152,81,81,64,81,56,56,44,28,27,15,14,8,20,15,12,12,13,13,16,11,11,10,3,2,4,10,5,8,7,6,4,5,5,6,7,3,11,16,15,5,5,1500,31028
