Município,Em Branco,Semana 01,Semana 02,Semana 03,Semana 04,Semana 05,Semana 06,Semana 07,Semana 08,Semana 09,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 50,Semana 51,Semana 52,Semana 53,Total,CIR
"Diamantina,Itamarandiba",0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,31026
"Turmalina,Minas Novas,Capelinha",0,0,0,0,0,1,1,1,1,4,0,0,0,2,2,6,9,17,2,3,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,31027
Bom Despacho,0,30,60,73,72,53,45,88,91,99,113,101,83,106,145,121,82,69,58,60,34,10,16,44,19,18,3,5,2,3,0,0,2,3,1,3,1,2,0,0,1,0,0,3,0,0,3,1,0,0,3,0,0,1,1727,31028
Formiga,0,0,2,2,0,2,0,1,1,0,2,3,0,11,18,12,17,10,5,4,4,6,6,3,3,4,0,2,2,4,0,0,3,0,4,3,1,2,7,5,1,1,2,6,0,3,3,4,6,2,1,2,0,4,184,31030
Itaúna,0,1,1,3,1,1,2,0,0,1,3,0,1,4,8,13,5,4,18,9,4,3,2,2,1,0,3,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,96,31031
"Pará de Minas,Nova Serrana",0,2,2,1,2,3,0,3,5,3,7,4,5,22,35,49,28,35,29,16,23,13,9,11,8,10,4,7,2,1,2,0,1,0,1,3,0,0,0,0,1,0,2,2,0,0,0,3,4,2,0,1,0,1,362,31032
Caratinga,0,4,3,9,7,4,0,2,6,10,6,10,2,9,13,7,15,12,11,15,6,2,0,0,0,4,0,2,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,1,53,2,102,20,1,0,0,342,31034
"Coronel Fabriciano,Timóteo",0,2,10,10,9,11,9,12,9,12,14,12,19,87,190,202,232,182,126,237,211,132,115,106,92,52,52,26,21,2,5,6,5,7,6,6,4,3,4,2,5,2,8,9,8,4,2,9,6,10,16,14,9,13,2357,31035
Governador Valadares,0,8,11,17,15,9,11,16,18,29,27,20,33,104,141,205,175,133,84,77,72,88,38,47,22,36,16,15,9,14,6,4,2,5,2,9,7,8,20,29,31,36,42,43,40,59,45,51,88,49,29,40,22,26,2183,31036
Ipatinga,0,12,11,41,86,44,9,27,26,37,26,29,37,140,231,265,367,211,106,166,123,49,57,57,26,21,19,5,8,4,2,1,3,2,4,1,1,1,1,0,0,0,0,3,2,1,1,4,2,9,4,5,2,1,2290,31037
