"Reg Saúde (CIR)/Municíp Res";"Em Branco";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Total"
".....  ALEM PARAIBA";-;107;147;159;191;233;188;199;232;248;220;176;98;81;81;78;53;41;41;40;29;9;5;12;1;3;7;2;1;1;4;1;1;-;1;-;-;-;-;-;1;2;-;-;2693
".....  SANTO ANTONIO DO AVENTUREIRO";-;3;9;8;10;19;19;34;52;55;58;22;52;30;19;14;8;10;14;6;2;3;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-;-;-;1;-;-;451
".....  PIRAPETINGA";-;1;-;6;4;5;14;17;56;63;47;20;21;26;12;10;5;5;6;17;1;2;4;2;-;-;4;3;1;1;1;-;-;-;-;-;-;-;1;-;1;-;-;-;356
"31042 Carangola";-;37;77;205;258;413;675;573;825;698;669;533;464;380;422;392;268;265;293;211;220;133;111;85;42;23;15;7;8;1;1;1;2;2;3;1;3;2;3;3;3;1;1;-;8329
".....  ORIZANIA";-;-;-;-;1;3;5;3;9;5;4;6;-;3;13;16;13;19;51;20;16;6;8;11;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;215
".....  TOMBOS";-;11;29;89;86;65;82;62;66;44;42;39;19;13;8;5;11;4;11;11;10;6;2;2;2;3;2;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;726
".....  DIVINO";-;-;5;5;2;17;17;26;39;45;46;40;48;111;105;102;79;91;84;66;64;60;58;48;28;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1193
".....  PEDRA BONITA";-;-;-;-;-;-;3;1;4;4;7;1;2;1;-;12;6;12;10;9;2;6;3;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;86
".....  PEDRA DOURADA";-;-;-;-;-;2;-;-;2;1;13;5;1;4;1;2;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;34
".....  FERVEDOURO";-;-;-;-;4;7;7;26;32;22;65;61;58;75;103;91;53;38;30;18;22;8;6;2;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;731
".....  CARANGOLA";-;7;15;18;35;54;113;74;142;136;157;110;116;63;60;52;30;33;32;15;19;4;2;1;-;3;1;2;2;-;1;1;-;-;-;-;-;-;-;1;-;-;-;-;1299
".....  FARIA LEMOS";-;2;-;3;3;5;2;4;8;4;8;5;1;1;-;1;-;2;8;4;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;66
