"Reg Saúde (CIR)/Municíp Res";"Em Branco";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Total"
"31052 Janaúba/Monte Azul";-;12;42;53;71;161;257;244;404;598;578;639;791;844;1081;1055;1007;851;661;583;498;339;181;172;103;95;88;70;54;40;40;41;31;31;21;9;17;11;9;6;7;5;9;-;11809
".....  MAMONAS";-;-;-;1;1;7;6;17;20;22;23;25;42;46;31;51;40;25;31;20;17;21;2;8;6;7;6;6;-;-;1;-;1;-;1;-;-;-;-;-;-;-;-;-;484
".....  RIACHO DOS MACHADOS";-;1;6;5;5;10;9;11;8;21;14;14;31;23;31;39;41;7;6;4;8;7;5;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;308
".....  CATUTI";-;-;3;2;1;2;5;4;6;10;14;18;11;24;40;47;54;42;56;33;50;17;12;4;5;2;-;3;-;1;-;2;3;1;-;-;-;-;-;-;-;-;1;-;473
".....  MATO VERDE";-;-;-;3;-;2;1;3;4;9;19;39;70;85;128;104;109;59;79;63;26;16;10;8;3;2;2;1;7;2;-;3;1;-;3;2;1;-;-;-;1;-;-;-;865
".....  SERRANOPOLIS DE MINAS";-;1;-;-;-;1;3;2;2;14;17;27;28;29;47;75;77;83;29;34;20;18;5;8;-;1;-;-;3;2;1;3;6;2;2;-;2;-;-;-;-;-;-;-;542
".....  JAIBA";-;-;5;6;10;21;29;22;45;59;70;59;75;85;82;76;66;83;53;81;52;36;41;22;7;6;1;7;8;7;5;1;1;1;2;1;3;1;-;-;1;-;-;-;1130
".....  VERDELANDIA";-;-;1;-;-;4;3;3;7;19;12;1;-;-;2;-;2;1;-;1;1;-;3;8;2;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;72
".....  MATIAS CARDOSO";-;-;2;5;1;4;10;6;9;10;10;12;3;-;1;-;6;-;21;-;-;2;1;-;2;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;107
".....  MONTE AZUL";-;-;2;5;4;8;10;11;14;14;16;21;24;40;36;52;55;42;30;36;25;23;9;10;4;2;4;7;1;2;1;1;1;1;1;-;2;1;1;-;-;-;-;-;516
".....  NOVA PORTEIRINHA";-;-;2;1;-;6;26;19;50;66;46;52;52;26;50;31;13;14;11;6;8;-;1;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;482
".....  PAI PEDRO";-;1;2;2;4;5;4;5;5;9;10;18;11;15;22;19;8;19;9;11;6;9;9;5;9;8;9;8;3;5;3;4;4;6;2;1;-;-;-;-;-;-;-;-;270
".....  PORTEIRINHA";-;-;1;1;3;11;17;10;35;25;42;80;143;146;209;168;168;153;99;67;47;26;20;14;6;12;8;5;1;2;-;5;-;2;1;1;-;-;1;-;-;-;-;-;1529
".....  GAMELEIRAS";-;-;-;-;-;5;8;13;16;27;38;17;13;14;13;17;20;13;7;8;20;3;3;6;7;5;5;3;5;3;3;1;-;3;-;-;-;-;-;-;1;-;-;-;297
".....  ESPINOSA";-;1;-;1;1;9;31;27;34;48;35;36;46;54;43;41;46;37;24;23;22;16;7;16;8;13;5;5;3;1;1;2;1;2;1;-;1;4;-;2;-;1;-;-;648
".....  JANAUBA";-;8;18;21;41;66;95;91;149;245;212;220;242;257;346;335;302;273;206;196;196;145;53;63;43;35;45;25;23;15;25;19;12;12;8;4;8;5;7;4;4;4;8;-;4086
"31053 Januária";-;51;82;133;198;532;745;704;882;1246;1056;847;669;470;372;258;223;163;100;79;60;37;26;22;15;17;6;12;9;4;2;9;5;4;13;6;4;14;7;12;6;16;19;-;9135
".....  JANUARIA";-;31;56;115;165;442;628;563;725;999;846;635;499;330;222;148;130;105;72;47;53;28;24;18;14;15;6;12;9;3;2;7;4;3;13;6;4;13;7;11;6;16;17;-;7049
".....  PEDRAS DE MARIA DA CRUZ";-;2;3;5;8;21;25;22;24;46;31;34;34;15;8;4;12;5;3;3;1;3;2;-;-;-;-;-;-;-;-;1;-;1;-;-;-;1;-;-;-;-;-;-;314
".....  CONEGO MARINHO";-;17;20;10;21;47;53;59;69;115;43;50;49;32;17;10;7;1;1;2;-;-;-;2;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;2;-;629
".....  ITACARAMBI";-;-;-;1;1;10;22;37;44;45;56;52;30;26;36;22;12;11;5;6;2;5;-;1;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;428
".....  BONITO DE MINAS";-;1;3;2;3;12;17;23;20;41;80;76;57;67;89;74;62;41;19;21;4;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;715
"31055 Pirapora";-;42;81;120;201;356;496;594;708;699;682;779;867;595;542;448;352;387;442;228;144;149;66;46;39;29;18;11;6;5;9;5;6;6;6;6;3;6;6;2;6;2;1;-;9196
".....  IBIAI";-;3;5;5;14;41;41;41;51;37;37;60;61;72;65;60;44;8;13;-;3;14;13;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;690
".....  LASSANCE";-;1;5;16;47;72;152;184;202;191;131;122;90;41;36;21;13;10;5;3;2;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1347
".....  PONTO CHIQUE";-;-;-;1;3;4;9;6;8;10;3;12;6;4;-;12;5;2;2;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;89
".....  PIRAPORA";-;30;52;76;98;123;127;136;193;320;272;355;304;224;226;174;161;137;103;62;56;47;21;23;32;22;11;10;5;5;7;3;6;4;4;6;3;5;5;2;5;-;1;-;3456
".....  SANTA FE DE MINAS";-;-;1;1;4;3;2;2;3;7;5;7;6;4;7;12;11;11;9;-;2;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;99
".....  VARZEA DA PALMA";-;8;14;17;32;78;100;169;172;59;122;95;239;214;145;118;79;162;241;115;44;21;31;11;-;-;-;1;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;2289
".....  BURITIZEIRO";-;-;4;4;3;35;65;56;79;75;112;128;161;36;63;51;39;57;69;47;36;64;-;12;7;7;4;-;1;-;2;2;-;1;1;-;-;1;1;-;1;2;-;-;1226
"31057 Patos de Minas";-;102;216;305;610;672;701;816;1103;1072;1774;1918;2272;1798;2033;1892;1877;1602;1420;1357;1098;835;599;1086;483;373;275;137;103;77;80;50;24;7;28;15;13;13;10;6;16;17;18;1;28904
".....  PATOS DE MINAS";-;83;185;248;512;534;538;639;793;779;1263;1466;1679;1364;1429;1312;1175;1121;1063;978;815;642;508;564;338;243;207;112;64;46;55;39;15;6;24;8;6;13;8;5;15;13;17;1;20925
".....  PRESIDENTE OLEGARIO";-;1;1;1;2;14;23;32;40;38;53;65;69;85;99;83;148;75;58;27;1;25;2;22;5;4;1;2;-;3;4;1;-;-;2;1;2;-;-;-;-;2;-;-;991
".....  LAGAMAR";-;2;5;9;10;14;16;8;13;16;36;13;38;21;45;31;23;28;26;27;26;12;15;13;5;7;2;-;2;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;465
".....  SAO GONCALO DO ABAETE";-;3;2;7;4;9;5;11;18;11;14;6;13;8;8;8;5;4;6;10;5;4;5;2;-;-;1;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;172
".....  CRUZEIRO DA FORTALEZA";-;-;1;-;1;6;4;4;8;10;2;19;15;9;23;17;17;7;18;17;19;11;2;3;-;1;-;1;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;218
".....  GUARDA-MOR";-;1;-;3;7;3;19;6;56;51;70;67;36;25;73;58;50;53;36;37;9;6;2;3;7;46;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;725
".....  GUIMARANIA";-;5;3;1;7;4;2;10;23;6;5;9;12;-;6;3;-;2;3;1;4;-;-;1;5;1;1;1;4;2;2;1;-;-;-;-;-;-;-;-;-;-;-;-;124
".....  LAGOA FORMOSA";-;1;8;12;25;25;25;46;30;39;58;75;137;71;69;108;93;18;10;20;17;11;3;5;3;3;1;1;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;917
".....  VAZANTE";-;4;2;5;30;45;32;22;37;41;77;85;109;104;142;164;155;121;57;72;64;37;15;6;6;11;-;1;4;-;2;2;-;-;1;-;-;-;-;-;-;1;1;-;1455
".....  SERRA DO SALITRE";-;2;9;15;11;16;16;1;59;51;97;59;107;77;92;67;168;127;124;142;112;70;40;461;110;54;61;18;26;24;16;3;9;1;-;5;5;-;2;1;-;1;-;-;2259
".....  VARJAO DE MINAS";-;-;-;4;1;2;21;37;26;30;99;54;57;34;47;41;43;46;19;26;26;17;7;6;4;3;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;653
"31058 Unaí/Paracatu";-;238;312;367;557;839;1415;1344;1736;1977;1958;2163;2127;1922;1657;1704;1808;1822;1410;1013;823;872;550;559;321;294;233;182;147;119;54;42;51;49;57;54;55;76;85;91;83;70;28;-;31264
".....  UNAI";-;78;102;135;188;311;522;524;621;703;672;909;1019;960;821;762;1013;1088;853;495;342;357;300;258;192;135;116;96;80;51;21;8;18;23;22;38;43;41;52;71;63;50;23;-;14176
".....  URUANA DE MINAS";-;-;3;6;10;30;52;54;55;51;53;71;51;32;47;49;29;29;20;11;6;7;6;6;5;3;1;1;2;1;1;1;-;-;-;-;1;-;-;-;-;-;-;-;694
".....  BONFINOPOLIS DE MINAS";-;2;6;4;4;22;15;31;47;43;68;37;19;8;5;4;9;31;17;9;9;4;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;395
".....  CABECEIRA GRANDE";-;9;13;17;21;15;22;29;30;17;17;27;6;10;10;11;14;25;9;-;6;6;-;4;1;2;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;324
".....  ARINOS";-;44;60;56;57;55;140;47;90;61;88;67;32;15;9;6;5;7;1;-;1;1;1;2;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;848
".....  PARACATU";-;20;33;46;54;109;181;159;219;309;305;282;329;350;346;491;406;423;321;348;318;389;207;235;84;120;95;69;44;55;29;31;24;22;30;15;11;34;30;20;14;15;5;-;6627
".....  CHAPADA GAUCHA";-;1;9;11;23;29;76;91;97;186;189;323;316;291;205;234;167;90;63;75;80;39;19;20;7;6;6;-;1;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;2657
".....  RIACHINHO";-;3;2;16;21;33;38;30;28;35;23;18;40;36;46;7;11;6;17;5;4;6;1;1;1;-;-;-;-;2;-;-;4;-;2;-;-;-;1;-;-;4;-;-;441
".....  BURITIS";-;49;63;61;80;122;153;181;315;344;278;249;177;93;45;34;69;55;66;36;25;12;-;16;13;8;6;4;2;1;-;1;3;-;-;1;-;-;1;-;-;1;-;-;2564
".....  DOM BOSCO";-;4;5;1;22;26;42;39;50;51;74;50;34;49;34;35;25;5;6;6;6;19;2;3;5;4;3;-;2;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;603
".....  NATALANDIA";-;1;11;11;18;41;53;36;57;62;47;37;44;28;35;42;16;29;9;11;15;20;9;10;9;14;4;10;14;8;3;1;1;4;2;-;-;-;1;-;1;-;-;-;714
".....  FORMOSO";-;27;5;3;59;46;121;123;127;115;144;93;60;50;54;29;44;34;28;17;11;12;5;4;4;2;1;-;1;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1221
"31059 Manhuaçu";-;49;50;56;146;336;571;709;1302;1476;1343;1423;1642;1351;1940;1754;1450;1023;924;818;696;624;439;395;340;288;61;29;16;19;14;9;9;7;7;84;31;14;8;13;5;1;5;2;21479
".....  ALTO JEQUITIBA";-;8;5;3;1;6;17;17;32;31;24;32;39;36;51;61;51;54;62;52;49;27;9;12;10;9;9;1;3;1;3;3;1;1;-;-;3;-;-;1;-;-;-;-;724
".....  SIMONESIA";-;1;1;4;3;16;16;80;122;88;126;177;274;42;30;23;19;29;14;4;7;-;1;1;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1082
".....  MANHUMIRIM";-;3;-;5;12;15;27;43;33;51;41;40;71;92;93;63;46;29;53;65;16;29;29;24;12;9;2;8;2;3;-;-;1;-;1;1;-;-;-;-;-;-;-;-;919
".....  IPANEMA";-;-;-;-;1;10;36;16;74;105;55;66;25;28;31;22;14;11;13;4;6;5;1;2;-;4;-;-;-;-;-;2;2;1;-;-;-;-;-;-;1;-;1;-;536
".....  SAO JOAO DO MANHUACU";-;-;-;-;1;-;2;12;39;32;45;54;81;54;48;80;45;31;42;44;35;16;16;11;5;3;1;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;699
".....  MARTINS SOARES";-;1;-;-;-;3;2;3;33;24;26;11;13;25;38;21;27;27;7;12;20;6;-;4;4;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;309
".....  LAJINHA";-;-;-;2;5;7;1;1;6;21;14;27;72;53;48;44;8;6;22;34;64;36;29;15;25;5;4;3;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;554
".....  TAPARUBA";-;-;-;1;1;1;9;2;6;6;5;3;10;8;13;16;13;18;19;23;26;31;25;4;3;3;-;-;-;3;-;-;1;-;4;81;24;10;3;5;-;-;-;-;377
".....  MANHUACU";-;7;11;10;38;100;210;217;535;670;553;433;496;578;1101;1188;898;579;556;437;357;395;297;301;266;238;39;11;8;10;7;1;3;3;2;2;2;4;3;2;-;1;-;1;10570
".....  LUISBURGO";-;-;-;-;-;4;10;12;8;5;5;8;11;8;24;22;20;16;3;16;8;9;3;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;194
".....  CHALE";-;-;1;2;3;5;5;8;17;18;26;18;33;26;22;33;39;13;14;15;7;5;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;317
".....  SAO JOSE DO MANTIMENTO";-;4;7;6;15;21;22;2;-;1;1;-;-;-;1;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;83
".....  ALTO CAPARAO";-;-;4;6;2;4;7;9;7;13;40;32;29;47;30;12;31;23;10;7;9;4;3;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;334
".....  DURANDE";-;11;3;8;9;24;52;71;74;70;80;82;45;57;34;28;62;37;21;29;29;7;3;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;839
".....  POCRANE";-;-;-;2;7;25;19;45;99;90;52;68;67;35;38;4;8;16;8;5;1;1;1;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;593
".....  CAPUTIRA";-;1;-;-;1;9;19;22;32;43;61;81;80;47;68;17;19;21;14;9;5;4;3;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;558
".....  CONCEICAO DE IPANEMA";-;1;-;-;9;26;14;10;3;9;8;2;7;11;3;2;1;1;3;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;113
".....  REDUTO";-;1;-;-;4;4;48;69;59;41;28;46;45;44;32;7;10;5;5;7;4;8;1;3;4;3;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;480
".....  SANTA MARGARIDA";-;-;2;1;4;21;14;18;34;29;31;45;59;26;30;28;49;28;11;10;17;10;4;4;4;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;481
".....  SANTANA DO MANHUACU";-;10;11;4;20;19;15;5;22;27;18;11;4;3;4;6;4;4;1;2;1;1;-;1;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;196
".....  MATIPO";-;-;-;1;3;9;9;16;41;52;62;146;83;104;82;18;29;21;17;12;18;4;2;-;2;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;733
".....  ABRE CAMPO";-;1;-;1;6;6;8;25;19;35;33;33;71;7;97;25;35;41;16;17;6;20;1;1;-;6;1;3;1;1;2;2;1;1;-;-;2;-;-;-;-;-;-;-;524
".....  MUTUM";-;-;5;-;1;1;9;6;7;15;9;8;27;20;22;33;22;11;13;14;10;4;4;3;-;2;3;-;-;-;-;-;-;-;-;-;-;-;2;4;4;-;4;1;264
"31060 Ponte Nova";-;59;120;157;318;513;695;780;1178;1251;1284;1354;1483;1120;1578;1390;1106;1070;760;708;626;516;295;209;131;80;70;44;27;22;16;21;8;6;14;7;14;3;7;10;9;6;19;1;19085
".....  SERICITA";-;-;-;-;3;1;9;13;21;26;26;33;47;18;23;17;12;1;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;254
".....  RIO CASCA";-;-;9;11;21;34;55;42;69;108;129;161;67;61;94;48;56;48;27;40;33;17;8;6;6;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1152
".....  DOM SILVERIO";-;-;-;1;3;6;29;30;27;64;54;42;48;26;19;41;43;31;38;22;17;16;17;14;5;1;8;4;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;608
".....  DIOGO DE VASCONCELOS";-;-;-;-;1;3;1;1;9;9;14;-;2;1;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;43
".....  SANTA CRUZ DO ESCALVADO";-;1;-;1;5;8;10;9;18;30;17;18;14;19;23;17;23;25;9;3;7;-;-;-;1;-;8;2;3;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;273
".....  ACAIACA";-;3;8;16;26;53;53;99;113;91;64;59;33;20;20;13;3;2;1;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;679
".....  BARRA LONGA";-;-;4;7;7;13;4;22;11;10;7;8;13;5;18;12;20;21;21;9;2;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;216
".....  SEM-PEIXE";-;5;16;3;9;15;21;13;35;52;48;42;39;28;38;20;10;6;22;6;5;3;1;-;-;-;-;1;1;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;441
".....  JEQUERI";-;-;2;2;-;13;23;25;57;58;48;41;37;27;52;47;37;37;10;15;16;5;6;2;1;-;1;1;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;565
".....  AMPARO DO SERRA";-;-;1;-;-;4;8;-;4;3;7;1;5;1;4;1;2;1;9;5;2;-;-;3;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;63
".....  ALVINOPOLIS";-;10;40;43;90;93;115;147;170;143;112;95;136;101;90;53;48;35;30;27;16;17;8;3;9;2;2;-;-;2;-;1;2;-;-;1;2;-;-;-;3;1;3;1;1651
".....  GUARACIABA";-;2;1;6;6;12;16;17;53;50;76;120;157;138;189;147;111;107;65;56;34;23;4;5;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;-;1;-;-;1400
".....  SAO PEDRO DOS FERROS";-;1;2;2;1;9;20;35;64;109;93;115;129;94;143;135;83;88;50;46;50;11;2;3;2;3;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;1292
".....  RIO DOCE";-;-;-;-;-;5;2;3;4;11;4;5;6;1;19;9;10;3;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;84
".....  RAUL SOARES";-;7;2;15;28;25;89;86;169;144;185;159;157;159;192;181;161;181;130;149;136;154;103;47;19;8;7;4;1;2;2;2;1;5;1;-;1;-;-;3;1;-;1;-;2717
".....  SAO JOSE DO GOIABAL";-;9;23;33;70;71;29;17;17;18;51;28;23;8;13;10;9;2;1;4;-;2;1;-;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;443
".....  SANTO ANTONIO DO GRAMA";-;-;-;-;1;1;5;6;20;23;24;10;25;26;19;21;12;6;12;7;9;7;9;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;246
".....  URUCANIA";-;9;2;4;9;25;21;11;15;36;22;38;35;28;63;42;10;7;1;5;3;-;2;1;-;-;1;1;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;394
".....  ORATORIOS";-;-;1;-;1;3;1;4;4;8;6;15;12;11;33;17;11;14;5;3;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;151
".....  PONTE NOVA";-;12;9;13;37;117;171;183;277;252;269;347;465;317;510;533;441;443;325;305;293;257;133;122;86;64;37;30;19;17;13;17;3;1;13;2;10;3;6;3;5;4;14;-;6178
".....  PIEDADE DE PONTE NOVA";-;-;-;-;-;2;13;17;21;6;28;17;33;31;16;25;4;12;2;4;2;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;235
"31061 Viçosa";-;11;15;18;31;54;131;146;206;246;393;525;702;574;642;751;614;576;541;561;326;227;152;179;153;191;242;101;129;72;23;3;1;2;2;-;-;3;2;2;-;-;3;-;8550
".....  PAULA CANDIDO";-;1;-;-;2;4;8;12;15;7;29;20;26;24;65;28;7;10;8;13;7;5;4;3;-;1;2;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;303
".....  TEIXEIRAS";-;3;-;4;2;9;9;3;20;15;18;26;18;15;24;19;21;6;14;20;11;10;1;1;4;-;1;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;277
".....  CANAA";-;1;-;-;-;-;-;4;3;1;12;4;17;22;27;20;17;30;27;19;18;21;12;18;7;4;4;2;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;293
".....  CAJURI";-;-;-;-;-;1;1;10;4;14;55;53;81;89;51;45;64;48;34;28;17;11;15;12;3;-;2;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;640
".....  SAO MIGUEL DO ANTA";-;-;-;-;-;-;6;1;3;11;6;21;36;10;46;34;43;38;12;51;1;-;19;27;19;9;2;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;398
".....  PORTO FIRME";-;-;-;-;2;-;9;4;13;9;14;39;33;33;40;55;19;31;65;26;1;1;-;-;2;-;1;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;400
".....  VICOSA";-;5;14;11;23;36;89;97;132;168;218;335;437;355;361;512;373;358;344;371;241;143;87;111;117;173;229;94;120;66;20;3;1;2;2;-;-;3;2;2;-;-;3;-;5658
".....  PEDRA DO ANTA";-;1;1;2;-;1;9;8;5;17;34;23;51;24;26;30;59;47;34;27;22;36;13;7;1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;480
".....  ARAPONGA";-;-;-;1;2;3;-;7;11;4;7;4;3;2;2;8;11;8;3;6;8;-;1;-;-;4;1;-;1;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;101
"31062 Águas Formosas";-;9;8;13;18;35;58;66;187;222;266;321;316;243;268;276;195;173;148;133;111;99;59;35;26;34;26;19;11;8;9;1;1;1;-;3;1;1;-;2;-;-;-;-;3402
".....  CRISOLITA";-;2;-;-;-;1;2;2;6;2;4;4;1;6;1;3;5;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;43
".....  SANTA HELENA DE MINAS";-;-;-;1;1;3;4;1;10;10;18;24;25;18;13;14;11;8;7;5;9;15;4;3;2;7;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;219
".....  UMBURATIBA";-;-;-;-;2;1;-;-;9;2;3;10;1;4;5;1;1;2;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;43
".....  AGUAS FORMOSAS";-;3;5;5;5;7;14;16;57;72;55;59;71;58;64;89;49;46;63;60;28;30;12;16;12;7;5;3;-;2;1;-;1;-;-;-;-;-;-;1;-;-;-;-;916
".....  PAVAO";-;2;-;5;1;10;8;9;16;23;39;70;76;49;79;84;63;47;39;31;23;26;29;4;7;15;12;13;8;1;3;-;-;-;-;-;-;1;-;-;-;-;-;-;793
".....  BERTOPOLIS";-;-;-;-;-;1;5;-;9;7;19;18;21;13;20;15;9;4;2;-;8;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;154
".....  FRONTEIRA DOS VALES";-;-;1;-;2;4;6;8;6;3;13;3;11;2;6;1;3;6;6;7;6;4;2;6;2;4;3;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;116
".....  MACHACALIS";-;2;2;2;7;8;19;30;74;103;115;133;110;93;80;69;54;60;30;30;35;20;12;6;3;1;2;1;3;4;5;1;-;-;-;3;-;-;-;1;-;-;-;-;1118
"31064 Araçuaí";-;35;88;91;98;151;203;258;429;451;642;624;597;550;495;388;389;254;178;156;150;99;52;47;32;6;18;9;7;5;8;11;5;4;6;3;13;6;3;4;2;2;5;-;6574
".....  ARACUAI";-;5;9;14;20;30;53;64;139;204;237;225;261;293;267;222;251;141;107;88;78;49;28;28;20;4;13;7;5;2;4;8;4;1;3;1;9;3;-;1;1;2;3;-;2904
".....  CORONEL MURTA";-;2;2;2;4;9;21;22;43;54;84;125;69;41;42;9;14;4;3;1;5;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;558
".....  FRANCISCO BADARO";-;2;18;12;12;25;39;62;81;54;142;164;103;107;89;63;62;39;19;23;29;28;9;2;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1186
".....  VIRGEM DA LAPA";-;10;19;22;23;36;32;63;83;93;98;61;87;68;53;54;33;54;30;28;25;16;13;5;9;1;3;1;-;1;2;-;-;1;-;-;1;1;-;1;-;-;-;-;1027
".....  BERILO";-;15;36;39;38;45;51;44;68;25;65;11;47;8;6;-;1;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;502
".....  JENIPAPO DE MINAS";-;1;4;2;1;6;7;3;15;21;16;38;30;33;38;40;28;15;19;14;13;6;1;11;2;-;2;1;2;2;2;3;1;2;3;2;3;2;3;2;1;-;2;-;397
"31065 Itaobim";-;3;32;26;34;49;66;90;156;280;345;422;392;298;297;250;196;191;134;79;58;40;16;14;13;5;10;2;3;2;1;-;-;-;1;2;2;1;-;1;-;1;-;-;3512
".....  ITAOBIM";-;-;5;8;9;17;21;35;61;93;88;104;134;87;94;72;90;93;47;43;34;28;12;9;3;3;8;1;2;1;1;-;-;-;1;-;1;1;-;-;-;1;-;-;1207
".....  ITINGA";-;1;17;14;5;9;18;16;47;37;67;89;46;18;22;15;8;6;10;1;7;3;1;-;1;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;460
".....  MEDINA";-;1;5;2;7;11;19;16;19;84;106;127;129;155;116;97;64;58;65;24;5;3;2;3;6;2;1;1;1;-;-;-;-;-;-;2;1;-;-;1;-;-;-;-;1133
