Município,Semana 1,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 2,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 3,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 4,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 5,Semana 50,Semana 51,Semana 52,Semana 53,Semana 6,Semana 7,Semana 8,Semana 9
Formiga,0.0,30.6,0.4,35.2,126.2,26.6,0.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,20.8,0.0,35.8,9.8,80.2,69.19999999999999,122.2,39.0,1.4,16.2,33.2,1.7999999999999998,49.4,39.6,82.2,92.0,1.0,0.0,28.000000000000004,14.400000000000002
Governador Valadares,107.2,15.2,58.0,0.0,1.6,20.2,0.0,16.400000000000002,0.0,0.0,3.6000000000000005,0.0,0.0,0.0,0.0,0.4,0.0,0.2,2.2,0.0,0.0,0.0,20.0,0.0,1.8,8.200000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.6,0.0,46.0,0.0,7.800000000000001,39.0,15.0,42.6,78.80000000000001,1.6,42.6,43.2,8.6,0.0,0.0,0.0,5.6,33.2,135.6,12.0
Itaobim,81.39999999999999,3.8,11.0,0.0,0.2,17.6,0.8,2.2,0.0,0.0,5.199999999999999,31.6,0.0,0.0,0.0,1.8,0.6000000000000001,0.4,1.2,2.4000000000000004,1.6,0.0,0.0,0.4,3.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.6,0.0,3.2,8.2,5.6,27.8,21.0,55.8,10.8,11.6,0.0,41.2,3.2,26.4,51.2,19.0,13.8,11.8,81.2,4.4
Ituiutaba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2,203.4,30.6,44.2,5.4,57.2,0.0,29.2,43.2,19.4,27.6,0.0,0.0,0.0,0.0
"Janaúba,Monte Azul",83.6,1.6,0.0,4.2,0.0,5.8,0.0,0.0,0.0,0.0,0.0,52.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.8,0.0,11.8,32.6,44.8,10.6,18.8,98.8,26.6,3.4000000000000004,25.6,34.8,0.0,9.4,29.4,7.8,12.400000000000002,10.6,263.40000000000003,50.2
Januária,84.4,11.6,0.0,12.8,4.4,64.6,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.2,0.0,19.2,17.200000000000003,28.4,24.6,32.8,93.4,79.0,5.4,19.6,23.0,0.2,30.0,34.800000000000004,34.0,23.0,32.8,124.0,0.0
Juiz de Fora,62.8,51.0,26.6,30.0,40.8,0.2,0.6000000000000001,6.4,0.4,0.0,0.0,68.6,0.0,0.0,33.4,0.0,0.0,0.0,0.0,9.0,1.2,0.0,49.8,0.0,0.4,7.800000000000001,0.2,0.0,14.4,0.0,0.0,11.4,9.0,64.8,0.8,52.0,80.2,87.8,4.6,96.0,90.6,57.0,0.8,33.0,56.6,77.80000000000001,44.8,124.0,12.2,36.0,136.60000000000002,70.6,50.4
Manhuaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mantena,58.0,0.6000000000000001,2.8,6.6000000000000005,1.2000000000000002,5.2,9.4,2.6,0.0,0.0,27.6,34.6,0.0,0.2,0.4,0.2,0.0,0.4,9.8,0.0,0.8,0.0,1.8,0.0,22.4,18.6,2.4,0.0,0.0,0.0,0.0,0.0,1.4,111.6,1.2,39.0,0.0,47.2,91.4,93.0,92.6,75.2,6.4,37.4,27.200000000000003,13.4,57.8,92.2,7.8,36.8,26.6,72.8,0.0
Montes Claros,86.2,0.6000000000000001,2.4000000000000004,14.0,0.6000000000000001,89.8,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.6,0.0,15.2,5.0,48.4,20.8,13.2,66.0,44.8,65.8,25.4,65.4,3.0000000000000004,65.6,33.599999999999994,2.0,51.99999999999999,22.2,229.8,1.0
