Município,Em Branco,Semana 01,Semana 02,Semana 03,Semana 04,Semana 05,Semana 06,Semana 07,Semana 08,Semana 09,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Total,CIR
Bom Despacho,0,178,271,344,508,629,868,680,1108,1458,1370,1391,1427,956,996,800,569,443,328,273,220,172,87,90,77,61,34,24,22,16,8,14,7,16,16,10,23,19,26,22,25,33,23,1,15643,31028
Formiga,0,178,198,252,399,600,798,871,1346,1518,1249,846,1095,579,1376,1561,984,679,648,494,443,385,205,137,39,33,22,2,13,13,6,7,5,9,16,13,3,6,10,7,6,8,1,0,17060,31030
Itaúna,0,120,196,297,518,639,954,988,1066,1305,1444,1556,1798,1246,1163,1157,1083,911,709,662,530,315,150,153,116,75,43,37,29,14,14,18,26,18,19,19,10,15,11,17,22,13,3,0,19479,31031
"Pará de Minas,Nova Serrana",0,97,216,302,616,959,1378,1423,2056,2314,3149,2901,2947,1864,2029,1780,1110,726,1041,884,421,288,126,158,98,56,41,31,29,27,20,13,9,12,23,22,37,52,47,76,105,48,33,0,29564,31032
Caratinga,0,115,139,407,741,992,1055,1188,1402,1677,1042,615,692,303,351,344,193,171,128,136,75,45,20,23,13,11,5,4,1,8,2,2,1,0,2,3,1,2,1,0,0,1,0,0,11911,31034
"Coronel Fabriciano,Timóteo",0,427,663,888,993,782,595,388,424,539,418,374,360,152,246,217,144,170,52,53,62,41,30,16,14,14,22,6,12,4,9,12,11,12,20,16,17,17,8,10,8,27,4,0,8277,31035
Governador Valadares,0,107,156,300,337,504,813,790,1646,2184,1909,1747,1364,813,753,632,503,354,426,316,284,191,294,352,75,35,28,45,48,86,69,17,24,31,121,71,91,84,169,117,15,10,12,2,17925,31036
Ipatinga,0,421,776,1105,1291,1495,1469,1177,1231,1308,934,681,649,336,356,350,372,250,204,193,174,123,114,81,63,56,55,47,47,27,26,26,26,26,41,43,26,30,13,33,24,21,9,4,15733,31037
Mantena,0,44,63,146,170,252,341,324,518,549,541,483,452,251,201,195,118,103,68,75,38,20,11,9,9,9,6,8,0,0,0,1,0,0,0,0,0,1,1,0,2,0,0,0,5009,31038
Resplendor,0,5,15,14,26,70,142,159,356,609,684,661,584,308,384,235,181,133,82,55,40,28,19,20,9,10,8,8,5,5,5,3,3,3,5,5,2,2,2,7,7,5,5,0,4909,31040
Além Paraíba,0,115,166,187,212,272,242,300,523,512,368,291,286,201,134,138,74,82,80,75,32,27,15,19,8,5,12,5,3,2,6,1,2,0,2,0,0,0,1,0,2,3,0,0,4403,31041
Carangola,0,37,77,205,258,413,675,573,825,698,669,533,464,380,422,392,268,265,293,211,220,133,111,85,42,23,15,7,8,1,1,1,2,2,3,1,3,2,3,3,3,1,1,0,8329,31042
"Leopoldina,Cataguases",0,201,365,501,482,503,490,275,616,565,452,385,374,231,271,196,174,112,81,75,49,51,27,31,18,20,16,9,5,4,2,1,5,1,2,0,4,7,2,3,1,2,7,1,6617,31044
Muriaé,0,65,87,119,122,198,225,287,451,433,382,436,337,213,284,291,243,222,151,153,145,101,52,62,34,41,23,21,5,6,14,11,9,6,10,10,24,20,20,11,13,6,5,0,5348,31045
Santos Dumont,0,1,3,10,36,75,64,61,84,125,76,114,116,162,173,183,204,128,130,99,92,106,61,72,21,28,16,3,5,4,6,3,1,2,1,0,0,0,0,0,0,0,0,0,2265,31046
"São João Nepomuceno,Bicas",0,7,24,32,109,159,179,186,298,422,506,585,534,374,322,309,320,235,147,166,206,135,132,87,74,90,82,17,33,13,22,11,6,12,11,9,2,7,9,2,9,12,3,0,5898,31047
Ubá,0,21,46,51,111,282,502,541,1112,1449,1473,1711,1919,1337,1687,1591,1308,1168,865,974,867,661,446,473,291,191,165,126,95,88,51,70,33,41,53,47,35,35,37,20,32,36,15,1,22057,31048
Coração de Jesus,0,16,25,26,38,103,186,201,301,373,371,420,411,317,314,239,162,115,98,62,63,59,19,21,13,15,18,9,5,4,0,1,1,0,1,3,1,3,0,2,1,0,0,0,4017,31050
Francisco Sá,0,10,24,16,50,90,129,145,169,283,303,374,472,413,372,335,253,210,111,45,63,38,24,12,12,12,6,5,8,3,4,6,1,1,1,0,1,3,1,1,1,0,1,0,4008,31051
"Janaúba,Monte Azul",0,12,42,53,71,161,257,244,404,598,578,639,791,844,1081,1055,1007,851,661,583,498,339,181,172,103,95,88,70,54,40,40,41,31,31,21,9,17,11,9,6,7,5,9,0,11809,31052
Januária,0,51,82,133,198,532,745,704,882,1246,1056,847,669,470,372,258,223,163,100,79,60,37,26,22,15,17,6,12,9,4,2,9,5,4,13,6,4,14,7,12,6,16,19,0,9135,31053
Pirapora,0,42,81,120,201,356,496,594,708,699,682,779,867,595,542,448,352,387,442,228,144,149,66,46,39,29,18,11,6,5,9,5,6,6,6,6,3,6,6,2,6,2,1,0,9196,31055
Patos de Minas,0,102,216,305,610,672,701,816,1103,1072,1774,1918,2272,1798,2033,1892,1877,1602,1420,1357,1098,835,599,1086,483,373,275,137,103,77,80,50,24,7,28,15,13,13,10,6,16,17,18,1,28904,31057
"Unaí,Paracatu",0,238,312,367,557,839,1415,1344,1736,1977,1958,2163,2127,1922,1657,1704,1808,1822,1410,1013,823,872,550,559,321,294,233,182,147,119,54,42,51,49,57,54,55,76,85,91,83,70,28,0,31264,31058
Manhuaçu,0,49,50,56,146,336,571,709,1302,1476,1343,1423,1642,1351,1940,1754,1450,1023,924,818,696,624,439,395,340,288,61,29,16,19,14,9,9,7,7,84,31,14,8,13,5,1,5,2,21479,31059
Ponte Nova,0,59,120,157,318,513,695,780,1178,1251,1284,1354,1483,1120,1578,1390,1106,1070,760,708,626,516,295,209,131,80,70,44,27,22,16,21,8,6,14,7,14,3,7,10,9,6,19,1,19085,31060
Viçosa,0,11,15,18,31,54,131,146,206,246,393,525,702,574,642,751,614,576,541,561,326,227,152,179,153,191,242,101,129,72,23,3,1,2,2,0,0,3,2,2,0,0,3,0,8550,31061
Araçuaí,0,35,88,91,98,151,203,258,429,451,642,624,597,550,495,388,389,254,178,156,150,99,52,47,32,6,18,9,7,5,8,11,5,4,6,3,13,6,3,4,2,2,5,0,6574,31064
Itaobim,0,3,32,26,34,49,66,90,156,280,345,422,392,298,297,250,196,191,134,79,58,40,16,14,13,5,10,2,3,2,1,0,0,0,1,2,2,1,0,1,0,1,0,0,3512,31065
Nanuque,0,6,22,24,35,31,56,48,86,100,114,180,207,183,229,197,173,139,162,111,85,97,56,49,42,55,42,26,20,21,22,8,12,8,9,9,12,12,7,2,3,2,0,0,2702,31066
Padre Paraíso,0,2,14,11,11,26,44,86,116,181,165,235,296,291,373,345,288,274,271,268,179,150,97,75,34,33,20,23,15,9,7,4,7,9,5,0,3,1,5,1,3,3,1,0,3981,31067
Pedra azul,0,1,3,5,12,23,51,77,132,235,204,225,253,245,218,187,159,70,50,41,38,50,24,30,20,5,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2361,31068
Araxá,0,88,176,258,415,707,1095,1240,1733,1898,1951,2256,2347,1745,1758,2015,1560,1123,1158,889,1002,832,484,412,321,262,248,163,128,101,60,55,40,22,27,33,39,26,24,12,3,2,5,0,28713,31070
