Município,Semana 01,Semana 02,Semana 03,Semana 04,Semana 05,Semana 06,Semana 07,Semana 08,Semana 09,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 50,Semana 51,Semana 52,Semana 53,Total,CIR
"Diamantina,Itamarandiba",3,4,3,4,1,1,1,4,2,2,2,2,1,2,2,1,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,1,2,2,1,1,1,1,3,1,2,1,0,1,0,64,31026
"Turmalina,Minas Novas,Capelinha",4,2,10,7,24,22,16,19,32,29,24,28,30,32,39,27,41,24,27,16,14,7,19,5,13,4,3,5,2,2,2,1,0,3,3,0,4,3,4,3,0,4,1,0,3,7,2,7,2,3,0,5,1,585,31027
Bom Despacho,13,4,9,11,3,4,7,12,3,8,17,30,10,10,11,3,13,10,9,12,18,17,10,9,9,8,4,4,12,4,7,3,2,5,6,5,6,4,4,2,1,6,4,4,8,7,11,10,7,12,11,28,0,447,31028
Formiga,8,9,3,9,9,9,11,15,7,5,9,6,0,13,5,4,8,5,2,3,4,1,0,1,5,0,0,2,0,1,1,1,2,2,5,0,2,2,4,2,3,2,1,3,3,1,1,4,3,3,4,6,1,210,31030
Itaúna,4,2,2,2,3,2,0,4,1,5,6,1,1,5,4,1,5,3,2,2,6,4,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,3,0,0,1,1,2,0,80,31031
"Pará de Minas,Nova Serrana",21,23,26,36,29,15,13,37,39,36,61,69,43,52,40,22,41,16,24,21,32,21,29,30,13,4,6,9,8,7,4,4,4,11,3,6,10,6,14,14,10,12,6,9,7,9,10,10,10,7,7,4,0,1000,31032
Caratinga,2,4,1,4,2,0,5,2,2,5,7,9,1,4,3,1,1,1,3,1,0,2,1,2,2,0,1,0,0,1,0,1,1,1,0,1,2,1,1,0,0,2,1,1,1,1,1,1,2,1,0,0,0,86,31034
"Coronel Fabriciano,Timóteo",12,21,15,27,15,25,45,34,40,27,49,30,22,16,17,9,16,9,16,16,17,15,18,14,14,4,6,7,7,1,4,2,4,11,6,13,8,14,13,16,3,8,8,7,11,11,23,21,16,23,23,26,5,840,31035
Governador Valadares,17,16,18,19,51,55,59,59,84,94,136,128,99,94,91,103,130,116,113,102,113,85,83,47,47,36,31,24,28,29,15,12,21,16,14,6,7,14,7,10,4,5,7,5,9,5,8,12,21,24,24,15,2,2370,31036
Ipatinga,18,19,21,28,23,28,31,42,45,42,29,35,27,29,41,50,43,40,33,22,29,20,41,21,28,17,9,21,17,21,7,14,16,14,15,12,16,18,17,13,10,7,22,18,24,15,23,28,17,21,19,27,4,1247,31037
Mantena,1,0,0,0,1,0,2,0,4,3,2,1,3,3,7,9,2,3,5,1,0,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,31038
Resplendor,53,32,51,36,28,13,10,21,10,8,5,7,17,15,3,9,4,5,13,4,1,1,1,1,3,2,2,0,2,1,0,1,0,2,1,0,2,1,0,0,0,0,1,0,0,1,0,0,2,0,6,2,0,377,31040
Além Paraíba,0,0,0,0,0,0,0,0,3,5,2,1,1,3,9,7,12,8,8,12,8,11,19,12,8,6,4,12,6,1,3,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,168,31041
Carangola,5,1,1,4,1,0,1,1,2,6,0,0,0,0,2,0,0,1,0,2,1,0,1,0,0,2,2,1,1,0,0,3,1,0,1,1,0,1,1,2,0,0,2,0,1,0,1,1,0,2,2,0,0,54,31042
"Leopoldina,Cataguases",50,45,64,79,87,201,153,288,269,284,349,447,229,427,350,188,137,129,143,81,85,70,62,36,39,22,16,10,8,7,8,4,5,2,6,4,5,4,2,4,0,3,2,6,8,6,2,5,7,15,4,1,0,4458,31044
Muriaé,10,20,18,14,18,30,23,35,39,56,85,54,49,47,38,36,29,21,20,11,12,8,19,10,6,3,3,5,3,2,4,5,2,3,0,4,2,0,0,3,0,1,3,0,2,1,4,0,0,5,2,3,0,768,31045
