Município,Semana 01,Semana 02,Semana 03,Semana 04,Semana 05,Semana 06,Semana 07,Semana 08,Semana 09,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 50,Semana 51,Semana 52,Total,CIR
"Alfenas,Machado",10,12,11,10,13,10,6,10,9,7,13,9,4,8,9,5,1,2,2,3,6,7,1,2,1,3,0,1,1,5,1,4,3,2,3,4,7,13,7,11,16,18,12,4,14,7,4,3,3,11,7,7,342,31001
Guaxupé,1,1,1,2,3,3,9,4,0,5,1,2,3,2,4,4,4,1,0,0,1,2,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0,1,1,3,1,1,2,2,3,4,2,3,4,6,3,5,99,31002
Itajubá,3,3,3,5,0,8,3,6,1,4,4,7,3,2,1,2,0,3,2,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,2,1,1,3,2,5,1,2,1,2,6,4,9,3,4,2,2,115,31003
Lavras,5,3,7,2,9,2,2,5,2,11,11,19,21,9,8,15,32,21,15,6,3,1,5,0,6,2,1,2,1,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,1,2,0,1,1,0,2,238,31004
Poços de Caldas,2,6,0,7,8,2,8,3,5,3,3,7,5,3,5,1,5,0,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,2,0,2,1,4,6,4,1,3,2,0,1,3,2,1,115,31006
Pouso Alegre,8,7,8,8,14,11,19,7,4,10,8,6,4,2,3,7,4,3,6,1,1,1,3,1,1,1,1,1,1,0,0,1,1,2,1,1,3,3,2,1,0,2,4,2,0,3,3,2,4,3,3,3,195,31007
São Lourenço,3,3,2,4,6,4,5,5,3,4,4,1,1,3,2,1,3,1,1,1,0,0,1,1,0,2,0,0,1,0,1,1,0,0,1,2,0,0,0,0,1,1,0,1,2,1,3,1,2,2,1,0,82,31008
São Sebastião do Paraíso,2,11,4,5,7,12,17,12,5,2,12,11,14,2,3,4,2,0,6,8,6,4,1,2,3,0,0,2,1,1,2,1,1,0,1,2,2,7,4,1,3,3,0,1,1,5,1,0,0,0,0,3,197,31009
Três Corações,39,41,54,64,66,93,241,162,205,226,327,107,116,136,79,77,61,62,21,11,2,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,2,1,1,0,1,3,2,2,1,0,1,1,0,0,2212,31010
Três Pontas,3,6,10,4,5,9,8,6,3,13,15,14,21,26,32,30,26,29,33,16,13,11,16,4,5,3,4,4,1,2,0,3,0,1,1,1,2,3,6,4,6,7,2,2,2,4,4,4,4,3,0,3,434,31011
Varginha,40,27,35,55,42,37,48,60,54,55,78,68,85,112,110,92,72,60,63,36,55,54,26,19,6,12,15,9,6,8,12,6,7,4,7,12,30,26,25,30,24,17,16,10,25,19,13,16,25,18,23,21,1825,31012
Barbacena,0,3,3,4,3,2,3,8,3,1,1,1,3,4,2,0,1,2,2,1,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,2,0,2,0,0,61,31013
São João Del Rei,5,6,8,3,4,5,3,4,2,7,9,3,5,4,0,6,2,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,2,0,4,5,3,5,0,1,4,2,3,1,2,119,31015
"Belo Horizonte,Nova Lima,Santa Luzia",520,574,597,679,571,517,524,527,392,492,475,451,339,347,262,264,258,259,258,214,179,161,126,106,160,114,63,64,64,62,70,69,68,103,106,92,147,151,150,157,151,183,259,183,191,180,188,219,173,208,250,230,13147,31016
Betim,163,95,92,99,208,151,163,179,133,120,222,175,85,110,78,123,112,104,165,75,52,77,52,39,48,29,26,8,22,17,11,14,16,20,32,24,13,16,35,20,16,36,34,30,41,35,32,44,54,59,36,35,3675,31017
Contagem,70,66,68,122,90,64,71,124,79,102,112,96,83,87,55,91,97,72,77,60,37,38,29,19,24,20,11,12,16,14,10,8,13,17,16,24,20,31,22,22,20,30,34,23,42,47,56,41,41,41,58,34,2556,31018
Curvelo,26,12,19,27,29,19,39,29,37,29,25,27,22,17,8,9,12,10,10,8,3,4,7,3,3,2,1,2,3,4,0,3,3,5,4,1,1,1,5,5,3,5,7,5,8,15,6,10,14,20,18,16,601,31019
Guanhães,8,3,2,1,2,2,1,0,1,0,2,2,5,0,2,3,0,0,0,1,0,1,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,43,31020
Itabira,21,26,5,17,9,12,15,8,10,11,19,9,16,12,13,16,16,7,9,3,5,9,8,1,8,2,1,1,6,3,5,3,5,5,4,10,8,3,4,10,17,7,12,13,15,14,6,19,14,16,14,8,510,31021
Ouro Preto,2,2,5,6,5,1,7,3,3,1,0,2,1,1,0,3,1,3,1,1,0,0,2,0,0,0,0,1,0,2,1,0,0,1,0,0,1,1,2,2,0,1,0,0,1,1,1,1,2,1,2,4,75,31022
João Monlevade,4,3,1,7,3,3,6,2,0,3,1,0,1,0,1,0,3,1,2,0,0,1,1,1,3,0,1,1,0,0,1,0,0,0,3,0,0,0,1,0,2,2,0,1,2,0,1,1,1,0,0,0,64,31023
Sete Lagoas,31,40,32,47,42,41,38,20,10,32,31,28,47,36,30,33,24,17,14,17,21,20,26,7,7,3,4,5,10,4,5,7,9,4,6,5,5,9,7,11,9,15,14,15,16,24,21,22,30,32,63,31,1077,31024
"Vespasiano,Lagoa Santa",4,17,16,18,19,14,13,22,13,9,15,11,11,13,3,2,7,7,2,4,4,3,0,4,2,4,0,1,1,3,2,3,1,1,4,0,1,3,1,4,2,6,14,5,6,5,7,8,2,5,5,3,330,31025
"Diamantina,Itamarandiba",21,21,20,27,6,14,7,12,2,10,13,11,9,8,5,8,2,4,7,21,7,24,17,2,2,0,0,0,0,1,0,1,2,2,4,2,3,2,4,0,1,0,3,0,1,1,1,3,2,0,2,0,315,31026
"Turmalina,Minas Novas,Capelinha",10,33,29,27,16,15,29,50,30,59,78,61,43,46,25,25,35,43,25,21,17,10,5,4,12,6,3,2,0,2,3,0,4,0,1,0,0,2,0,1,0,1,0,0,4,0,0,2,1,1,4,3,788,31027
Bom Despacho,6,4,4,6,5,8,12,7,4,4,13,1,1,6,6,4,3,7,5,2,3,0,2,7,2,1,0,2,0,0,2,8,3,2,1,1,4,6,6,6,5,1,8,7,2,4,5,2,9,5,5,1,218,31028
Formiga,5,10,5,7,7,10,0,6,7,9,7,8,6,6,11,7,7,5,6,3,6,2,5,3,4,0,3,1,1,0,0,1,0,0,0,3,1,3,1,1,3,7,5,4,2,5,6,2,3,4,6,2,216,31030
Itaúna,6,0,5,1,1,4,3,1,2,2,1,0,0,3,0,0,0,1,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,3,0,2,2,4,0,0,0,1,0,0,0,1,0,0,49,31031
"Pará de Minas,Nova Serrana",21,19,29,26,29,29,39,27,43,31,31,32,26,22,14,19,17,21,12,6,7,4,2,2,2,0,0,1,1,2,3,5,10,7,10,7,14,7,16,16,17,14,15,10,6,7,7,10,6,9,10,10,730,31032
Caratinga,6,5,7,7,9,48,19,14,4,13,19,15,1,3,0,2,3,1,2,1,2,2,1,0,2,4,0,1,0,0,0,0,0,1,0,0,2,2,0,1,0,3,7,2,5,3,8,4,3,11,2,5,250,31034
"Coronel Fabriciano,Timóteo",14,15,16,21,14,16,26,23,15,42,41,42,42,41,41,69,53,58,50,36,46,56,53,40,51,47,42,24,14,23,20,15,7,7,10,6,11,10,8,10,10,20,14,5,8,8,8,13,7,16,28,36,1348,31035
Governador Valadares,23,116,136,215,290,419,476,442,228,388,237,256,221,68,40,37,30,33,41,17,17,15,9,1,2,6,7,3,3,2,0,0,1,1,2,1,0,7,3,2,1,4,3,3,7,0,10,11,3,12,16,4,3869,31036
Ipatinga,7,15,25,44,27,26,46,32,22,40,37,36,46,73,50,55,76,59,47,109,87,83,93,66,104,132,74,39,31,45,39,34,23,26,11,14,20,11,24,17,7,15,13,6,18,5,8,8,12,9,16,9,1971,31037
Mantena,9,24,18,12,14,18,10,7,10,11,6,14,10,20,5,6,5,5,0,1,3,1,1,0,2,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,221,31038
Resplendor,40,71,75,64,36,33,33,18,9,22,21,18,12,12,6,7,8,5,5,9,7,3,4,2,1,2,0,1,0,0,0,0,1,0,3,1,2,1,2,0,0,2,2,0,2,1,2,4,1,1,205,4,758,31040
Além Paraíba,3,2,2,20,19,3,2,4,1,0,1,2,0,2,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,3,0,1,0,1,1,0,3,0,0,0,79,31041
Carangola,2,4,1,2,0,3,0,0,8,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,1,1,2,0,0,0,32,31042
"Leopoldina,Cataguases",16,19,31,24,14,16,8,9,9,7,13,15,5,11,6,6,3,1,3,2,1,0,0,1,4,2,1,1,0,3,2,2,1,0,3,4,3,7,2,8,6,5,8,7,5,16,13,22,31,18,20,8,422,31044
Muriaé,4,12,9,12,7,7,8,2,4,7,6,7,1,10,5,1,2,1,4,0,2,1,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,4,0,0,1,1,2,4,0,4,3,4,6,14,3,165,31045
Santos Dumont,0,2,2,0,0,0,0,1,0,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,31046
"São João Nepomuceno,Bicas",3,5,4,0,2,3,2,5,1,2,1,2,2,1,2,1,1,4,3,1,0,0,2,3,0,1,0,3,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1,2,2,3,7,7,4,87,31047
Ubá,41,60,54,38,27,19,23,16,12,21,21,15,16,20,9,11,10,9,7,12,11,9,6,4,2,0,1,2,0,3,0,1,1,3,0,1,1,5,6,9,12,7,10,13,10,28,15,22,33,36,39,41,772,31048
Coração de Jesus,2,1,7,5,0,3,0,3,0,4,5,7,6,7,4,4,2,3,3,1,0,2,1,0,1,0,1,2,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,0,0,0,0,1,0,1,83,31050
Francisco Sá,2,3,2,2,4,3,3,3,0,2,4,0,10,5,1,3,3,0,1,4,3,1,2,0,0,0,0,0,0,0,0,2,1,0,0,1,2,0,1,3,0,1,1,0,0,2,2,0,0,0,3,0,80,31051
"Janaúba,Monte Azul",7,18,17,36,30,28,48,43,6,42,65,47,50,50,36,33,26,24,19,34,27,20,21,16,12,15,2,1,4,5,0,1,0,5,1,2,1,2,5,5,3,3,1,0,2,2,6,7,12,9,14,8,871,31052
Januária,0,3,2,2,0,0,1,2,0,0,3,1,0,3,0,0,1,0,2,2,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,34,31053
Pirapora,8,24,12,10,7,5,8,8,7,6,8,2,7,5,1,9,6,20,7,6,5,4,3,6,5,2,0,1,2,1,1,1,1,2,0,1,1,1,1,1,1,2,2,2,3,0,0,1,1,2,2,3,224,31055
Patos de Minas,10,12,30,25,11,19,31,18,21,26,29,44,46,68,51,36,52,64,50,38,20,59,31,34,15,10,1,14,6,4,3,7,1,6,1,9,7,7,6,7,5,5,7,4,13,9,14,8,2,6,5,2,1009,31057
"Unaí,Paracatu",10,20,10,11,9,21,16,23,13,14,16,22,23,20,17,17,20,27,41,38,61,36,33,13,15,26,18,15,21,13,16,21,21,32,23,18,25,22,17,15,18,11,14,5,12,6,8,8,10,15,14,11,981,31058
Manhuaçu,4,16,8,14,10,4,5,4,7,6,7,5,5,7,9,9,6,6,6,3,3,3,5,2,3,5,1,2,1,1,0,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,2,2,3,5,7,4,195,31059
Ponte Nova,2,2,6,5,2,2,2,0,2,4,3,2,3,3,3,0,1,0,3,0,1,1,2,0,0,1,0,0,0,0,2,0,1,0,0,0,1,0,1,1,1,0,1,1,1,3,1,4,4,3,3,0,78,31060
Viçosa,0,5,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,2,1,0,1,1,0,2,2,0,27,31061
Araçuaí,13,6,9,5,9,5,8,4,4,2,5,2,4,6,1,3,1,6,4,4,2,6,3,2,6,1,0,2,2,1,0,2,0,3,2,2,1,1,2,1,1,2,0,5,0,0,0,2,0,3,1,1,155,31064
Itaobim,1,2,0,11,6,23,12,14,18,135,37,54,105,4,5,5,7,5,7,6,8,5,4,1,1,1,3,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1,1,0,1,1,2,0,1,0,491,31065
Nanuque,15,21,32,29,24,13,16,3,3,12,24,14,15,14,9,7,15,5,9,10,10,5,3,4,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,2,0,3,0,1,0,0,1,0,3,1,1,0,329,31066
Padre Paraíso,0,7,9,2,3,1,0,1,0,1,2,0,0,1,2,8,3,1,6,5,6,3,6,4,2,7,3,5,3,0,1,1,0,3,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,3,1,106,31067
Pedra azul,52,71,114,72,110,11,21,2,2,1,7,10,8,13,3,3,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,510,31068
Araxá,17,17,18,18,18,22,14,23,14,29,21,9,10,17,12,8,22,12,13,13,7,4,6,3,7,2,2,4,1,2,2,3,1,3,6,7,8,8,4,10,8,4,7,9,9,7,7,2,5,8,10,12,505,31070
"Frutal,Iturama",8,11,12,31,26,19,22,17,21,23,28,44,30,30,23,31,12,8,19,12,7,8,7,6,6,5,5,4,4,4,4,2,2,1,3,5,2,6,7,3,6,2,3,3,1,1,3,2,5,9,5,3,561,31071
Uberaba,49,41,34,67,65,81,62,56,45,53,76,96,76,72,58,54,59,59,31,39,35,39,36,23,27,18,12,14,5,12,12,12,12,20,18,24,33,31,35,14,24,38,49,25,23,40,21,42,29,40,28,32,1996,31072
